Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
109161280439972,Momentum IV. kerület,Momentum Mozgalom,20000,1
292606340886422,MSZP Újpest - Káposztásmegyeri Szervezete,Magyar Szocialista Oárt,20000,1
109859190872124,Császár Roland polgármester,Császár Roland polgármester,20000,1
134984140045777,Stummer János - Momentum,Momentum Mozgalom,19998,5
835177903521081,Momentum Göd,Momentum Mozgalom,19988,1
109858948720498,Boris Kálnoky,Mathias Corvinus Collegium,19783,1
117169985595161,Álomgyár Könyvesboltok,These ads ran without a disclaimer,19732,2
1157237054451999,SolarKit Magyarország,These ads ran without a disclaimer,19559,1
110492499001,Labrisz Leszbikus Egyesület,Labrisz Leszbikus Egyesület,19451,1
115531503617703,MKKP Miskolc,Magyar Kétfarkú Kutya Párt,19443,7
144606418883602,MAGOSZ,Magyar Gazdakörök és Gazdaszövetkezetek Szövetsége,19438,4
104382402566795,Sebestyén Géza,Mathias Corvinus Collegium,19267,1
400229417263044,Hartaházi Miklós Pestszentimre,Jobbik,18931,6
264949437776073,BTM Vármúzeum,BTM Vármúzeum,18609,7
299150860442289,Bereczki Miklós,Bereczki Miklós,18568,3
102203505677256,Fenntartható Városok,Fenntartható Közösségek Központja,18056,1
183723231644096,Szita Károly,Szita Károly,17545,1
102200394473807,Hermann György,Momentum Mozgalom,17507,4
102251318064432,Organon,These ads ran without a disclaimer,17504,1
180498125324273,Gazdagréti Összefogás Egyesület,Gazdagréti Összefogás Egyesület,17495,2
126136750786218,Szabó Zsolt,Szabo Zsolt,17331,10
1722969024662464,Civil Összefogás Fórum,Civil Összefogás Fórum,17125,8
101234361488097,Gór Csaba,Dr. Gór Csaba,17032,4
108711752088072,Interurbán 2023,These ads ran without a disclaimer,17006,6
311949973069503,Rajta Újváros,Rajta Újváros! Egyesület,17000,3
292787761246129,Herczeg Tamás,Fidesz,16586,5
103581448930725,Szeretlek Csongrád-Csanád,Genesis Médiacsoport Kft.,16580,4
287842647957979,EU International Partnerships,These ads ran without a disclaimer,16442,4
109112647624577,Open Books,Open Books,16251,1
361192207285290,Friedrich-Ebert-Stiftung Budapest,Friedrich-Ebert-Stiftung Budapest,16127,1
565021993527726,Magyar Agrár- és Élettudományi Egyetem,These ads ran without a disclaimer,16100,3
111032325184666,Beautycle,Beautycle,16057,14
186937904681332,Szabó Rebeka,Párbeszéd Magyarországért Párt,16000,2
322607837760241,Álomgyár,These ads ran without a disclaimer,15933,1
192197134141523,LMP Miskolc - BAZ megye,LMP - Magyarország Zöld Pártja,15748,3
157678061062231,LMP Pestszentlőrinc - Pestszentimre,LMP - Magyarország Zöld Pártja,15748,1
130456876990360,European Youth,These ads ran without a disclaimer,15663,1
103670522489720,A baloldal valódi arca,A baloldal valódi arca,15588,5
728260423984010,Böröcz László,Böröcz László,15570,5
571986950139979,Koi Norbert,Koi Norbert István,15469,3
102983854874761,Dr. Balogh Róbert ügyvéd,Balogh Róbert,15278,3
105216764203897,Bakai-Nagy Zita Újbuda,Bakai-Nagy Zita,15208,6
804685603241491,Czuczor Gergely,Fidesz - Magyar Polgári Szövetség,15154,2
329444931109132,Őrsi Gergely,Őrsi Gergely Ferenc,15100,3
422134944867351,Borsod24,Esélyegyenlőség és Fenntarthatóság Egyesület,15000,2
916536061799484,Ovádi Péter,Ovádi Péter,15000,2
180924612473518,Dr. Brenner Koloman,Jobbik Magyarországért Mozgalom,15000,1
471957966936762,Aranyos Gábor,Aranyos Gábor,15000,2
1671533653104519,Kele János,Kele János,15000,1
543340359536832,We Have a Dream,We Have a Dream,15000,1
1992543104404776,Momentum TizenX,Momentum Mozgalom,15000,1
2138587956418777,Ultra-info,Elemi,15000,3
