Page ID,Page name,Disclaimer,Amount spent (MXN),Number of ads in Library
106104551569591,Giovani Gutiérrez,GIOVANI GUTIERREZ,28644,37
108407195129937,México Villarreal,Rodolfo México Villarreal Ritchie,28501,18
294591180601746,Dr. Carlos Lomelí Bolaños,Dr. Carlos Lomelí Bolaños,28320,12
108575570895919,Carmelitas al día,Carmelitas al día,28320,13
194020227388552,PT Coahuila,Partido del Trabajo Coahuila,28103,42
506263806570783,Alex Martínez,Partido Verde Coahuila,27999,3
1250751485006046,Secretaría de Seguridad Ciudadana de Q.Roo,Secretaría de Seguridad Pública de Q.Roo,27907,9
1696577493927541,Veritas Noticias MX,Veritas Noticias MX,27818,20
803041666459797,Enrique de la Madrid,Enrique de la Madrid,27750,26
124047777702377,Secretaría de Gobierno de Guanajuato,Secretaría de Gobierno de Guanajuato,27524,15
100269480525872,Data Mexico,Data Mexico,27450,15
107329467479764,Rodrigo Valdez,Movimiento Ciudadano,27380,2
258347550978236,Raul Onofre,Brecha Comunicación,27359,208
2059420467624770,El Tecolote Diario,El Tecolote Diario,27359,15
1874397736161441,Manuel Gálvez,Luis Ernesto García Ruiz,27109,68
108751525359645,Con Morena trabajamos todxs,conmorenatrabajamostodos.com,27059,58
107657435584767,Honestidad y Esperanza para Morelos,Honestidad y Esperanza para Morelos,26992,85
107652783975551,CS Medicina Estética,CS Medicina Estética,26964,2
178352115708152,Cesar Flores Sosa,Cesar Flores Sosa,26959,26
102571299059219,Centro de Desarrollo y Actualización de Competencias,Joaquin Tovilla Lopez,26839,3
108094781915171,Reinforma Noticias,Reinforma Noticias,26776,66
116437828394342,Phiten Mexico,Phiten Mexico,26580,37
112507801521278,VEMO,VEMO,26364,176
107545594505870,Perfekto,Perfekto,26147,6
112806673771498,Andrea Chávez,Andrea Chavez Treviño,26130,13
179269592856683,Movimiento Ciudadano Coatzacoalcos,Movimiento Ciudadano,26109,6
192680674189566,El Respetable,Bruno Agustin López Arguelles,26107,24
166658850177391,Secretaría de Turismo Jalisco,Gobierno de Jalisco,26000,4
103847969207185,Frontera Norte,Frontera Norte,25916,3
102219139246608,MarceLovers,Mundo Millenial,25850,10
206604539439888,Luis Nava,Luis Nava,25767,66
882120822128618,Patricio Lozano,Patricio Lozano,25385,9
102559402671213,Coanews,Coanews,25282,3
281125785691978,Saber Votar,Angel Alfredo Solis Lugo,25216,33
171494803269262,Noticias México,euthenics,25129,135
101356042883150,El Mexiquense,El Mexiquense,25105,39
140242770250742,La Cuarta Transformación,La Cuarta Transformacion,25000,2
162949857103721,Gobierno Colima,Gobierno Colima,24947,33
101128435630238,Química y Formulación,Química y Formulación,24646,66
101498485926583,El Monarca,El Monarca,24581,6
102558755336180,El Bernal,El Bernal Mx,24474,17
258241614593678,AulaTec,Pedro Beristain Flores,24427,28
147751821930575,Salud Digital Fundación Carlos Slim,Fundación Carlos Slim,24339,3
103844118856458,Contraopinión,Contraopinión,24330,7
182252948625872,Los Rescatadores,"Refleacciona con Responsabilidad, A.C.",24249,25
101702578768551,Agencia de Noticias Edomex,Approach,24081,8
107189855635934,Chuy Colores,Movimiento Ciudadano,24079,3
102542454680516,Lupita Oyervides,Brecha Comunicación,23908,156
1577134115646205,Lupita Murguía,Lupita Murguía,23902,28
1834107960160586,Marco A. Mendoza Bustamante,Marco Antonio Mendoza Bustamante,23709,42
112041081846375,Aida García,Movimiento Ciudadano,23621,2
351194631568626,Secretaría de Economía Sinaloa,Secretaría de Economía Sinaloa,23588,38
922911071175965,Noticias Tamaulipas,Noticias Tamaulipas,23324,18
102601911392795,Luz Elena Morales,Brecha Comunicación,23295,169
110187414493874,Plataforma Informativa Mexicana #PIM,euthenics,23166,114
338174139686776,Mauricio Kuri,Mauricio Kuri,23065,39
111980298454643,Miguel Ángel Sánchez Rivera,Miguel Ángel Sánchez Rivera,22922,8
242334769225146,Sergio Salomón Céspedes Peregrina,Sergio Salomón Céspedes Peregrina,22631,4
233652128065243,Goberna México,Goberna Consultoría Política,22591,100
174058432636166,El Deforma,El Deforma,22195,7
105291228709143,Rotativo México,Rotativo México,22174,9
100366512516352,Víctor Mercado,Víctor Mercado,22047,15
106615224474906,Nara González,Nara González,21983,6
357392910954448,Abelina López Rodríguez,Abelina López Rodríguez,21945,13
170761873343298,Tecutli Gómez,Tecutli Gomez,21768,26
1484471928501805,OJO3 Agencia De Noticias,OJO3 Agencia De Noticias,21638,6
285425575555989,Hugo Dávila,Brecha Comunicación,21586,123
112651775080871,La Noticia Al Momento,La Noticia Al Momento,21505,10
102268952205344,Noticias México,Kimberley Lisset Martinez Alanis,21362,1
104800055232221,Electoralia,electoralia,21306,1
415863445215981,Universidad Autónoma de Tamaulipas,Universidad Autónoma de Tamaulipas,20868,6
116301771417606,Con AMLO y Claudia Hasta la Victoria,Maria Del Carmen Ramirez Pichardo,20835,9
100242005506001,Medestetic México,Medestetic México,20690,4
