Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
1767226913545560,Rainforest Reserves Australia,Rainforest Reserves Australia,599,6
288624128713732,Rose Jackson,Rose Jackson,599,1
1859288844382060,Christian Medical and Dental Fellowship of Australia,Christian Medical and Dental Fellowship of Australia,598,12
1524698857748303,Steven Miles,Steven Miles,593,12
179772413511395,Walk to Cambodia,These ads ran without a disclaimer,584,7
150255771679533,Karen Andrews MP,Karen Andrews MP,580,1
193115994042664,Local Government Association of Queensland (LGAQ),Local Government Association of Queensland,560,3
100958871935319,Brisbane Flight Path Community Alliance,Brisbane Flight Path Community Alliance,556,3
274102972728043,Matt Keogh,Matt Keogh MP,551,9
85553896227,Autism Spectrum Australia (Aspect),Autism Spectrum Australia (Aspect),551,46
100985621597016,LGBTQ Domestic Violence Awareness Foundation,LGBTQ Domestic Violence Awareness Foundation,539,2
225761522187219,Turning Point Australia,Turning Point Australia Pty Ltd,531,19
179561632079584,City of Greater Geelong,City of Greater Geelong,530,24
284652928231466,Dementia Australia,These ads ran without a disclaimer,529,1
116808503559332,Kim Giddens MLA,Kim Giddens MLA,518,3
620240278445737,Let's Treat Syphilis,Queensland Positive People,516,5
103793788825307,Dr Monique Ryan,Monique Ryan,511,18
260126387371285,United Services Union - USU,United Services Union,508,1
124831200924508,Queensland Positive People - QPP,Queensland Positive People,508,7
113115292085361,DrinkWise,DrinkWise,507,5
141987795846694,Business SA,Business SA,503,1
154716001389058,Clare O'Neil MP,Clare O'Neil MP,500,4
160089444042253,WA Labor,WA Labor,500,1
304805643019684,Wellington Shire Council,Wellington Shire Council,500,3
156939411038925,City Of Port Phillip,City of Port Phillip,500,2
565798730143075,Jim Chalmers MP,Jim Chalmers MP,500,1
126027405986739,Keith Wolahan MP,"Keith Wolahan MP, Member for Menzies",498,2
1767975046782781,Jackson Taylor MP,Jackson Taylor MP,497,17
1496948363861245,The Musicmen,These ads ran without a disclaimer,495,4
1501550403427903,Senator Anthony Chisholm,"Senator Anthony Chisholm, Labor Senator for Queensland",493,5
191118927584830,Brad Battin MP,Brad Battin MP,490,15
1950512498581281,Alicia Payne MP,Alicia Payne MP,487,9
424862620880565,Sam Hibbins,Sam Hibbins,486,2
382517738472842,Give Freedom International,Give Freedom International,481,3
153621658012598,Sea Shepherd Australia,Sea Shepherd Australia,480,6
555015041253851,Stanwell,Stanwell Corporation,472,6
161729400528138,Coastal IVF,Coastal IVF,470,7
59024478936,Monash University,Monash University,466,9
395425623055,Tasmanian Land Conservancy,Tasmanian Land Conservancy,461,2
149121818629048,Edmond Atalla MP,NSW Parliament,459,14
102288789415463,Architects Assist,Architects Assist,457,6
478065488978183,Ian Goodenough MP,Ian Goodenough MP,454,8
1856952217890753,Sam O'Connor MP,Sam O'Connor MP,450,2
105207065280736,South Aussies For Animals Inc - SAFA,Geoffrey J Russell,450,1
112129948486119,National Poll,Curious Minds Media Pty Ltd,448,16
269654419879072,Beach Patrol Australia,BeachPatrol Australia,442,4
1173619069318988,Professional Visa and Education Services,Professional Visa And Education Services,441,5
104936647887384,IDEA,IDEA Academy,440,6
129418525092,GreenCollar,GreenCollar,437,2
1159459864219222,Pat Conaghan MP,Patrick Conaghan,436,5
105610156282,Human Rights Law Centre,The Human Rights Law Centre,425,1
464998863536680,Bill Shorten,Bill Shorten,422,70
111079565164631,Homes Tasmania,Homes Tasmania,420,5
209720392384537,City of Melbourne,City of Melbourne,417,7
1633760900236344,Rebecca Vassarotti MLA,Rebecca Vassarotti MLA,413,3
341949582584179,Junkee,These ads ran without a disclaimer,409,2
189546621066952,Cairns Regional Council,Cairns Regional Council,408,3
139098866100198,Merri-bek City Council,These ads ran without a disclaimer,408,14
110120534957929,Lauren Kathage MP,Lauren Kathage MP,407,7
209125576676232,Energy Next,These ads ran without a disclaimer,405,9
387624131383295,Dept of Communities and Justice NSW - stronger together,These ads ran without a disclaimer,402,1
364025530805444,Australian Charter of Human Rights,Australian Charter of Human Rights,400,1
117568524579367,The People’s Plant,These ads ran without a disclaimer,396,1
68225180411,Tasmanian Liberals,Tasmanian Liberals,388,3
203933633277603,Meaghan Scanlon MP,Meaghan Scanlon - Member for Gaven,387,6
772605486449814,Zali Steggall,Zali Steggall,385,1
1494991424142437,Tweed Shire Council,Tweed Shire Council,380,7
1545500369017047,Senator Andrew McLachlan CSC,Senator Andrew McLachlan CSC,380,4
104929039128172,Hoshi Kem Trẻ Hóa Làn Da - Xóa Nám Tàn Nhang,These ads ran without a disclaimer,376,8
160169784045845,Tasmanian Labor,Tasmanian Labor,375,8
1727234470634544,Michaela Settle MP,Michaela Settle,369,7
221723521179531,Fiona Simpson MP,Fiona Stuart Simpson,363,3
2281047588873443,Showcase SA,Showcase SA,358,2
110572401468807,The Australian Climate Case,Grata Fund,356,8
1498097880485549,Tara Cheyne MLA,Tara Cheyne for ACT Labor,354,3
278403342281472,Cindy McLeish MP,Cindy McLeish MP,352,6
413705305463031,Australian Renewable Energy Agency,Australian Renewable Energy Agency,352,4
1462424474046911,Whitsunday Regional Council,Whitsunday Regional Council,351,6
214597705895004,Queensland Parliament,Queensland Parliamentary Service,350,3
173334366099851,The Nationals WA,The Nationals WA,350,1
235483673325903,Parliament of NSW,NSW Parliament,350,2
113197020051581,Neutralbaylocal,Neutral-Bay-Village,350,18
263665090825710,Barry O'Rourke - Member for Rockhampton,Barry O'Rourke MP,347,4
153931414640361,Wildlife Victoria,Wildlife Victoria,344,3
101970085924,Foundation for National Parks & Wildlife,These ads ran without a disclaimer,339,4
131401820205010,Socialist Equality Party Australia,Socialist Equality Party,339,6
280523953784252,Help An Animal,These ads ran without a disclaimer,339,70
1256779447739574,Corrine McMillan MP - State Member for Mansfield,Corrine McMillan MP,337,5
106162562029507,Jenny Ware MP - Federal Member for Hughes,Jenny Ware MP,336,3
1882266978719632,Mercy Connect,Mercy Connect,335,2
1670874889818772,Milton Dick MP,Milton Dick MP,332,3
401831286908971,Will Fowles MP,Will Fowles MP,332,5
684088031625250,Stephen Mullighan MP,Stephen Mullighan MP,331,5
121680608004870,Fight For Our Reef,Australian Marine Conservation Society,330,4
460973797298949,WAMN News,WAMN News,329,9
451516984861373,Rob Molhoek MP,Rob Molhoek MP,328,8
236624143053970,ifaw,These ads ran without a disclaimer,328,25
1560052940889283,Isaac Regional Council,Isaac Regional Council,327,1
