Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
100913275009934,Radim Holiš I Hejtman Zlínského kraje,Radim Holiš,778,2
208161775704251,Martin Pošta - náměstek primátora,Martin Pošta - náměstek primátora,766,3
1410403182565683,Petr Hladík,KDU-ČSL,750,5
594426030604429,Martin Procházka,Martin Procházka,742,7
1027851017301268,Estevio,These ads ran without a disclaimer,714,1
100851355204691,Štefan Drozd - starosta,Štefan Drozd - starosta,708,3
1570680696523246,Institut pro politiku a společnost,Institut pro politiku a společnost,700,3
1184578558336226,Michaela Opltová,Michaela Opltová,700,2
107699787442928,Nadační fond ŠKODA AUTO,Nadační fond ŠKODA AUTO,698,1
104087131747633,Zaostřeno,Zaostřeno,686,4
108292991799478,Màñágérs Zm,These ads ran without a disclaimer,684,2
115602606970,Piráti Plzeňský kraj,Česká pirátská strana - Piráti Plzeňský kraj,681,2
101292102824575,Petr Vlasák - místostarosta břeclavský,Petr Vlasák - místostarosta břeclavský,669,2
133030253410089,Jan Šafařík - Na regionech záleží,Jan Šafařík - Na regionech záleží,661,3
104976129105222,"Pavel Šutka, místostarosta Desítky","Pavel Šutka, místostarosta Desítky",660,1
1419383834970848,Úřad v mobilu / Hlášenírozhlasu.cz,URBITECH s.r.o.,659,3
1691199151153995,Pavel Klíma,TOP 09,658,6
115547421460987,sazkar_petr,These ads ran without a disclaimer,651,1
118636354851151,ODS Pardubice - oblastní sdružení,ODS - Občanská demokratická strana,651,1
169320288528475,David Kašpar - místostarosta Prahy 10,David Kašpar - místostarosta Prahy 10,642,5
308507775683744,Josef Bernard,STAN Plzeňský kraj - Josef Bernard,640,2
10606591490,TIME,These ads ran without a disclaimer,627,1
38492561701,AutoMat,"AutoMat, z.s.",626,2
253691957825753,Kužílková Lucie,Kužílková Lucie,604,5
149572741735446,SNK pro Šlapanice,SNK pro Šlapanice,600,2
110208494972750,"Eva Rajchmanová, senátorka za Hodonínsko, Kyjovsko a Veselsko","Eva Rajchmanová, senátorka za Hodonínsko, Kyjovsko a Veselsko",600,4
232458533991461,Prostějov Na rovinu,Prostějov Na rovinu,580,2
378937462177458,RD Rýmařov,RD Rýmařov,571,3
1533965953549869,Jaroslav Demčák,Jaroslav Demčák,569,2
102161328913584,3PK pro prosperující Českou Třebovou,3PK pro prosperující Českou Třebovou,566,5
308305179255281,Prostějovští Piráti,Česká pirátská strana,560,2
366979487040734,Ter Meu Próprio Negocio,These ads ran without a disclaimer,550,3
1562059410771351,Luboš Zálom • Svobodní,Luboš Zálom • Svobodní,539,5
553405241527947,Kancelář architekta města Brna - KAM Brno,Kancelář architekta města Brna,528,2
100347228813654,Martin Hájek,Martin Hájek,520,2
108370411908373,Čistá a Bezpečná Bílina,Čistá a Bezpečná Bílina,513,1
316563285803,TOP 09 - Liberecký kraj,TOP 09,510,4
101661881517806,Jaroslav Komínek,Jaroslav Komínek,507,1
166628854208874,Morava sobě - M3,Morava sobě - M3,502,4
1401399660101451,ČSSD Česká suverenita sociální demokracie,\tČSSD – Česká suverenita sociální demokracie,500,1
100970769093658,Jana Berkovcová,Jana Berkovcová,500,2
104076207795080,Marie Jílková,KDU-ČSL,500,1
440782776395359,Hradišťáci,Hradišťáci,500,1
367656464950,TOP 09 - Praha 10,TOP 09 - Praha 10,500,1
996724667073669,Piráti Ostrava,Piráti Ostrava,500,1
108679415103946,Nové Rychnovsko,Nové Rychnovsko,499,1
111599660619960,Denik.cz Promo,Denik.cz Promo,493,2
104100631382322,The Goods Society,These ads ran without a disclaimer,487,3
110285958334498,Svoboda a přímá demokracie - SPD Chomutov,Svoboda a přímá demokracie - SPD Chomutov,485,1
549351855145794,Michael Kohajda,Michael Kohajda,480,2
105661855488883,Harmony Path,These ads ran without a disclaimer,468,1
326507470746765,Martin Půta,Starostové pro Liberecký kraj,464,2
118843734554059,Republicans Overseas Czech Republic,Republicans Overseas Czech Republic,456,4
191487317696220,Vladimír Barák - novinář,Vladimír Barák - novinář,454,4
