Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
103574549083024,Mayor Mark Sutcliffe,Mark Sutcliffe Campaign,397,2
111582684014878,Ryan Williams MP Bay of Quinte,Ryan Williams MP Bay of Quinte,395,9
119923394752032,Brighter Futures Energy Inc.,Brighter Futures Energy Inc.,394,1
250239011834046,Familiprix St-Georges de Champlain,PHARMALEAD,390,11
367171987944,Teamsters Canada,Teamsters Canada,390,1
102681295928479,GenAction/GenerationAction,GenAction/GenerationAction,388,1
273762186689593,Jonathan Scott,Jonathan Scott for Ward 2 Councillor,383,7
107995007457949,Edmonton Zone Medical Staff Association,Edmonton Zone Medical Association,382,1
167844039751397,Foreverygift,These ads ran without a disclaimer,380,1
274235169951528,"Anthony Leardi, PC Essex","Anthony Leardi, PC Essex",379,19
243684445679384,Greg Kyllo,Greg Kyllo,377,11
8333961820,University of Calgary,University of Calgary,375,1
300292833175085,Crimson Canopy,These ads ran without a disclaimer,374,5
299961416544705,Vote MGrenier BCUnited,BC United,373,13
1150994581612673,Conservative Journal of Canada,Conservative Journal of Canada,368,4
1824349487859307,Kinga Surma,Etobicoke Centre PC Riding Association,366,3
2112802792170682,Connexion-U,Connexion-U,365,4
429144327149125,The Canadian Real Estate Association/L'Association canadienne de l'immeuble,The Canadian Real Estate Association/L'Association canadienne de l'immeuble,364,10
82295304916,Edutopia,These ads ran without a disclaimer,363,1
106199152742714,Histoire Canada,Histoire Canada,363,2
10340165675,University of Manitoba,University of Manitoba,361,3
168151953208254,Canadian Union of Skilled Workers,Canadian Union of Skilled Workers,359,4
227964783726158,Jewish Ally,Jewish Ally,359,4
282331419131165,Community Action Team - Port Alberni,Port Alberni Community Action Team,358,5
142817449084810,iA Groupe financier (Industrielle Alliance),iA Groupe financier (Industrielle Alliance),358,5
28672880370,Bonnie Crombie,Ontario Liberal Party / Parti Libéral de l'Ontario,354,11
1593937633992537,1905 Committee,These ads ran without a disclaimer,350,1
638391216643974,CodeBlue BC,CodeBlue BC,341,12
656974534493920,Kevin Lamoureux,Kevin Lamoureux,338,7
251213678078167,Mike Murray for Abbotsford-South Langley,Mike Murray for Abbotsford-South Langley,337,3
109688795180129,The Rover,Indiegraf Media,336,3
374427559076599,Instant News,These ads ran without a disclaimer,336,10
124239144255718,City of Calgary – Your Local Government,These ads ran without a disclaimer,336,4
306067886262454,Familiprix Extra - Marie-Julie Saydé,PHARMALEAD,332,9
233246813840203,Brunet St-Antoine,PHARMALEAD,330,7
111375724001217,New Statement-9,These ads ran without a disclaimer,327,41
271777522681320,Mississauga-Malton Team,Mississauga-Malton Team,327,5
176192086330853,MLA Elizabeth Smith-McCrossin,MLA Elizabeth Smith-McCrossin,327,7
477253655673415,Familiprix - Dupéré et Gélinas,PHARMALEAD,327,7
103885101103552,Jean Coutu Rockland Laurier,PHARMALEAD,326,7
137471957262,City of Grande Prairie,City of Grande Prairie,326,1
1670059186635128,Brunet Ste-Adèle,PHARMALEAD,325,7
204444046081783,Java Shop,These ads ran without a disclaimer,324,14
1327997853986388,Brunet Plus Aylmer,PHARMALEAD,321,8
124427159842,City of Abbotsford - The Hub Of The Fraser Valley,City of Abbotsford,320,1
263591013505311,Afrobeatstotheworld.ca,These ads ran without a disclaimer,318,1
235733069627716,Pharmacie Westmount Square,PHARMALEAD,318,6
167185319820127,BC United Tri-Cities,BC United Tri-Cities,314,11
163381296485,The Friends of The Moncton Hospital Foundation,The Friends of The Moncton Hospital Foundation,309,2
