Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
875642729164305,Partido Verde TDF,Partido Verde TDF,234647,12
170662123137948,Dr. Pablo Gonzalez,Dr. Pablo Gonzalez,233374,49
103763616021568,Fabián Oso Tello,Fabian Tello,230387,14
855340587858336,Las Mismas Banderas LR,Las Mismas Banderas LR,229964,9
204401556350395,Gustavo Valdés,Gustavo Valdés,228788,18
451835641522345,Marcelo Rodio,Marcelo Rodio,227843,36
109104915512477,Argentina tiene con qué,Argentina tiene con qué,224594,4
1536637056372173,InfoData35,Info Data 35,222024,8
100395029626459,Protagonistas del Cambio Buenos Aires,Protagonistas del cambio,219999,3
136222573149399,Letra P,Letra P,218851,13
109951468726663,Marcelo Sosa,Marcelo Sosa,218736,16
1836305199944010,SI SAN JUAN,Servicio informativo Gobierno de San Juan,218258,16
104090576604510,Francisco Monti.,Francisco  Manuel Monti,216043,35
105716442346264,Conurnarnia,Conurnarnia,214924,24
121636574169273,Alfredo Gruber,Alfredo Gruber,213729,36
1996821287271445,Marcelo Arancibia,Marcelo Arancibia,213704,27
101084180600854,Juan Jose Orrego,Juan Jose Orrego,212445,61
155326881225340,Cristian Ritondo,Hablen De A Uno,211755,22
1499357633665032,IVAN KADI,Ivan Eduardo Kadi Sarich,211194,24
800794290266385,Francisco Laiseca,Francisco Laiseca,211188,12
113966001646171,Juan Pablo Poletti,Juan Pablo Poletti,209535,12
1647815162147101,Juan Pablo Allan,Juan Pablo Allan,207350,17
2021141788107491,Othar Macharashvili,Othar Macharashvili,207114,5
101580312926057,María Eugenia Chiarvetto Peralta,Maria Eugenia Chiarvetto Peralta,205153,23
109819601940472,Eduardo Camus,Eduardo Camus,204938,56
103670972714369,La Voz del Centro,La Voz del Centro,204921,16
184491722081467,Dani Lopez,Daniel Hernan Lopez De Gaetano,204600,37
335926266503071,7D,7D,203050,43
106603955035359,Fernando Carbajal,Fernando Carbajal,202142,52
113976958273258,Activar Oberá,Activar Oberá,200795,6
1842118209450315,Alejandra Vigo,Ale Vigo,200000,2
231635610267892,Policía de la Ciudad,Gobierno de la Ciudad de Buenos Aires,199991,15
113154660093157,Marca informativa,Marca informativa,199207,17
109554821547169,CPC Jardín MuniCba,municipalidad de córdoba,198874,3
1632364173709710,Juan Cruz Curá,Juan Cruz Curá,198746,20
1452353831716808,Gustavo Canteros,Proyecto Corrientes,198658,10
103846469204203,La Ola Noticias,La Ola Noticias,197771,20
110492713536,Santa Fe Capital,Santa Fe Capital,196094,9
723384297773969,Walter Berarducci,Walter Fabian Berarducci,196008,7
107631983989726,Argentina Federal,Argentina Federal,195681,19
194377447332998,Municipalidad de Villa Carlos Paz,Municipalidad de Villa Carlos Paz,195302,70
461511601302238,Monica Juarez Salta,Mónica Gabriela Juárez,194947,9
587918571392007,Lucas Figueras,Fundación Pensar Chaco Desarrollo,193964,6
114364621598017,Vamos San Juan,Frente San Juan por Todos,192626,21
101835199221060,Jorge Andrés Difonso,Jorge Andrés Difonso,192586,8
1639126129662368,La Nota Web,La Nota Web,190902,39
81460078787,Eduardo Accastello,Eduardo Accastello,190296,150
1027234010744067,Ruben Armando Rivarola,Ruben Armando Rivarola,189207,13
100238346340967,Informativo Global,Informativo Global,187500,4
106809542339751,Juan Pablo Chiesa,Juan Pablo Chiesa,187486,25
102187456039094,Enterate Ya,Enterate Ya!,186790,19
238546219688035,Felipe Alvarez,Fundación Innova La Rioja,186778,104
111452835245770,Adriel Dalgaard Knott,Adriel Compromiso por San Luis,186586,16
111051871572130,Partido Libertario La Pampa,Roberto Miguel Prchlik,185727,44
104782484202318,Medio Buenos Aires,Medio Buenos Aires,185636,6
985257904886548,"Gaston Esperanza "" Seamos ParTe """,Jonatan Gaston Esperanza,185227,45
1143439962443489,Aldana Ahumada,Aldana Ahumada,184617,7
510967549723099,Zona Informativa,Zona Informativa,184212,5
1491984484412073,Juan Casañas,Juan Francisco Casañas,184146,8
120343584305760,Nati Aguiar,Natalia Aguiar,181126,40
1541428379519312,Luciano Demarco,Luciano Demarco,179845,43
383290885764994,Provincia Grande,Provincia Grande,179624,9
1030058910343698,Federico Javier Cacace,Alejandro Cacace,179053,8
730843503705155,Roberto Sanchez,Roberto Antonio Sanchez,177790,48
434557003334061,Municipalidad del Pilar,Municipalidad del Pilar,177671,20
604770309648894,José Lepere,José Lepere,177000,17
175844725888213,Alejandro Bodart,MST Movimiento Socialista de los Trabajadores,176237,14
265302760230039,Enrique Ponce,Enrique Ponce,175502,3
104417732484057,El Independiente Noticias,El Independiente,174773,17
640722522699699,Sergio Checho Basile,Sergio Checho Basile,174420,10
103462642684045,Ger Cura,Gerardo Jose Cura,172580,61
102007812840437,Jóvenes con Wado,Jóvenes con Wado,171531,49
327454924058033,Mariano Campero,Mariano Campero,170495,35
924072727651543,Natalia Morales,Frente de Izquierda,170162,16
381606528676792,Capital San Juan,Capital San Juan,169445,22
