Page ID,Page name,Disclaimer,Amount spent (IDR),Number of ads in Library
109369835215249,Goodkind Indonesia,Bangun Indonesia Baik PT,258282,2
113037281623772,Tangerang Kota Bercerita,Ganjar Nusantara Indonesia,251656,2
1376974779256826,Saiful Mujani Research and Consulting SMRC,Saidiman,249999,1
300085103441545,Lensa Edwin Pratama,Edwin Pratama Putra,249683,1
1017560454991144,KL Lazismu Mantrijeron,These ads ran without a disclaimer,242488,4
106092174894443,Mas Faisol Riza,These ads ran without a disclaimer,240672,2
113307277699173,Info Kebumen Ngapak,Bayu Wicaksono,240000,13
92211844395,Suara Merdeka Network,Youlanda,240000,1
100246718451350,Pekalongan Raya ID,Bayu Wicaksono,239997,13
107318141100190,Semarang Raya Terkini,Bayu Wicaksono,239994,13
100676262667808,Story Nusantara,Bayu Wicaksono,239990,13
100147872667354,Kata Nusantara,Bayu Wicaksono,239976,13
103742372435301,Serang News,Ganjar Nusantara Indonesia,239804,2
110056788323890,Pikiran Indonesia,Bayu Wicaksono,239347,13
108570154648178,Fraksi PAN DPRD DKI Jakarta,These ads ran without a disclaimer,238842,1
107712755364133,Melihat Tangerang,Ganjar Nusantara Indonesia,238140,2
1590142214577386,Intsiawati Ayus,Intsiawati Ayus,236899,7
100357306113912,Bone tersenyum,Ganjar Nusantara Indonesia,236591,2
121947964172532,Sehat Bersama,These ads ran without a disclaimer,233428,1
106304798840888,Potret Pandeglang,Ganjar Nusantara Indonesia,231047,2
103686519246735,Guy Golan,These ads ran without a disclaimer,230372,3
100952802619141,yclub.io,These ads ran without a disclaimer,230234,1
114460673670696,Pati Raya ID,Bayu Wicaksono,229799,13
105433402385519,"Dasril, SP",Darwis,227095,2
110440058420230,Discussion Cilegon,Ganjar Nusantara Indonesia,224777,2
113441885019936,Kawan Sigit Raditya,Muhamad Rizqy Mubaroq,223272,1
211489955729025,KompasData,Harian Kompas (PT Kompas Media Nusantara),220000,2
107799574074521,Rachmat Gobel Chanel,Alyun Hasan Hippy,219687,4
117532667995081,Lesley Goins,These ads ran without a disclaimer,219193,1
402728146411083,KOBARKSB.com,PT Media Arus Tengah Anorawi,216599,4
300594443651586,DPC Partai Demokrat Situbondo,Janur Ananda,214667,2
101120396317496,Pemerintah Kabupaten Gresik,Ahmad Faizin Karimi,207424,3
112465261559898,Lensa Kutai Kartanegara,Ganjar Nusantara Indonesia,200000,1
108358428631534,Lampung Selatan Bersuara,Ganjar Nusantara Indonesia,200000,1
116357131050852,Rumah Kita jambi,Ganjar Nusantara Indonesia,200000,1
101759701622022,PSI Merauke,Jeremias Michael Omona,200000,1
101552865962561,GP Oku Raya,Ganjar Nusantara Indonesia,200000,1
103117879108618,Jatim Untuk Ganjar,Ganjar Nusantara Indonesia,200000,1
111613951635299,Lampung Timur Pedia,Ganjar Nusantara Indonesia,200000,1
100246718451350,Pekalongan Raya ID,Ganjar Nusantara Indonesia,200000,1
101491652672085,Gagasan Banyuasin,Ganjar Nusantara Indonesia,200000,1
111519674977954,Lampung Utara Media,Ganjar Nusantara Indonesia,200000,1
105316368950838,Pantau Magelang,Ganjar Nusantara Indonesia,200000,1
100343616115301,Deli serdang tertanam,Ganjar Nusantara Indonesia,200000,1
107035344562187,Ganjar Presiden 2024,These ads ran without a disclaimer,200000,1
188027331578313,Andre Lukman,Andre Lukman,200000,1
100452782779664,Kubu Raya Terpancar,Ganjar Nusantara Indonesia,200000,1
106584595452427,Rumah GP Pantura,Ganjar Nusantara Indonesia,200000,1
111241268349257,Ogan Komering ilir Cerita,Ganjar Nusantara Indonesia,200000,1
110101038466059,Tanah Terbit,Ganjar Nusantara Indonesia,200000,1
101872465967714,Samarinda Bahagia,Ganjar Nusantara Indonesia,200000,1
