Page ID,Page name,Disclaimer,Amount spent (VND),Number of ads in Library
114659731458561,CRUs - World of Fine Wine,These ads ran without a disclaimer,24172,1
104865382367697,Kênh Đầu Tư Phát Triển 6.0,These ads ran without a disclaimer,23817,1
117052698001766,First Wala,These ads ran without a disclaimer,23459,1
100427526341454,Active active,These ads ran without a disclaimer,23459,2
107129734670954,Ước Mơ Việt Tân,These ads ran without a disclaimer,23459,1
119918657743212,Mắt xanh Việt Nam,These ads ran without a disclaimer,22814,1
111894071863081,AUDIO GUIDE,These ads ran without a disclaimer,22408,1
156279764411149,Times Higher Education,These ads ran without a disclaimer,21538,3
108611165334493,Nhà Sách pháp luật,These ads ran without a disclaimer,19560,1
131189377574,MDPI,These ads ran without a disclaimer,16403,2
105333079151466,Tiệm sách bình dân,These ads ran without a disclaimer,14522,1
565225540184937,CGTN,These ads ran without a disclaimer,13841,6
109712411731891,Lý Yến,These ads ran without a disclaimer,13427,1
105269258108591,EGCO Group,These ads ran without a disclaimer,12417,1
103355402674135,Thẩm Mỹ Giảm béo Công nghệ cao,These ads ran without a disclaimer,11466,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,11260,39
100123612855309,Phòng Khám Da Liễu YC - Chuyên Khoa Trị Dứt Điểm Viêm Nang Lông,These ads ran without a disclaimer,9120,1
112394984287192,Communication R&D 溝通策略研究室,These ads ran without a disclaimer,8391,1
534501813735280,Môi Trường GreenView,These ads ran without a disclaimer,8304,1
107452328992112,Holiz Mart,These ads ran without a disclaimer,7364,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,6991,1
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,6672,1
101836595712629,Chu Hoàng Anh,These ads ran without a disclaimer,5870,1
115949191465436,Vào nhóm miễn phí-65,These ads ran without a disclaimer,5449,2
148475051852754,Rockefeller Foundation,These ads ran without a disclaimer,5396,3
105428765492035,Dân Chơi Bóng Đá - Sôi Động Cầu Trường Gzone,These ads ran without a disclaimer,5204,1
1397405843841104,Ines de la Fressange Paris,These ads ran without a disclaimer,4920,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,4686,5
285530825204,Klitschko,These ads ran without a disclaimer,4661,5
122026544199679,ID1,These ads ran without a disclaimer,4143,1
110980888642151,Twibbon April,These ads ran without a disclaimer,3821,4
634353556597447,Tieng Anh Nghe - Noi,These ads ran without a disclaimer,2933,1
315543515306,Jing Daily,These ads ran without a disclaimer,2815,1
