Page ID,Page name,Disclaimer,Amount spent (NZD),Number of ads in Library
100171345951023,Fridays for Future Tāmaki Makaurau,Fridays for Future Tāmaki Makaurau,≤100,2
111615976995805,Friends of Ukraine,Roman V. Kashpir,≤100,1
116848848001997,Voters United NZ,These ads ran without a disclaimer,≤100,1
121765246143,Nelson Arts Festival,These ads ran without a disclaimer,≤100,1
1439190239447866,Canterbury Socialist Society,These ads ran without a disclaimer,≤100,1
153621658012598,Sea Shepherd Australia,These ads ran without a disclaimer,≤100,2
151942197817,New Zealand Wine,These ads ran without a disclaimer,≤100,2
104593458269168,Your Daily Fun Break,These ads ran without a disclaimer,≤100,12
104099512361482,Funnies Now - Magazine,These ads ran without a disclaimer,≤100,6
100494758901713,Tauranga Labour,"Tauranga Labour, Auth by R Salmond, 160 Willis St, WLG",≤100,2
64579042740,Barron's,These ads ran without a disclaimer,≤100,6
102664202563883,Councillor Mark Arnott,Mark Arnott,≤100,1
112793716847509,Environmental Law Initiative,Environmental Law Initiative,≤100,1
138288682908752,World Literacy Foundation,These ads ran without a disclaimer,≤100,2
160855903938854,Megan Woods - MP for Wigram,Megan Woods,≤100,1
384422538296426,United Palestinian Appeal - UPA,These ads ran without a disclaimer,≤100,2
116840435045124,Napier City Council - Te Kaunihera o Ahuriri,Napier City Council,≤100,1
1671535913101759,Entrust,These ads ran without a disclaimer,≤100,1
413736982164787,Awesome Inc,These ads ran without a disclaimer,≤100,2
411973422963732,Twenty Daily,These ads ran without a disclaimer,≤100,1
48363495049,Wānaka,These ads ran without a disclaimer,≤100,3
661151584396036,Parents for Climate Aotearoa,Alicia Rose Hall,≤100,1
757440877654306,History Hit,These ads ran without a disclaimer,≤100,1
553328661702009,Employment New Zealand,These ads ran without a disclaimer,≤100,2
123268667727260,Go Eco,These ads ran without a disclaimer,≤100,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
104724131639681,Adhikaar Aotearoa,These ads ran without a disclaimer,≤100,1
107392108770132,Daily Countdown,These ads ran without a disclaimer,≤100,1
114926968177854,MyAdalins,These ads ran without a disclaimer,≤100,10
116475276864078,Woman+,These ads ran without a disclaimer,≤100,1
1439364926329185,Animal Matters,These ads ran without a disclaimer,≤100,1
138187802907388,Life at Mars,These ads ran without a disclaimer,≤100,2
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,82
181890091876904,Medair,These ads ran without a disclaimer,≤100,1
1296462970399421,Repair Cafe Aotearoa NZ,These ads ran without a disclaimer,≤100,1
141376955945754,Webjet.co.nz,These ads ran without a disclaimer,≤100,1
103045794397820,Selfawear,These ads ran without a disclaimer,≤100,1
113151808714529,Beef + Lamb New Zealand,These ads ran without a disclaimer,≤100,1
107937407609923,Arena Williams MP,Arena Williams MP,≤100,1
8539814909,International Animal Rescue,These ads ran without a disclaimer,≤100,8
104142955891242,Sustaining Freedom,These ads ran without a disclaimer,≤100,1
609245665885381,The University of the South Pacific Students' Association,These ads ran without a disclaimer,≤100,1
190710259099,New Zealand Geographic,These ads ran without a disclaimer,≤100,2
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,9
101629894640758,Brainz Magazine,These ads ran without a disclaimer,≤100,1
136266656430479,Volkswagen R,These ads ran without a disclaimer,≤100,1
1984552065157096,Organic Week NZ,Organic NZ,≤100,1
907318939459349,Waitaki Voice,These ads ran without a disclaimer,≤100,1
1037575203088184,"International Socialists, Ōtepoti Dunedin",These ads ran without a disclaimer,≤100,1
108166048910328,Срочные Новости,These ads ran without a disclaimer,≤100,2
100451933698060,AdVenture Communist,These ads ran without a disclaimer,≤100,2
104347427992721,Freedom Aotearoa New Zealand,These ads ran without a disclaimer,≤100,1
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,3
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,1
101562699358103,Bright Universe,These ads ran without a disclaimer,≤100,1
109439615316279,Just Say No,Just Say No,≤100,1
103590365988182,PureSquare,These ads ran without a disclaimer,≤100,1
1014107102104103,Wao Aotearoa,These ads ran without a disclaimer,≤100,1
100461996374188,top_prioritees,These ads ran without a disclaimer,≤100,2
104177748302844,Unsolved Mysteries,These ads ran without a disclaimer,≤100,1
245094455536925,FOUR PAWS,These ads ran without a disclaimer,≤100,1
106594811701754,Whakaora - Our Thriving City,These ads ran without a disclaimer,≤100,1
110993941170214,ChidoBook,These ads ran without a disclaimer,≤100,1
1050770641685642,Mond,These ads ran without a disclaimer,≤100,1
