Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
378598039556864,María José Puigrredón,María José Puigrredón,478992,3
102854689398571,Jessica Bengoa,Arturo Ignacio Díaz Medina,476913,8
103463095024719,Curiocity,Curiocíty,462936,10
120295334652273,Enrique Van Rysselberghe Herrera,Enrique Van Rysselberghe Herrera,456247,29
113973951635669,sandralamalarenas,Sandra Teresa Lama Larenas,452601,6
107152958969232,Josefina Letelier,Josefina Letelier,452086,8
1447342118848920,Universidad Adolfo Ibañez,Universidad Adolfo Ibáñez,451382,10
429657563782175,Vlado Mirosevic Verdugo,Vlado Mirosevic Verdugo,448123,16
117215271317591,Loreto Campana C-17 Consejera Constituyente,Loreto Ester Campana Morales,447872,10
101077969210224,Corporación Clúster Minero Región de Antofagasta,Corporación Cluster Minero Región Antofagasta,444462,14
280326368663728,Asociación de Industriales de Iquique,Asociacion de Industriales Iquique,444462,14
116879721345459,Roberto Cortez Consejero Constitucional 2023,Roberto Flavio Cortez Rojas,438085,9
105766605793061,Kinturay Melin Rapiman,Kinturay Melin Rapiman,437921,32
246478779511291,Lex Grupo Abogados,Lex Grupo Abogados,435257,1
103946825976962,Cristian San Martín Abogado Candidato Consejero Constitucional B-6,Cristian Daniel San Martin Carrasco,429244,11
114998294847196,Aldo Bernucci Constituyente,Aldo Dino Bernucci Diaz,426304,4
109274558738561,Beatriz Hevia Consejera Los Lagos,Beatriz Hevia Consejera Los Lagos,426091,4
110950955273185,Germán Becker Araucanía,GERMÁN ANTONIO BECKER ALVEAR,424388,11
107981168904669,José Antonio González P. - Consejero Constitucional,José Antonio González P. - Consejero Constitucional,416529,6
558224964238853,Anglo American,Anglo American,414016,3
102326269466587,Mauricio Pavez,Mauricio Pavez Galaz,411669,6
107805868900041,Giovanni Calderón Bassi,Giovanni Oscae Calderon Bassi,401222,6
111682861850546,Nalto Constituyente 2023,Nalto Espinoza Hurtado,400000,5
108291914947259,Mi Derecho a Educar,Mi Derecho a Educar,399683,4
1661207433889496,Dr Salvador Urrutia y Constitución,Dr Salvador Urrutia y Constitución,390980,17
10192152668,Renovación Nacional,Renovación Nacional,387013,70
106112795743664,Verónica Garrido Briceño,Verónica Garrido Briceño,375431,11
111317208052178,Jocelyn Ormeño,Jocelyn Priscilla Ormeño Lee,371976,24
111780888572874,Francisca Rojas Consejera Constitucional,Francisca Rojas,366254,11
203934690134245,Pilar Cuevas Consejera Constitucional,Pilar Cuevas Consejera Constitucional,349550,6
108291914947259,Mi Derecho a Educar,Felipe Varela,348544,8
295886120554128,Polpaico,Cemento Polpaico SA,344939,18
103522812684363,Patricia Spoerer Price,Patricia Spoerer Price,344166,23
113924653318737,ICF,ICF,343292,7
376352265809593,Guillermo Ceroni 2023,Guillermo Ceroni Fuentes,343094,12
109223661574079,Andres Guerra Vega,Andres Guerra Vega,341956,24
103565788759265,Andrea Quijón Constituyente,Erna Andrea Quijón Godoy,341102,17
105362052496422,Nancy Carola Márquez Consejera,Germán Antonio Sepúlveda Mellado,323224,20
181189911970230,Alberto Undurraga V,Alberto Undurraga V,320887,5
1336285853115250,Leslie Briones Rojo,Leslie Briones Rojo,320376,7
101971746225156,Claudia Ortega Sáez,Claudia Polette Ortega Saez,317223,8
2257351691213562,Noticias que marcarán pauta,Noticias que marcarán pauta,314270,8
194708347256755,Puranoticia.cl,Puranoticia.cl,311627,57
103030962615298,Chile YAAC,Chile YAAC,310854,12
119639157745671,Pedro Omar Lamas E-20 Consejero Constitucional,Pedro Omar Lamas Gutierrez,306782,22
100510532979740,Pablo Cuevas Biobío,Magda Lena,300551,13
115213264819834,Carol Aros Seguel,Gonzalo Hans Sánchez Sanhueza,300000,3
107254382286066,Aldo Sanhueza Consejero Constitucional,Aldo Sanhueza Carrera,296960,6
101876126200855,Gonzalo Vega Moreno Consejero Constitucional,Gonzalo Andres Vega Moreno,296576,21
107308047493017,Camila Sabando Consejera Constitucional,Camila Sabando Vega,293587,14
102422525535808,FARMACIAS PUNTO BLANCO,Ranko Frane Lenac Pizarro,291784,12
112555455065264,Vehículos en Peligro,Vehículos en Peligro,290305,29
293103284121826,Fundación Para el Progreso,Fundación Para el Progreso,287818,37
256214294989170,DaleProfe,daleProfe,287270,63
107061169026057,José Mardones Gallardo,Jose Mardones G,279165,12
115963444746860,Solange Carmine Constituyente,Solange Carmine,278594,14
101531652883635,Liliana González Consejera Constitucional,Daniela Del Sol Platarrueda Lopez,271090,10
108646898818665,Dominica Guzmán consejera constitucional,Dominica Guzmán,266333,3
113034028357700,Jaime Ravinet,Jaime Ravinet,263977,4
419006974914571,Facultad de Agronomía e Ingeniería Forestal UC,Facultad de Agronomía e Ingeniería Forestal UC,259075,20
105141989175834,Kenssel Rojas,Kenssel Rojas,250888,8
100916182367499,Carmen Gloria González Burns,Carmen Gloria González Burns,247256,1
