Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
172271576134185,Habitat para a Humanidade Brasil,Habitat para a Humanidade Brasil,2524,14
101687831462814,"Rodrigo Andrade, A Real Mudança",Rodrigo Andrade,2503,94
163372447147733,Cidade de Assis,Prefeitura de Assis,2503,60
194584543896006,Intimus,These ads ran without a disclaimer,2500,1
107066385613890,Instituto yduqs,David Bryan Cardoso Alexandre,2500,3
104161123005913,Fundação Tide Setubal,Fundação Tide Azevedo Setubal,2493,29
273642106068512,Paulo Alexandre Barbosa,Paulo Alexandre Pereira Barbosa,2485,21
360282804039745,Reinaldo Azambuja,Reinaldo Azambuja Silva,2465,18
1206261422820710,Prefeitura de Foz do Iguaçu,Prefeitura de Foz do Iguaçu,2460,36
100217684890687,Guia da OAB,These ads ran without a disclaimer,2458,2
46904134466,Tecnisa - Mais construtora por m2,These ads ran without a disclaimer,2455,1
1263053750454913,Prefeitura de Caçapava,PREFEITURA DE CAÇAPAVA,2449,9
350875841718469,Sindicato dos Metroviários,SindimetrôRS,2443,19
168785339932466,Câmara Municipal de João Pessoa,Câmara Municipal de João Pessoa,2439,42
113598201097039,Mano Medeiros,Luiz Inojosa De Medeiros,2431,15
106706101241632,Raiff Matos,Raiff Matos,2430,14
1746222495610114,Prof. Karine Waldrich,Karine Waldrich,2419,4
260528207360293,SEPE RJ - Oficial,Sindicato Estadual dos Profissionais da Educação do Rio de Janeiro,2407,17
186758178112935,Assembleia Legislativa do Espírito Santo,These ads ran without a disclaimer,2372,1
172154116311925,Sindserv Santos,Sindserv Santos - Sindicato dos Servidores Públicos Municipais de Santos,2358,15
1720125068073321,Flávio Arns,Flávio Arns,2356,43
124116941088719,Prefeitura de Macapá,Munícipio de Macapá,2346,4
106063862426200,nelsoncanedoadvogado,Nelson Canedo Motta,2336,25
436336693077946,Caio Cunha,Caio Cunha,2330,14
842245655790289,Júnior Ferrari,Júnior Ferrari,2323,12
173480706086444,The Nature Conservancy Brasil,The Nature Conservancy Brasil,2297,13
303981736949468,Jingle Vinheta,Paulo Magalhaes,2268,57
201991609984528,Odair Cunha,Odair José da Cunha,2266,57
257401334462190,Antonio Donato Madormo,Antonio Donato Madormo,2266,4
139007399495933,Fundação SOS Mata Atlântica,FUNDACAO S.O.S. PRO-MATA ATLANTICA,2259,20
108147365877214,Canal Futura,Fundação Roberto Marinho,2258,40
224968724875918,Idilvan,Antonio Idilvan De Lima Alencar,2251,20
532437563912162,Prefeitura de Água Boa,Prefeitura de Água Boa,2249,10
126491270729748,Childhood Brasil,Childhood Brasil,2235,1
226121024066240,WRI Brasil,WRI Brasil,2232,23
114528465397935,Prefeitura de São Gabriel da Palha,Prefeitura de São Gabriel da Palha,2231,3
110059913724200,Ricardo Molina,Ricardo Molina Dias,2229,25
157912844276400,Governo da Bahia,These ads ran without a disclaimer,2229,3
420272671479041,Do Carmo,Do Carmo,2224,29
621860057874788,República Marketing Político,República Marketing Político,2223,59
364736787037906,Professor João Paulo Oliveira,Professor João Paulo Oliveira,2209,14
194395877379866,Saulo Souza,Saulo de Oliveira Souza,2208,16
111006700550820,Cenarium Amazônia,Cenarium Agência de Notícias Ltda,2187,77
310566012782299,PUCRS Online,These ads ran without a disclaimer,2186,1
107887457707524,Raquel Chini,Raquel Auxiliadora Chini,2184,20
151189004972368,Panasonic Brasil,These ads ran without a disclaimer,2175,3
100106159009340,Marcelo Messias,MARCELO MESSIAS,2141,11
106035072456881,Nelson Amado Noivo,Juliane Lotke Amorim,2128,71
186758178112935,Assembleia Legislativa do Espírito Santo,PUZZLE ADS,2116,1
285083994905681,MDB Mulher Nacional,MOVIMENTO DEMOCRATICO BRASILEIRO BRASIL BR NACIONAL,2114,25
1737308239666824,Janad Valcari,Janad Marques De Freitas Valcari,2113,16
1535438430007461,Fábio Avelar,Fábio José de Oliveira,2109,26
481960978885807,Paula Belmonte,PAULA MORENO PARO BELMONTE,2099,48
1977144492578298,Bruno Secco,Bruno Secco Souza,2093,10
390501545079417,Silvia Cristina,Deputada Silvia Cristina,2088,22
1573310519364782,Paulo Sérgio,Paulo Sérgio Ferreira,2083,7
608128582573914,Roberto Dorner,Roberto Dorner,2078,26
1423260667905496,Câmara Municipal de Salvador,Câmara Municipal de Salvador,2071,4
471542526362059,Fetec PR - Federação dos/as Trabalhadores/as em Empresas de Crédito do PR,Fetec PR - Federação dos/as Trabalhadores/as em Empresas de Crédito do PR,2066,63
2544666325578449,Eleja.se,Eleja.se,2064,36
108397235444330,Seu Crédito Aprovado 2.0,These ads ran without a disclaimer,2059,1
105019188508288,Diego Vaz,Diego Vaz,2059,17
123890651548764,Roche Brasil,These ads ran without a disclaimer,2051,7
432332470192505,Verônica Lima,Verônica dos Santos Lima,2051,3
239451279837280,Daniel Donizet,DANIEL XAVIER DONIZET,2051,19
216474455105209,Rubens Otoni,Rubens Otoni,2050,38
112208748024338,Agência Rockn - Marketing de Resultados,Carlos Bomfim,2046,270
739029772875928,João Henrique,João Henrique Miranda Soares Catan,2045,23
117783427962685,Jose Silva,These ads ran without a disclaimer,2025,164
217423271714827,Elvino Bohn Gass,Elvino Jose Bohn Gass,2015,40
69488070826,Fundação Abrinq,Fundação Abrinq,2012,6
117903068817531,Clodoaldo Magalhães,Clodoaldo Magalhães,2010,35
614016465286603,CPERS/Sindicato,CPERS/Sindicato,2000,4
109789152161,Sou da Paz,Sou da Paz,1985,41
1694222100834813,Marcos Marques,Marcos Marques,1973,22
197055404071409,Felipe Souza,Felipe Souza,1963,11
476012199439532,Dr. George Lins,George Augusto Monteiro Lins de Albuquerque,1952,9
962615323779536,Progressistas,Progressistas,1949,11
1024334357660235,Lucas Oliveira,These ads ran without a disclaimer,1926,13
485434228470137,Tenente Coimbra,Deputado Estadual Tenente Coimbra,1922,9
365328780221103,Museu da Pessoa,Museu da Pessoa,1921,3
136984123032921,Mercedes-Benz Brasil,These ads ran without a disclaimer,1916,3
1395013197441419,Márcio Honaiser,Márcio Jóse Honaiser,1908,35
106788032190540,Alan Lopes Rio,Alan Lopes Rio,1905,8
334514343302606,Governo do Estado do Rio Grande do Norte,These ads ran without a disclaimer,1902,1
1385505868350890,Izalci Lucas,Izalci Lucas,1899,12
500096303711663,Thiago Rangel,Thiago Rangel,1894,16
552483638152177,Giovani Cherini,Deputado Cherini,1889,22
262829777095884,Rodrigo Ashiuchi,Rodrigo Kenji De Souza Ashiuchi,1880,31
241839765912021,Estratégia Concursos,These ads ran without a disclaimer,1874,21
686957841396310,Vitório Júnior,Vitório Júnior,1863,22
726792094131244,Césinha,Cesar Brizolara,1863,72
100992545589724,Gigante 163,Gigante 163,1850,80
666404146756018,Progressistas PI,Diretório Estadual do Progressistas - PI,1845,7
179837479250006,Marcelo Lino,Marcelo Lino Da Silva,1834,8
101837489423319,Dr. Mauro Ramalho,Dr. Mauro Ramalho,1832,6
327966137397646,Rafa Zimbaldi,Rafael Fernando Zimbaldi,1832,15
106535201965040,Burocracia Zero,Burocracia Zero,1829,23
102913435793947,Beatriz Santos,These ads ran without a disclaimer,1821,57
1960660980851902,Leiagora Portal de Notícias,PORTAL DE NOTICIAS LEIAGORA,1820,39
812448422259685,Os pedagógicos,These ads ran without a disclaimer,1820,88
1501236886772782,Wellington Fagundes,Wellington Antonio Fagundes,1818,29
