Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
1482897701997453,Paloma Valencia,Paloma Valencia,176723,5
913316352080733,Jhonny Giraldo,Jhonny Stevenson Giraldo Aragon,173733,8
517403111646259,Andap Nacional,ANDAP Academia Nacional de Aprendizaje,172922,3
374420759324585,Jorge Eliécer Tamayo Marulanda,Jorge Eliécer Tamayo Marulanda,172722,5
466445923412524,Miguel Ángel Barreto,Joshua Escobar Rengifo,172612,5
102527014773619,"Oficina Asesora Mujer, Infancia, Adolescencia y Asuntos Sociales Huila",Lina Marcela Ramón Maya,170855,11
102847306082553,Tunja Merece Más,Daicy Celiani Echeverri Castillo,170000,2
1458739367777443,Wilson Gonzalez Piedecuesta,Wilson Gonzalez,169811,4
1273292796093918,Nicolás Toro Muñoz,Nicolás Toro Muñoz,169667,5
108202298520665,LaDigital.co,La Digital,169207,6
116618421366582,Guatapé Progresa,Dairo Mesa,169074,2
419817215217632,Tecnología y Servicios Electorales,Tecnología y Servicios electorales S.A.S,164477,2
1823807254333065,Soy Más País,Soy Mas Pais,162696,13
100658372949361,Carlos Pacho Perea,Carlos Alberto Perea Cardona,161895,8
1037508046302965,Griselda Janeth Restrepo Gallego,Griselda Janeth Restrepo Gallego,161771,2
1803279899993382,"Ni Una Palmadita, Fernanda Restrepo",These ads ran without a disclaimer,159579,3
1605232543052696,Julio Mario Rey Rojas,Julio Mario Rey,158889,5
275486829735525,Johan Steed,Johan Steed,157845,2
106973842317140,Sophia Ribeiro,These ads ran without a disclaimer,155428,9
294898197565707,Martin Rivera Alzate,Martin Rivera Alzate,155012,1
355341287994204,Marcos Daniel Pineda García,Marcos Daniel Pineda García,154269,42
112196040176896,Rigo Alexander Vega Ortiz,Carlos Mario Lievano Henao,153596,4
212483219648777,Juan Camilo Restrepo,Juan Camilo Restrepo,153443,4
109036971779080,Marco Antonio Urbano Gaviria,Marco Antonio Urbano Gaviria,153247,5
107868007400413,Risaralda Opina,Risaralda Opina,151361,6
111772564882372,Jhon Edwin Andrade,Jhon Edwin Andrade,149997,2
490805864681694,Foro Nacional Por Colombia - Capítulo Región Central,Deisy Viviana Arevalo Sotelo,149793,1
110268254803719,Johana Orozco Pallares,Corazón del Cambio,149581,1
