Page ID,Page name,Disclaimer,Amount spent (FJD),Number of ads in Library
18098593183,Anil Kant,These ads ran without a disclaimer,≤100,2
219612384781411,Bloomberg Philanthropies,These ads ran without a disclaimer,≤100,10
101418105927167,Instant_Monitor,These ads ran without a disclaimer,≤100,1
105806708960852,Webfic - Read Romance Story,These ads ran without a disclaimer,≤100,4
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,≤100,1
176104589110851,IEEE,These ads ran without a disclaimer,≤100,3
2552060571686733,Novakid Polska,These ads ran without a disclaimer,≤100,2
102256345834907,Sosoo wallpaper-zw 5.19,These ads ran without a disclaimer,≤100,1
1617753965111540,Oil and Gas World/Oil Sands Strong,These ads ran without a disclaimer,≤100,1
193394557345243,Devex,These ads ran without a disclaimer,≤100,7
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100,32
139577716095155,Newcastle University,These ads ran without a disclaimer,≤100,2
348531276233537,Koala Mag,These ads ran without a disclaimer,≤100,18
147109888636038,Netafim,These ads ran without a disclaimer,≤100,2
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,24
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,≤100,7
95775573753,Frontiers,These ads ran without a disclaimer,≤100,8
315603771494,Milaap,These ads ran without a disclaimer,≤100,40
139098866100198,Merri-bek City Council,These ads ran without a disclaimer,≤100,1
109018655001901,Iamlove.tv,These ads ran without a disclaimer,≤100,1
108966741644172,Koray Beserler 1,These ads ran without a disclaimer,≤100,5
162217293820148,"Nicole Conn, Writer/Director",These ads ran without a disclaimer,≤100,1
111105677346268,Global Youth Leadership Center,These ads ran without a disclaimer,≤100,2
410468712438117,Market Development Facility,These ads ran without a disclaimer,≤100,1
105554772054684,Thunderbros,These ads ran without a disclaimer,≤100,2
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,2
517231405008910,Global Landscapes Forum,These ads ran without a disclaimer,≤100,9
100126212204265,Homebond Properties,These ads ran without a disclaimer,≤100,1
241664783089008,Xin,These ads ran without a disclaimer,≤100,3
1048215361885037,معرض الكانتون,These ads ran without a disclaimer,≤100,3
1456172994602986,Beacon of Hope,These ads ran without a disclaimer,≤100,2
144858089034875,Kudos: Science needs Stories,These ads ran without a disclaimer,≤100,1
105363750882345,Young Activists Summit,These ads ran without a disclaimer,≤100,15
103512969698091,Le Tour de France,These ads ran without a disclaimer,≤100,1
50461955643,UNSW,These ads ran without a disclaimer,≤100,5
10606591490,TIME,These ads ran without a disclaimer,≤100,5
1542919985972196,Feria de Cantón,These ads ran without a disclaimer,≤100,4
597859916903978,Nomad Africa Magazine,These ads ran without a disclaimer,≤100,2
101289218907718,Web News,These ads ran without a disclaimer,≤100,3
115643231860955,Love Wins.:LGBT,These ads ran without a disclaimer,≤100,1
1881543645439590,Tech It Out with Yang Zhao,These ads ran without a disclaimer,≤100,7
213000859039052,SANY Group,These ads ran without a disclaimer,≤100,2
207242941103,The Deen Show,These ads ran without a disclaimer,≤100,4
107920015955441,Webmedia South Pacific,These ads ran without a disclaimer,≤100,2
2323857131218184,Pacific Resilience Partnership,These ads ran without a disclaimer,≤100,1
128985777176957,Church Life Journal,These ads ran without a disclaimer,≤100,7
1164694603562682,FastTony.es,These ads ran without a disclaimer,≤100,2
102504238965672,womenofcryptonft,These ads ran without a disclaimer,≤100,4
402685743676956,E-Volve Energy,These ads ran without a disclaimer,≤100,1
1984620174988993,1945 Air Force,These ads ran without a disclaimer,≤100,2
107714748645793,Big Buzz,These ads ran without a disclaimer,≤100,4
111383104971766,LAU Education - a Charitable Trust,These ads ran without a disclaimer,≤100,1
326770580739640,Tikkun Global,These ads ran without a disclaimer,≤100,1
195799657105195,SEGi University & Colleges,These ads ran without a disclaimer,≤100,17
699573343493975,Camera Translator-1,These ads ran without a disclaimer,≤100,2
1418847414842462,Asia Youth International MUN,These ads ran without a disclaimer,≤100,3
189232005248268,CTG,These ads ran without a disclaimer,≤100,14
1198498803640966,The East Gate,These ads ran without a disclaimer,≤100,2
145327659223282,Nature Index,These ads ran without a disclaimer,≤100,1
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,3
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
8539814909,International Animal Rescue,These ads ran without a disclaimer,≤100,9
34440108608,Net Impact,These ads ran without a disclaimer,≤100,12
1041958629230034,Breathofairtestimonies,These ads ran without a disclaimer,≤100,1
104372528749645,magocorocomete,These ads ran without a disclaimer,≤100,1
110341334098148,Uniathena - DBA,These ads ran without a disclaimer,≤100,4
223495844457800,China Plus Culture,These ads ran without a disclaimer,≤100,9
674374605962850,Future of Life Institute,These ads ran without a disclaimer,≤100,4
112177278825671,King's College London Alumni,These ads ran without a disclaimer,≤100,6
1744911689126391,12up,These ads ran without a disclaimer,≤100,11
100254824748185,Jensog-UK,These ads ran without a disclaimer,≤100,17
169098456873139,BESV,These ads ran without a disclaimer,≤100,1
101056285143983,Fight For Tuvalu,These ads ran without a disclaimer,≤100,1
1673669186277733,Freeda,These ads ran without a disclaimer,≤100,6
213507770682317,Savage to Marriage,These ads ran without a disclaimer,≤100,2
113860331311065,Unusual building,These ads ran without a disclaimer,≤100,12
101998658413144,Black Streak Anime,These ads ran without a disclaimer,≤100,12
897091320427120,LSE International Inequalities Institute,These ads ran without a disclaimer,≤100,1
100910104737405,"Zhejiang Zenbo Intelligent Machinery Co.,Ltd.",These ads ran without a disclaimer,≤100,1
109184428639401,TaxTris,These ads ran without a disclaimer,≤100,2
240336477689,FastPro-Secure&Fast-2,These ads ran without a disclaimer,≤100,4
366107457198874,Rise of Kingdoms,These ads ran without a disclaimer,≤100,2
105812628046929,VirtualRunners Global,These ads ran without a disclaimer,≤100,21
21591025194,The University of Melbourne,These ads ran without a disclaimer,≤100,4
530305363827156,UNLEASH,These ads ran without a disclaimer,≤100,4
237232729813037,FIGO,These ads ran without a disclaimer,≤100,1
15713980389,MTV UK,These ads ran without a disclaimer,≤100,4
1286486861452393,Asia World Model United Nations,These ads ran without a disclaimer,≤100,5
