Page ID,Page name,Disclaimer,Amount spent (BOB),Number of ads in Library
101798991485834,"No a los docentes dinosaurios, politiqueros y corruptos de la UMSA",These ads ran without a disclaimer,123,2
115919540249043,Comunidad Ciudadana SAN ROQUE - Potosí,Marcial Abal Cueto,123,4
102839664835767,Tu Voto Decide - Bolivia 2020,These ads ran without a disclaimer,123,5
175069489274695,Vicente Cuellar,These ads ran without a disclaimer,122,2
451256781884275,Klondike Adventures,These ads ran without a disclaimer,122,4
105193351652522,Senkata y Sacaba no se olvidan,These ads ran without a disclaimer,121,1
111182583558745,Luis Fernando Moreno - Concejal de Cobija,These ads ran without a disclaimer,121,6
106217518528394,Bilibili Comics home,These ads ran without a disclaimer,121,2
103416481724423,Alejandro Unzueta Gobernador,Yery Angel Chávez Durán,121,1
358904014529203,BARTOLOMÉ PUMA VELÁSQUEZ,These ads ran without a disclaimer,120,3
107511931026161,TU a la FUL,Christian Hugo Gumiel Eguivar,120,1
102693934629717,Profesionales de Hierro,Ronald Victor Olguin Almendras,120,2
193073124394893,"Gotitas del Saber""",Ricky Marcelo Mendoza Calderon,120,2
105733721488045,Carlos Mora Sandi Asambleista,Carlos Mora Sandi,120,4
105743901243081,Iptabol_Central,These ads ran without a disclaimer,120,1
714613835270354,Enrique Bruno,Helen Paola Terrazas Osinaga,120,3
108595884286716,Lavadora de zanahoria Irumita,These ads ran without a disclaimer,120,1
793119827714467,Accesorios Sucremall,These ads ran without a disclaimer,120,2
101263025319832,"Santos Quispe ""Wayna Mallku""",David Chachaque Cerezo,120,3
100166311675090,Certificación Expertos.edu,These ads ran without a disclaimer,120,3
2327766103964818,Comunidad Ciudadana - Regional El Alto,Edson Rodriguez Ditmeyer,119,3
100159238785281,Marco A. Pumari Arriaga  _ página oficial,These ads ran without a disclaimer,119,5
2112603248988287,Metatron,These ads ran without a disclaimer,119,1
105822644800448,Carolina Revilla la Torre,These ads ran without a disclaimer,119,2
545430258829956,República 2025,These ads ran without a disclaimer,119,2
100837878821003,"Cotoca, Concejo Municipal",Luis Javier Vargas Suarez,119,2
1487690528166258,Ciclomundo,These ads ran without a disclaimer,119,2
181924628560212,Ekō,These ads ran without a disclaimer,119,1
