Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
238142759371671,Sezer Küçükkurt,Sezer Küçükkurt,218454,135
101864842340252,Kazım Kürşad ERDİL,Kazım Kürşad ERDİL,217626,66
1985687308391802,İlhan Ocaklı,İlhan Ocaklı,214974,179
186038917916690,Veli Gündüz Şahin,Veli Gündüz Şahin,214695,54
369982453198309,İBB Kültür A.Ş,İBB Kültür A.Ş,214510,8
786257948380440,Çetin Akın,Çetin Akın,214317,440
136129292914329,Av.Koray Akkuş,Av.Koray Akkuş,214218,56
192879230583853,Sedat Kılınç Melikgazi,Sedat Kılınç,213925,100
240728899119509,Anketçiyiz,Anketçiyiz,213792,122
106187277979172,Dijital Gaste,Veysel Karahan,213108,48
1759643127582858,"T.C. Çevre, Şehircilik ve İklim Değişikliği Bakanlığı",These ads ran without a disclaimer,212895,14
100701695747178,Usta Kasap,Şenpiliç Gıda Sanayi A.Ş.,212473,152
176412715563458,Mimar Emre Afacan,Mimar Emre Afacan,212172,191
107637072318661,Balıkesir Sokakta,Balıkesir Sokakta,211654,56
102504175218868,ALİ GÜR,ALİ GÜR,210629,140
225170407346158,Hasan Süha Saral,Hasan Süha Saral,205880,100
2006197179633765,Abdulkadir Karaduman,Abdulkadir Karaduman,205445,81
204137319441071,Muhammed Emin Demirkol,Muhammed Emin Demirkol,205035,96
214711155068169,Serkan Akkirman,Serkan Akkirman,204966,28
144295649058307,Ekrem İmamoğlu,İstanbul Dijital Medya AŞ,204433,111
111357488547602,Utku Caner Çaykara,Meta Bilgi Teknolojiler,203955,52
308977995947153,Halil Pekdemir,Halil Pekdemir,200516,39
1572930319495249,Türkiye İşçi Partisi,Türkiye İşçi Partisi,200239,425
2281400925408962,Türkiye'ye Sahip Çık,Türkiye'ye Sahip Çık,200000,2
215617744975688,Hamit Öncü,GK Yapım Turizm Eğitim Sanayi ve Dış Ticaret Ltd. Şti,198868,37
179639655405679,Türkiye Komünist Partisi - TKP,Türkiye Komünist Partisi,198497,188
851556338241562,Ayşen Kurt,Ayşen Kurt,198215,293
151997251518179,Sözcü Gazetesi,Sözcü Gazetesi,194262,5566
369391953226531,Eyüp Eroğlu,Eyüp Eroğlu,194028,119
199701867577633,Salih Ekinci,Salih Ekinci,193072,53
106561381741274,Promosyon Kahve,GANİTTO GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ,192489,27
1930475813747433,Anket Araştırma Merkezi,Anket Araştırma Merkezi,189990,145
608649039210361,Adem Murat YÜCEL,Adem Murat YÜCEL,189974,174
191043174090639,Dr.Muhammet Erkan BB,drmuhammeterkan,188450,23
200732729794347,Burak Pehlivan,Burak Pehlivan,188376,47
181032905098932,Uğurhan Atma,Uğurhan Atma,188076,52
101637384763180,Doğan Aydal,Doğan Aydal,185999,34
192682587256267,İsa Yıldırım,İsa Yıldırım,184129,72
1265834993546700,Salih Atakan Duran,Salih Atakan Duran,183473,261
172621129263170,Ahmet Arıcan,Rota PR,182980,27
199304449940538,Celil Çolak,Yeniay Medya,182091,84
218446531359744,Hüseyin Nizamoğlu,Hüseyin Nizamoğlu,181874,52
141311632555208,Bağımsız Türkiye Partisi,Mehmet Erkul,181747,183
1481865401841739,Müge Yıldız Topak,Müge Yıldız Topak,180711,241
42243983656,Nasuh Mahruki,Ali Nasuh Mahruki,178823,18
109922274953677,CheckZ,CheckZ,178197,11
106433519384639,Haber7,Haber7,178076,386
1589554544593671,Vatan Partisi İstanbul,Vatan Partisi İstanbul,177277,166
1555562874694393,Aytekin Şenlikoğlu,Aytekin Şenlikoğlu,176352,198
120337144645372,MUSTAFA AKSOY,MUSTAFA AKSOY,176155,107
117491812983397,Yurttan Sesler,Yurttan Sesler,174808,317
347821502468869,Şeniz Doğan,Şeniz Doğan,174133,35
146821111836833,Kemal Babuccu,Kemal Babuccu,173777,53
199181789955617,Yaşar Sağlam,Digital Media World,173303,91
2171025259612438,Tufan Akan,Tufan Akan,171185,524
127896160644676,KORAY AYDIN,Koray Aydın,170693,117
1222290707815920,नेपाल बाढी सूचना-Nepal Flood Alert,These ads ran without a disclaimer,169718,121
100964136258105,Erdoğan Çiftcioğlu,Erdoğan Çiftcioğlu,168692,42
498235667237000,Biliniyo.com,Biliniyo.com,168273,33
38574434631,Mustafa Bozbey,Mustafa Bozbey,167326,31
182682044927560,FUAT KÖSE,FUAT KÖSE,166464,116
652502068123740,Şevki Demirci,Şevki Demirci,165511,104
379772868721372,Merkezi Eğitim,These ads ran without a disclaimer,165092,1
621229804571861,Fethi Yaşar,Fethi Yaşar,164549,81
1182137058470036,Metin Baydilli,Metin Baydilli,164256,44
280841025432969,Ali Kılıç,Ali Kılıç,163459,114
190133974180615,Mustafa Turan,Başkan Mustafa Turan,162635,168
102095934751904,Deva Partisi,Notus Creative,161916,22
2574480662622205,İstanbul Gönüllüleri,İstanbul Gönüllüleri,161367,70
824977567573075,Süleyman Tarık Balyalı,Süleyman Tarık Balyalı,160814,89
164935190030176,Deniz Doğan,Deniz Doğan,159867,121
105449752409194,Ey Ads,Ey Ads,159827,25
845535922196876,Semih Balaban,Semih Balaban,159251,123
503207923065874,45 HABER,45 HABER,159204,83
265844090538743,Cüneyt Yüksel,Cüneyt Yüksel,158890,229
310087479200956,Jülide İSKENDEROĞLU,Jülide İSKENDEROĞLU,158708,47
1414815935509791,MHP Kayseri Milletvekili Baki Ersoy,Latif Ersoy,158692,72
1451425741606065,Hasan Eroğlu,Hasan Eroğlu,157680,402
454691904953666,Emrah Kozay,Kreatif 360,157578,38
106060844062051,Erman Uzun,Erman Uzun,157084,59
148049779395307,Ukrainian Institute - Український інститут,These ads ran without a disclaimer,156969,99
893357984063790,Manisa Net Haber,Manisa Net Haber,156825,34
309971992824067,Zinnur Büyükgöz,Zinnur Büyükgöz,155694,158
1604958276192112,Alper Taban,Alper Taban,155611,1387
211210595419377,Yeniden Refah'a Kavuşalım İstanbul,Yeniden Refah'a Kavuşalım İstanbul,155131,186
1599598316948530,Saadet Partisi Ümraniye İlçe Başkanlığı,Saadet Partisi Ümraniye İlçe Başkanlığı,154982,99
101684162513627,2024 Seçim Nabzı,2024 Seçim Nabzı,154319,162
1773457866294535,Oktay Yılmaz,Oktay Yılmaz,153089,191
113156030552997,Hüseyin Ceylan Uluçay,Hüseyin Ceylan Uluçay,152805,189
248510438342383,Gökhan Dinçer,Gökhan Dinçer,152255,80
2265789080362050,Mehmet Fatih Atay,Mehmet Fatih Atay,152193,88
145814368809315,Kadıköy Belediyesi,Kadıköy Belediyesi,152123,315
210176429868905,İrfan Çıtak,İrfan Çıtak,152085,200
157785220748682,Anketoloji,Anketoloji,151880,825
