Page ID,Page name,Disclaimer,Amount spent (BAM),Number of ads in Library
104220582288745,Pokret za pravdu i red - lista Nebojše Vukanovića BIRAČ,Petar Simić,356,6
100199438609015,Tomo Bandić,Ivan Pandžić,354,6
230925323921716,Naš Bihac,Amir Kamy Kulenovic,354,11
602632140103402,SNSD Kozarska Dubica - СНСД Козарска Дубица,SNSD KOZARSKA DUBICA,353,17
100430962313732,Narodni evropski savez - Regija Hercegovina,NES - regija Hercegovina,353,24
105548028959527,Ahmed Hujdurović,Aleksandar Aničić,347,14
103592824868241,Nedim Selimović - kandidat za Skupštinu TK,Nedim Selimović,341,13
607901389267433,СНСД Градишка - SNSD Gradiška,СНСД Градишка,340,11
104992122558073,Valter.Portal,Valter.Portal,340,11
100119018545862,Zelda Dizdarevic,Zelda Dizdarevic,337,2
452655625245234,Muamer Zukić,Muamer Zukic,334,15
106087318906972,Amer Logo,Amer Logo,332,9
102957885271731,Narod i Pravda Lukavac,Tokić Mufid,328,10
2253545824918340,Срђан Мазалица - Srđan Mazalica,Srđan Mazalica,328,5
171223536255246,WHO Regional Office for Europe,These ads ran without a disclaimer,328,1
113676053748047,Модрича СДС - SDS Modriča,Jelena Đurić,323,11
107611431847020,Pokret za pravdu i red Nebojša Vukanović - Ugljevik  Lopare  Bijeljina,Darko Marjanovic,321,11
847305072075506,Град Бања Лука,Град Бања Лука,319,7
398445233693493,СНСД Дервента - SNSD Derventa,SNSD Derventa,315,7
109215108594219,Mirela Jusić Dreković,Senad Drekovic,315,28
717865981730224,Belmin Zukan,Belmin Zukan,315,36
108495985306930,Elis Sujoldžić,Senad Halilovic,314,8
506759763041477,Čapljina u srcu,Pero Previšić,313,31
108133870898359,Socijalistička partija Banja Luka - Социјалистичка партија Бања Лука,Socijalistička Partija,311,8
331391440718255,Adis Arapović,Adis Arapović,310,18
108022872060050,Slavko Stjepić - Kandidat za Skupštinu TK - Broj 12,Slavko Stjepic,308,7
274420159947511,Драган Милановић,Драган Милановић,307,6
111036544986006,Bink LLC,These ads ran without a disclaimer,302,6
286746555260974,Miralem Galijašević,Miralem Galijašević,301,6
108196575365607,Za pravdu i red-lista Nebojše Vukanovića IJ4,Petar Simić,300,4
111384317211356,Mr.sci. Hariz Redzic,Hariz Redzic,299,3
315520155864007,Rijana Jusufbegović,Rijana Jusufbegović,296,51
109312044259655,Škaljo Namir,Namir Škaljo,296,9
1473390132922451,СДС Угљевик / SDS Ugljevik,Dragan Vasilić,296,6
113385003846276,Vernesa Bešlija,Vernesa Mulić Bešlija,293,4
838311142953864,Dr.sc. Haris Fazlagic,Haris Fazlagić,292,10
103152584894038,Afan Čečo,Afan Ceco,287,6
105546887886453,Доц. др Дејан Којић - Doc. dr Dejan Kojić,Dejan Kojić,285,10
385883174916670,Sanela Prašović Gadžo,Sanela Prašović-Gadžo,284,7
105085525653191,Предраг Кукољ - Predrag Kukolj,Предраг Кукољ,284,26
687695395019752,Platforma za progres - Tuzla,Meliha Hukic,284,6
102738789236153,Amir Hasičević,Digitalk,281,8
105211359004516,Alen Nuhić - Kandidat Za Skupštinu Tuzlanskog Kantona,Alen Nuhic,280,14
119405895873,Huawei,These ads ran without a disclaimer,273,12
1494215247527144,Amina Kavazović,Adnan Kavazović,269,7
378569502347728,InfoMania,Cybervision s.d.,266,5
100178059471523,Данка Игњатовић - Жена за 5,Danka Ignjatović,266,14
368721523641870,Milan Petković,Milan Petković,264,3
100964298482546,Dr Mladen Đurić- Др Младен Ђурић,Mladen Đurić,261,19
1049719288522212,Anel Topalović,Berin Mušanović,260,30
68793499001,UNICEF,UNICEF with Facebook Ad Credits,259,23
103548629100614,Denis Muhović,Muhović Denis,258,6
323628164730330,MEA Lasersko Graviranje i rezanje -  Suveniri i pokloni,These ads ran without a disclaimer,257,2
102474649298113,Minela Bučan,Minela Bucan,250,7
1513894445512156,Miro Jurišić,Simon Jurisic,248,2
792431830875143,SDA Fojnica,Senad Ramic,246,6
117997608407655,Demokratska fronta Novo Sarajevo,Senad Kapo,245,21
107401822081808,Aleksandar Maletić,Aleksandar Maletić,244,8
107910228281723,Dr. Denis Zvizdić,Dr Denis Zvizdić,241,25
691695970918701,Amarildo Mulić,Amarildo Mulić,239,23
1049296491834054,SDA Vitez - Stranka Demokratske Akcije,Amel Salkic,237,2
300938656761371,Fondacija Boris Divković,Fondacija Boris Divković,237,12
101944042659295,Prim. dr Milica Lovrić,Digitalk,237,6
624635651051979,Darko Tomaš - Gradonačelnik Prnjavora,Darko Tomaš,236,10
104082984807134,Zvjezdan Karadžin,Zvjezdan Karadzin,236,9
113785167185415,Davor Čičić,SDP Sarajevo,236,3
102437165128755,Anel Ibeljić,Anel Ibeljic,235,26
