Page ID,Page name,Disclaimer,Amount spent (AED),Number of ads in Library
104030452104180,Helena Health Shop,These ads ran without a disclaimer,≤100,1
103934259220550,UAE Family 2,These ads ran without a disclaimer,≤100,1
103302834765810,Oia Properties,These ads ran without a disclaimer,≤100,1
1524906604496888,Egyptian Ministry of Emigration - وزارة الهجرة المصرية,These ads ran without a disclaimer,≤100,2
200624753308333,B360 Watch,These ads ran without a disclaimer,≤100,1
230676374137009,عمار تقي,These ads ran without a disclaimer,≤100,2
107486961571533,Kavi Gupta Gallery,These ads ran without a disclaimer,≤100,2
1819366108141015,AlBaik V1,These ads ran without a disclaimer,≤100,5
101676556062152,Supported Of UAE 378,These ads ran without a disclaimer,≤100,1
550280998481446,Rasha Kelej,These ads ran without a disclaimer,≤100,5
100889322590952,عطر الكلام,These ads ran without a disclaimer,≤100,2
115525473150249,Paathshala ME,These ads ran without a disclaimer,≤100,1
109694697539764,Aeroclass,These ads ran without a disclaimer,≤100,2
100196618962078,Madame Tussauds Dubai,These ads ran without a disclaimer,≤100,3
116403018028909,Zayed Development,These ads ran without a disclaimer,≤100,2
107562905491678,Help of UAE 29,These ads ran without a disclaimer,≤100,1
101217445730403,AlBaik V2,These ads ran without a disclaimer,≤100,2
110869078408078,ostathy.learning,These ads ran without a disclaimer,≤100,1
1441832822811632,Ecoaching,These ads ran without a disclaimer,≤100,2
107082394311809,النهر العذب لأجهزة تحلية المياه,These ads ran without a disclaimer,≤100,1
108869825316912,Winsplint,These ads ran without a disclaimer,≤100,1
112758740470061,LMT Innovations,These ads ran without a disclaimer,≤100,2
105562682486679,fatemambark,These ads ran without a disclaimer,≤100,6
101152096022679,Reilly Todd,These ads ran without a disclaimer,≤100,1
106991585641795,Tradition and Culture,These ads ran without a disclaimer,≤100,1
30911162508,Forbes,These ads ran without a disclaimer,≤100,2
107623642154709,Ue Libe UAE,These ads ran without a disclaimer,≤100,1
125726370913683,Reporters Training and Production,These ads ran without a disclaimer,≤100,1
109415351608489,Patricia Szriftgiser,These ads ran without a disclaimer,≤100,1
100559276206354,UAE lifestyle 100$,These ads ran without a disclaimer,≤100,1
109766928310578,dream_cleaning_uae,These ads ran without a disclaimer,≤100,1
1562681853944163,Bobi9ja Tv,These ads ran without a disclaimer,≤100,2
103901515878601,UAE Family 2,These ads ran without a disclaimer,≤100,1
107424440982021,Eekad - إيكاد,These ads ran without a disclaimer,≤100,1
101313852689002,أوكرانيا.ua,These ads ran without a disclaimer,≤100,6
101094702639306,الامارات اليوم,These ads ran without a disclaimer,≤100,1
100435342313062,GFOXX Spirulina byrainmancao,These ads ran without a disclaimer,≤100,1
100561169109024,afraaalnoaimi,These ads ran without a disclaimer,≤100,1
578129085690686,Ajman International Education & Training Exhibition,These ads ran without a disclaimer,≤100,1
102299582683503,District One Villas MBR City,These ads ran without a disclaimer,≤100,1
103425789181372,Human-Healthcare.Com,These ads ran without a disclaimer,≤100,2
112110407313959,King of cleaning UAE,These ads ran without a disclaimer,≤100,1
102463851193372,البيت الذهبي للديكور,These ads ran without a disclaimer,≤100,1
103484892284189,පාරම්පරික ගුරුකම්,These ads ran without a disclaimer,≤100,2
175763332956179,971 MEDIA,These ads ran without a disclaimer,≤100,1
103726585878692,Neewerk-Pants,These ads ran without a disclaimer,≤100,6
1572918566306585,The Foreign Desk,These ads ran without a disclaimer,≤100,2
1470153136630465,Yalla Abu Dhabi,These ads ran without a disclaimer,≤100,3
181455155258214,FacingLites,These ads ran without a disclaimer,≤100,3
103758491487477,D.s_design4,These ads ran without a disclaimer,≤100,1
102971085681115,بيت المطابخ العالميه,These ads ran without a disclaimer,≤100,2
102435675429137,Hikal agency,These ads ran without a disclaimer,≤100,2
114063954613299,official_alsuyoh,These ads ran without a disclaimer,≤100,1
109613811893240,Aiby • AI Art & Avatar Generator,These ads ran without a disclaimer,≤100,3
103860241586532,zhrhlbstn22,These ads ran without a disclaimer,≤100,2
100720055709828,almuhairieissa,These ads ran without a disclaimer,≤100,1
109812291570261,Resume Warriors,These ads ran without a disclaimer,≤100,1
306911483197595,عقارك عندنا,These ads ran without a disclaimer,≤100,2
109775374802619,falaj_almualla,These ads ran without a disclaimer,≤100,1
102855665965014,kayombo_casto,These ads ran without a disclaimer,≤100,1
109983951893315,Yy smart_2,These ads ran without a disclaimer,≤100,2
152769285308470,محمد الاستاد الحمادي,These ads ran without a disclaimer,≤100,1
109529778466997,Top Glory Marine,These ads ran without a disclaimer,≤100,2
105046728615785,nil_p1,These ads ran without a disclaimer,≤100,1
384422538296426,United Palestinian Appeal - UPA,These ads ran without a disclaimer,≤100,15
363216311334411,DickEms,These ads ran without a disclaimer,≤100,1
110087442044695,powsols,These ads ran without a disclaimer,≤100,1
198027330823239,FairKitchens,These ads ran without a disclaimer,≤100,1
109158868234855,r__alsuwaidi87,These ads ran without a disclaimer,≤100,1
101484042738369,tatianarosee19,These ads ran without a disclaimer,≤100,2
100236298608261,smk__6,These ads ran without a disclaimer,≤100,1
102121579296432,Allcsta time,These ads ran without a disclaimer,≤100,86
381024579067518,China Daily Sci-Tech,These ads ran without a disclaimer,≤100,1
103176052298886,Cocolily,These ads ran without a disclaimer,≤100,1
103978405792130,Merubah Nasib,These ads ran without a disclaimer,≤100,1
112363074369977,Niloofar gallery,These ads ran without a disclaimer,≤100,3
102442924872304,ab8m,These ads ran without a disclaimer,≤100,1
1103125449722414,Kabayan Laliebeth,These ads ran without a disclaimer,≤100,1
105543917489298,michaelpulley,These ads ran without a disclaimer,≤100,2
1434457843449135,Googhar.com,These ads ran without a disclaimer,≤100,1
112063015058912,selma_news_muse,These ads ran without a disclaimer,≤100,1
134390163889399,Abu Dhabi Culture,These ads ran without a disclaimer,≤100,1
546525432056618,MBR School of Government,These ads ran without a disclaimer,≤100,6
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
298489910165453,Raffles Hotel Singapore,These ads ran without a disclaimer,≤100,1
582894035243561,Enjoy Saudi  عيشها,These ads ran without a disclaimer,≤100,1
108137235397008,Unona Finery,These ads ran without a disclaimer,≤100,1
146423892700183,Ora - Nursery of the future,These ads ran without a disclaimer,≤100,1
852485128161967,FBP - Australian Migration & Citizenship,These ads ran without a disclaimer,≤100,2
112462961647177,Msheirebqa,These ads ran without a disclaimer,≤100,1
