Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
1728261037388281,Carvajal Empaques Centroamérica,These ads ran without a disclaimer,2155,10
107608174488017,uncle_free_,These ads ran without a disclaimer,2155,1
109380197208723,Embajada China en CR,These ads ran without a disclaimer,2155,2
199292910129100,Radio Darío,These ads ran without a disclaimer,2117,1
1540070352761579,Leslye Bojorges,These ads ran without a disclaimer,2090,1
2335910683353395,Partido Pueblo Soberano de Quepos,These ads ran without a disclaimer,2050,1
106394965482360,Pedro Cardoso,These ads ran without a disclaimer,2044,1
102084562479533,Digital506,These ads ran without a disclaimer,2018,1
102469174465476,Movimiento Puntarenas,These ads ran without a disclaimer,1999,1
113067177682259,PMD - Dogs is my  world,These ads ran without a disclaimer,1982,3
1066083900227445,VarBar Solutions,These ads ran without a disclaimer,1948,2
134278719946186,Bayer,These ads ran without a disclaimer,1918,4
104863421378716,Eduardo Tellez - Ingenia,These ads ran without a disclaimer,1907,1
335202793316747,"Agua es vida, no mercancía",These ads ran without a disclaimer,1885,5
147418938660836,"Universidad Nacional Costa Rica, UNA",These ads ran without a disclaimer,1878,1
164405286989938,Sistema de Banca para el Desarrollo,These ads ran without a disclaimer,1842,1
7783116506,Animals Asia,These ads ran without a disclaimer,1828,23
102257292713372,Alejandra Morales,These ads ran without a disclaimer,1826,30
106949958723649,Borrando la corrupción en Costa Rica,These ads ran without a disclaimer,1810,1
110647840532680,Merge Mayor,These ads ran without a disclaimer,1784,2
109376494661183,Aliaxis Latam,These ads ran without a disclaimer,1751,13
110082928597485,Iter Lex Taller de Abogados,These ads ran without a disclaimer,1713,2
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,1691,4
105924582287904,maquillandopermanente,These ads ran without a disclaimer,1650,9
310285569017542,Café 1820,These ads ran without a disclaimer,1616,1
305828002808516,INHOPE - International Association of Internet Hotlines,These ads ran without a disclaimer,1616,1
218917584848162,TNC Latinoamérica,These ads ran without a disclaimer,1616,1
2058053604439707,Stiebel Eltron América Latina,These ads ran without a disclaimer,1616,2
831803763607910,Exelect Empleos,Exelect Centroamericana S.A.,1616,1
112040704731277,A l l n o v e l-RS,These ads ran without a disclaimer,1616,5
151491248245704,Corferias,These ads ran without a disclaimer,1615,3
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,1594,59
177854402389449,Imdosoc,These ads ran without a disclaimer,1584,7
104015742220554,Mimic,These ads ran without a disclaimer,1584,5
315603771494,Milaap,These ads ran without a disclaimer,1575,11
1714946875455408,sancarlosdigital.com,These ads ran without a disclaimer,1565,2
102097959006904,Amal-Tikva,These ads ran without a disclaimer,1557,2
131833110169654,Periódico Estrella del Sur,These ads ran without a disclaimer,1522,2
1472269476395374,Partido Unidad Social Cristiana,These ads ran without a disclaimer,1515,1
208685479508187,U-Report Global,These ads ran without a disclaimer,1508,6
104958524534050,Carlos Monge Regidor Heredia 2020-2024,These ads ran without a disclaimer,1476,1
109149841387092,maquillandopermanente,These ads ran without a disclaimer,1474,9
107756041807121,oxfam_es,These ads ran without a disclaimer,1458,2
386252852217600,Género y Metodologías,These ads ran without a disclaimer,1424,2
131189377574,MDPI,These ads ran without a disclaimer,1424,42
100979089555293,Jose Bedoya,These ads ran without a disclaimer,1417,12
