Page ID,Page name,Disclaimer,Amount spent (JMD),Number of ads in Library
103013301743771,Global Environmental and Climate Conservation Initiative,These ads ran without a disclaimer,≤100,1
102394101663244,Romance L i b r a r y,These ads ran without a disclaimer,≤100,1
1065631633538453,Physicians Across Continents,These ads ran without a disclaimer,≤100,3
1077131932479669,Hannah Love Design,These ads ran without a disclaimer,≤100,1
105895765057995,Sports World,These ads ran without a disclaimer,≤100,1
1489805271325213,Tsinghua University,These ads ran without a disclaimer,≤100,1
107545965556357,Jo-12,These ads ran without a disclaimer,≤100,1
105012451157797,Uniathena - Short Courses,These ads ran without a disclaimer,≤100,1
100769392869544,Clearlove001,These ads ran without a disclaimer,≤100,2
101535831469644,ITS America Events,These ads ran without a disclaimer,≤100,1
1876712492558260,A Girl Who Prays/Women on Watch-WOW-,These ads ran without a disclaimer,≤100,1
110248534774812,Lock Magic,These ads ran without a disclaimer,≤100,1
104305092258023,Modernizationary,These ads ran without a disclaimer,≤100,1
1126736284004313,Brando Angulo,These ads ran without a disclaimer,≤100,1
1515909005308067,"Discover Nanjing, China",These ads ran without a disclaimer,≤100,2
100490729492964,Sebastian Bello,These ads ran without a disclaimer,≤100,9
184818485437396,New People’s Movement,These ads ran without a disclaimer,≤100,1
112257905059345,Big Globe Travel,These ads ran without a disclaimer,≤100,4
100151016279664,CHW 2023 Symposium Liberia,These ads ran without a disclaimer,≤100,1
114053828319874,HL Connection #3,These ads ran without a disclaimer,≤100,1
115138161487991,Surf Proxy,These ads ran without a disclaimer,≤100,1
114494180352785,Embryonic Autopsy,These ads ran without a disclaimer,≤100,1
1478930005708038,TomorroWoman,These ads ran without a disclaimer,≤100,3
842906519089852,IPBES,These ads ran without a disclaimer,≤100,1
107647258831836,Weregreenly- Magazine Page 3,These ads ran without a disclaimer,≤100,7
1550315038410876,FOUR Magazine,These ads ran without a disclaimer,≤100,1
102897375582862,Caminovela,These ads ran without a disclaimer,≤100,2
126052760507,Mama Cash,These ads ran without a disclaimer,≤100,2
100696642943720,Daily Green,These ads ran without a disclaimer,≤100,4
105994068254820,Menkay,These ads ran without a disclaimer,≤100,2
756877521031964,CCTV+,These ads ran without a disclaimer,≤100,1
279083325560817,Running Out of Time,These ads ran without a disclaimer,≤100,6
114733587058998,upmostpr,These ads ran without a disclaimer,≤100,1
102834275717964,Jellytop Sneakers,These ads ran without a disclaimer,≤100,1
321940255913933,Our Funny Little Site Way,These ads ran without a disclaimer,≤100,1
68644810672,"Liorel, Art from Israel",These ads ran without a disclaimer,≤100,1
109387497442503,luzmarydlc,These ads ran without a disclaimer,≤100,2
198722273488352,The World's 50 Best Restaurants,These ads ran without a disclaimer,≤100,1
100211619492021,fanakameanssuccess,These ads ran without a disclaimer,≤100,1
1587313088233587,Ideagen,These ads ran without a disclaimer,≤100,1
100913549609447,Balanced Bites,These ads ran without a disclaimer,≤100,1
104404948072,Ema Arius,These ads ran without a disclaimer,≤100,1
100689636310150,Waokeem-EU,These ads ran without a disclaimer,≤100,2
897091320427120,LSE International Inequalities Institute,These ads ran without a disclaimer,≤100,1
101474672367263,YouthxYouth,These ads ran without a disclaimer,≤100,3
101940222827835,Magic1419-03,These ads ran without a disclaimer,≤100,3
102915915537661,5irechain,These ads ran without a disclaimer,≤100,4
1490336211217327,AudioPhix,These ads ran without a disclaimer,≤100,1
103023169261614,Expo Health Tourism,These ads ran without a disclaimer,≤100,1
152292984850728,International Monetary Fund,These ads ran without a disclaimer,≤100,1
104179854944235,WasteRush.info,These ads ran without a disclaimer,≤100,1
108148018559192,Haga Stories,These ads ran without a disclaimer,≤100,1
1589154051350606,FOZ - Friends of Zion Museum,These ads ran without a disclaimer,≤100,1
106315034979313,The Travel Life,These ads ran without a disclaimer,≤100,5
110333931764735,Smile Papers,These ads ran without a disclaimer,≤100,2
105636135793046,safespacewithdes,These ads ran without a disclaimer,≤100,1
106300349078917,Thomas Zaugg,These ads ran without a disclaimer,≤100,1
103741594467315,Mission Irie,These ads ran without a disclaimer,≤100,1
312898778847834,TERRAM PACIS,These ads ran without a disclaimer,≤100,5
105986175239619,Sea Creature Love,These ads ran without a disclaimer,≤100,5
101241435849797,Tot Reading,These ads ran without a disclaimer,≤100,1
102624989336499,Jinnvseee,These ads ran without a disclaimer,≤100,1
54826141607,Captain Planet Foundation,These ads ran without a disclaimer,≤100,1
108081108878152,Suda-008,These ads ran without a disclaimer,≤100,1
118945884467733,Dre4628-Me,These ads ran without a disclaimer,≤100,1
106068488158725,Graduatez - College Journey,These ads ran without a disclaimer,≤100,4
290980968206977,GameDay News,These ads ran without a disclaimer,≤100,3
1592983857598216,China Eastern Airlines,These ads ran without a disclaimer,≤100,1
724693277719823,Drivepedia,These ads ran without a disclaimer,≤100,1
171522852874952,Juventus,These ads ran without a disclaimer,≤100,1
1579920062256328,Custom Content from WSJ,These ads ran without a disclaimer,≤100,2
1198498803640966,The East Gate,These ads ran without a disclaimer,≤100,2
101935818478435,Every Day Monkey Collection,These ads ran without a disclaimer,≤100,1
564496523645452,Rev. Queen Beatrice,These ads ran without a disclaimer,≤100,1
1731004657226567,Cleverst,These ads ran without a disclaimer,≤100,5
100350512237236,9Facts,These ads ran without a disclaimer,≤100,3
100181386277305,Mazha06,These ads ran without a disclaimer,≤100,1
102096732379895,Bride Stars,These ads ran without a disclaimer,≤100,1
102096062812204,Magic1420-02,These ads ran without a disclaimer,≤100,4
106130305763469,dialecthica,These ads ran without a disclaimer,≤100,1
524386044429354,The Lesson,These ads ran without a disclaimer,≤100,1
249961538398878,The European Society of Cataract and Refractive Surgeons (ESCRS),These ads ran without a disclaimer,≤100,1
115905677764391,Tes Reading,These ads ran without a disclaimer,≤100,1
111068875252342,Lin-0228-21,These ads ran without a disclaimer,≤100,1
358607907495143,Your Support Group Podcast,These ads ran without a disclaimer,≤100,1
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,1
10606591490,TIME,These ads ran without a disclaimer,≤100,4
181755128507397,Entradas a tu alcance,These ads ran without a disclaimer,≤100,1
104831325728448,Diario del Pueblo,These ads ran without a disclaimer,≤100,1
100783459405207,Carlos Lima,These ads ran without a disclaimer,≤100,1
103870515726436,Hypatia Gender justice هيباتيا للعدالة الجندرية,These ads ran without a disclaimer,≤100,1
108668965172534,Hyper Modernity,These ads ran without a disclaimer,≤100,1
