Page ID,Page name,Disclaimer,Amount spent (PYG),Number of ads in Library
1695481804025162,Eduardo Nakayama,Marcelo Fabian Acuña Leguizamon,6012172,17
518726648648192,Carlos Arrechea,Carlos Arrechea,5972456,29
1386037631635162,Hugo Ramírez,Nahuel Ayala Gomez,5961735,28
173272982876108,David - Concejal Capiatá,David Llano,5925819,76
105234224999402,Stiben Patron,Stiben Patron,5890994,28
113463916700085,Orlando Arévalo,Orlando Arevalo,5890464,60
104848285795590,Ing. Fede Olmedo,Federico Augusto Olmedo Ramírez,5832442,24
21325533991,Inversor Global,These ads ran without a disclaimer,5774865,1
140533772808692,TEDIC,TEDIC,5753441,47
278226125974096,El Paraguayo Independiente,PrensaPy,5681619,37
102353518483649,Paulina Serrano,Paulina Serrano,5615601,28
335999367631726,Skol Paraguay,Cervepar SA,5503259,4
100285385532872,Andrea Brizuela Concejala,Andrea Beatriz Brizuela Martinez,5484132,92
108220338670232,Arturo Gossen Valdez,Mehssin Arturo Gossen Valdez,5471794,89
118776213294753,Atenil Paraguay,Atenil Paraguay,5438256,44
108824810612735,Ing. Jorge Palazón,Jorge Palazon,5417843,65
144607082285314,Justicia Electoral,Jazmin Maria Eugenia Sosa Alvarenga,5385269,21
1073454492740713,Emmanuel Cuevas,Jorge Emmanuel Cuevas Maciel,5362817,146
422780051888808,Rogelio Benítez Vargas,DgWorld Consultoría Digital,5343687,80
895558347259887,La Hora Liberal,Pauta Py,5299993,45
1112619495514378,Chevrolet - De la Sobera,These ads ran without a disclaimer,5291531,2
105872245439208,Pelusa Senadora,Maria Yolanda Del Rosario Moreno de Ruíz,5279656,29
111531544527571,"Luis Silva, Gobernador","Luis Silva, Gobernador",5277286,34
1035220149836584,Alianza Para Todos Lista 9,Xnet Soluciones Digitales,5274778,76
110310447832915,Edu Molinas Concejal,Sele Gavilán,5265576,8
102137945346781,Movimiento Ciudadanía Activa,PautaPY,5263372,17
1557185134582327,Ana Paola Sosa Schaerer,Ana Sosa Concejal,5153670,29
105920818948134,Blanca Lila 2023,Maria Blanca Lila Mignarro Gonzalez,5148112,15
107378775349679,Rolando Alvarez Spinassi,Rolando Alvarez Spinassi,5132224,53
461660720881072,José Rodríguez,Douglas Mateus Hendges,5110973,17
109022551747545,Escuela de Gobierno LATAM,These ads ran without a disclaimer,5034541,1
1743207422388410,Paraguay Vota,These ads ran without a disclaimer,5011442,3
