Page ID,Page name,Disclaimer,Amount spent (JPY),Number of ads in Library
106251138505502,石川県選挙管理委員会　第49回衆議院議員選挙,石川県選挙管理委員会,644472,21
120716146283246,DiscoverNew.NZ,These ads ran without a disclaimer,644252,2
368859679966849,株式会社ラクス（中途採用）,These ads ran without a disclaimer,632332,9
103431654825202,集英社学芸編集部,集英社,630000,5
324421604611636,マンガアップ,These ads ran without a disclaimer,627729,2
115368986979547,共感がお金に変わる魔法の授業,These ads ran without a disclaimer,627573,6
150823772269997,Jackpot World Casino,These ads ran without a disclaimer,607318,1
730430667056530,松本市民経済会議,Soichiro Torii,601723,47
108971153774431,品川区議会自民党,株式会社マイム,601447,16
881025135256351,Japan In-depth,Japan In-depth,596828,302
337784686310711,ひだか剛チャンネル,剛 樋高,594797,32
423060151082206,SPUR,These ads ran without a disclaimer,588032,1
1801157353518298,立憲民主党東京都２区総支部,立憲民主党東京2区総支部,565234,83
103914976352692,選挙ドットコム,イチニ株式会社,559637,8
1751063525211528,マネジー,These ads ran without a disclaimer,553653,2
105573155696478,つもり洋介（津森洋介）,つもり洋介（津森洋介）,545926,4
309346069825732,戦国布武【我が天下戦国編】,These ads ran without a disclaimer,545880,3
117914038333112,自由民主党 大阪府支部連合会,Norihisa Suzuki,539999,24
543662599325014,地方移住・関係人口創出のプラットフォーム【ネイティブ. メディア】,ネイティブ株式会社,534176,12
104253331832610,依存症問題啓蒙セミナー実行委員会,These ads ran without a disclaimer,529911,2
104037359317288,公明党 城東支部,株式会社サーカス,522045,55
106163544556760,金持ち父さんロバート・キヨサキの不動産投資,These ads ran without a disclaimer,520498,20
101898475586259,長野県選挙管理員会,長野県選挙管理員会,519044,8
188156217913751,日本経済新聞（日経新聞）,These ads ran without a disclaimer,514615,4
106885220994310,YouTubeクリニック,上松 正和,513133,2
758057907561791,まんが王国,These ads ran without a disclaimer,506584,6
102472395559716,長崎県選挙管理委員会,長崎県選挙管理委員会,505293,10
110032443970157,REAL OSAKA,REAL OSAKA,504998,52
