Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
314676938743,DM din akademiske fagforening,Dansk Magisterforening,213957,423
495574610498853,Teach First Danmark,Teach First Danmark,213689,795
2190488887846226,Petar Socevic,Socevic Petar,213667,105
728307113871618,Klaus Riskær Pedersen,Parti Klaus Riskær Pedersen,212423,882
162408904078,Danmarks Lærerforening,Danmarks Lærerforening,210706,34
98486774725,Djøf,Djøf,209622,606
175901923124109,København LIV,København LIV,207568,109
100155351806014,Æra,Ræson,206201,52
359674067377201,BUPL,BUPL,205526,190
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,204351,99
577345799101307,Morten Dahlin,Morten Dahlin,199778,765
98135994249,Diabetesforeningen,Diabetesforeningen,199584,228
109433958926374,Stine Bosse,Stine Bosse,196275,249
1029970060346902,EWII,EWII A/S,196160,49
111394892261429,Morten Messerschmidt,Dansk Folkeparti,191541,243
314962322593667,Birgitte Bergman,Birgitte Bergman,190805,120
687073988036611,Martin Geertsen,Geertsen Martin Raahauge,189931,107
459641371068935,Forenet Kredit,Forenet Kredit,188533,20
17428770950,RÆSON,RÆSON,188339,67
162952140548832,Christoffer Buster Reinhardt,Reinhardt Christoffer Buster,188195,108
2186079465008254,Velliv Foreningen,Velliv Foreningen,187481,111
102649475548551,Lad ikke et brud knække dig,Ucb Nordic A/S,187115,60
1450750935146684,Asger Christensen i EU,Asger Christensen i EU,186091,100
1595135787365287,Dansk Retursystem,Dansk Retursystem,185973,49
101286428483346,Annette Blynel,SF - Socialistisk Folkeparti,184382,309
106242252762376,Fyens.dk,Fyens Stiftstidende,181471,126
231609407194100,Isabella Arendt,Kristendemokraterne,178957,291
102031171445921,Grønne Nabofællesskaber,Grønne Nabofællesskaber,178918,580
150605885088629,Sophie Hæstorp Andersen,Socialdemokratiet i København,177947,73
1408142216156387,Lars Chr. Lilleholt,Lars Chr. Lilleholt,176691,553
1471913586453233,Organdonation - ja tak,Organdonation - ja tak,172391,185
1349784818445006,Jakob Næsager,Jakob Næsager,172342,169
547601668763372,Lizette Risgaard,Lizette Risgaard,171489,80
1564564447202569,Stephanie Lose,Venstre,171016,27
221746618023209,Arbejdernes Landsbank,Arbejdernes Landsbank,170551,62
34290022401,Kristeligt Dagblad,Kristeligt Dagblad A/S,167999,27
442403485851495,Morten Helveg Petersen,Deleuran Lasse,167887,31
275233979282710,AnsvarligFremtid,AnsvarligFremtid,167364,45
390925417751473,Erling Bonnesen,Erling Bonnesen,165722,564
657491824390744,Spring Copenhagen,Spring Copenhagen,165352,185
149239523456,Dansk Fjernvarme,Dansk Fjernvarme,165313,81
145392175531068,JydskeVestkysten,JydskeVestkysten,164770,143
106185013241,GirlTalk,GirlTalk.dk,164302,48
116061635098137,Karina Lorentzen Dehnhardt,SF,163928,267
189743007654,Gyldendal,Gyldendal A/S,163068,115
114195323371432,Handicap og job,Styrelsen for Arbejdsmarked og Rekruttering,162874,22
504310436316194,Laura Lindahl,Laura Lindahl,161023,228
127178647715,Julemærkefonden,Julemærkefonden,160994,46
460055244123143,Britt Bager,Bager Britt,160623,141
161708011540,Mads Duedahl,Venstre i Nordjylland,159237,330
199699810115067,Forbrugerrådet Tænk,Forbrugerrådet Tænk,158949,61
264009771074617,Niels Fuglsang,Niels Fuglsang,158342,371
170902079673829,Ørsted,Ørsted,157727,285
118948271632865,Henrik Dahl,Liberal Alliance,157193,65
8611462388,Villy Søvndal,SF,157132,279
121537654376674,Mads Strange,Mads Strange,157013,52
33510214383,Pia Kjærsgaard,Dansk Folkeparti,156999,140
694774630542305,TryghedsGruppen,TryghedsGruppen,155808,22
104845427961964,Smag på Danmark,These ads ran without a disclaimer,154551,36
34290022401,Kristeligt Dagblad,These ads ran without a disclaimer,154528,42
329413910880676,Jan E. Jørgensen,Jørgensen Jan Ejnar,154161,30
107976064975368,Drivkraft Danmark,Drivkraft Danmark,153256,13
113588132144811,Ruben Kidde,Ruben Kidde,152706,130
8432708678,Clio,Clio,152516,212
2121857298076689,Tommy Ahlers,Ahlers Tommy,151139,102
41459763029,Socialdemokratiet,These ads ran without a disclaimer,149425,175
207401585966233,Inger Støjberg,Jacob Kjerumgaard,148481,143
46265612799,FDM,FDM,148060,98
408582579294175,UK government,These ads ran without a disclaimer,147491,6
103142524915265,Steen Stavnsbo,Århus Konservative Vælgerforening,146091,130
102233134700942,"Store Bøffer, Små Hjerter",Thorkild Holmboe-Hay,145846,23
1492391310793372,Ken Kristensen,Kristensen Ken,145177,376
2079067062409423,Mona Juul,Juul Mona,145037,46
273915394506,Bilka,Bilka,143602,22
132364993978468,Andreas Steenberg,Andreas Steenberg,142725,259
305932686202047,Caritas Danmark,Caritas Danmark,142396,276
272331562901791,Christoffer Lilleholt,Christoffer Lilleholt,141318,435
267019152979,"DPU, Aarhus Universitet",Carsten Henriksen,140867,39
1550318855207094,Jens Meilvang,Meilvang Jens,140552,95
106415615522,DUF - Dansk Ungdoms Fællesråd,DUF - Dansk Ungdoms Fællesråd,140061,79
1458354184437993,Nicolai Wammen,Socialdemokratiet,139790,284
127344360615074,Zenia Stampe,Zenia Stampe,139230,86
102589177944454,Fælles handling. Færre sygedage,Beskæftigelsesministeriet,138750,13
59143726810,Psykiatrifonden,These ads ran without a disclaimer,138096,63
221857051173376,Svanemærket,Miljømærkning Danmark,137987,34
112980887718607,Jens Kloppenborg,Jens Kloppenborg-Skrumsager,137738,321
229585537051606,DM Akademikerbladet,Magisterbladet,137700,466
107893513382,Liberal Alliances Ungdom,Liberal Alliances Ungdom,136134,45
95141502089,Økonomisk Ugebrev,Økonomisk Ugebrev,134282,61
