Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
101724988882162,Miguel Caballero Leiva Diputado,Lenin Rigoberto Rodas Velasquez,3200,10
115378890591519,Al Rescate de  la Masica.,Merlo Linares Selvin Eduardo,3196,18
552455591465359,NIMD Honduras,NIMD Honduras,3170,16
110950391250848,PSH -Diputados Francisco Morazan,Adela Zelaya Zavala,3166,6
104642305302577,Leydi Hernández  Regidora Choluteca,Ossmin Isai Euceda Hernandez,3153,13
100583335094005,Ideas.org,Ideas.org,3140,2
108593817936918,Fernando Campo Cornejo,Fernando Manuel Campo Cornejo,3139,13
111762680740571,Altar Mayor,These ads ran without a disclaimer,3133,7
118354179911632,Roberto Contreras,Kelvin Roy Sánchez Ortega,3096,6
104078088131864,Omar Avelar,Omar Avelar Bustillo,3090,10
503951883021764,ShareTheMeal,These ads ran without a disclaimer,3088,30
1666416303574469,Oved Lopez,Oved Lopez,3085,4
2151294911786280,Bartolo Fuentes,Bartolo Antonio Fuentes,3073,6
101359732304206,Share_M113_x2,These ads ran without a disclaimer,3070,6
97320092545,PAHO-WHO,These ads ran without a disclaimer,3028,4
105644348441468,Carlenton Davila,Jose Cárlenton Dávila Mondragon,3020,6
110668294718639,SPS elige,These ads ran without a disclaimer,3020,1
937249039654699,Gabriel Rubi,Jose Maldonado,3006,10
124300620957187,Juan Orlando Hernández,These ads ran without a disclaimer,2999,5
1564609206977999,Ronal Pineda,Ronal Pineda,2970,6
401000470308277,Acción Joven Honduras,Acción Joven Honduras,2964,15
94005676787,Hitachi Vantara,These ads ran without a disclaimer,2952,1
2300269930202821,Gerardo Perez,Gerardo Perez,2944,4
108187281600559,CNE Noticioso,These ads ran without a disclaimer,2937,1
789461611252492,Top Flowers HN,These ads ran without a disclaimer,2925,1
1571186599843722,Favilac Publicidad,These ads ran without a disclaimer,2898,2
167878593236712,UNICEF en español,These ads ran without a disclaimer,2891,15
100111588412670,Abogado Ric Soto HN,Ricardo Soto Castro,2882,28
167878593236712,UNICEF en español,UNICEF,2839,65
159502307523717,Somos- CDC,Naama Sarai Lopez Avila,2834,5
1828470140727109,Alto Comisionado de la ONU para los Derechos Humanos en Honduras,These ads ran without a disclaimer,2829,4
178733982198928,SulaTech,Carlos Alberto Reyes Hernandez,2771,16
140441793233304,Cooking Madness - A Chef's Game Community,These ads ran without a disclaimer,2769,1
131793653512148,Diario La Prensa,These ads ran without a disclaimer,2739,4
105893965084187,Gilliany Alcaldesa Juticalpa,Gilliany Sandoval Gomez,2736,30
109350340947036,Santiago Sabillón Madrid,Merlyn Jonathan Madrid Martínez,2735,13
180779708635647,Juan Diego Zelaya,These ads ran without a disclaimer,2723,15
104933295285597,Gerson Gomez DP,These ads ran without a disclaimer,2710,8
358704484959570,Jorge Alberto Morazan,Jorge Alberto Morazan Calix,2696,8
113567163834886,Escuela Lingüística de Honduras,pinu sd,2671,9
102785378571757,El Ladron,These ads ran without a disclaimer,2667,2
338793716876747,Conversando con,Noel Aristeo Molina Funes,2661,22
107381814920756,Ruth Medina,Ruth Medina,2646,11
156212587844635,Scarleth Romero - Copán,Scarleth Romero,2646,19
105036179534606,"Gildan, Making Apparel Better",These ads ran without a disclaimer,2637,24
114991138177160,PSH DC,PSH DC,2632,3
739944189470248,Samir  Molina,These ads ran without a disclaimer,2627,6
106725177898260,"Marvin Perdomo Alcalde de El Progreso, Yoro",Baudilio Barahona Trochez,2603,8
101215954716158,Acción Democrática Hondureña,Mirelle Xiomara Fontecha Sandoval,2590,5
259473684501667,Asuntos Digitales,These ads ran without a disclaimer,2583,15
