Page ID,Page name,Disclaimer,Amount spent (NOK),Number of ads in Library
103638585942638,Folkets Parti Kristiansand & Agder,Folkets parti Kristiansand,30371,117
102888359752020,Fiskebåt,Fiskebåt,30362,60
192397120774363,Nordland Arbeiderparti,Fredric Martinsen Persson,30294,36
398467843499743,Rogaland Senterparti,Rogaland Senterparti,30249,37
57542291449,FFO - Funksjonshemmedes fellesorganisasjon,funksjonshemmedes fellesorganisasjon,30232,10
323842071586746,En grønnere planet,Föreningen Greenpeace Norden,29426,12
105706168752816,NHO Geneo,NHO Geneo,29281,30
186245021399622,Agder Senterparti,Agder Senterparti,29220,43
1970660129616476,Lillestrøm kommune,Lillestrøm kommune,29128,23
122100285620007331,Venstre Alta,Alta Venstre,29039,23
10150092288520277,Norges Handikapforbund,Norges Handikapforbund,28960,86
862240613795156,Lillestrøm Arbeiderparti,Lillestrøm Arbeiderparti,28745,79
114246838596495,Audun Lysbakken,SV - Sosialistisk Venstreparti,28589,40
764891286856218,Porsgrunn Arbeiderparti,Porsgrunn Arbeiderparti,28473,102
330684147360904,Morten Stordalen - Politiker,Vestfold og Telemark FrP,28451,21
108047825945595,NSR - Norgga Sámiid Riikkasearvi,Norske Samers Riksforbund (NSR),28418,65
106079542329429,Bergen - Oslo på 4 timer,Ringerike Næringsforening,28355,97
200983583270624,NHO Service og Handel,NHO Service og Handel,28313,20
672987816199642,Lan Marie Nguyen Berg,Miljøpartiet De Grønne,28304,53
139808122732007,Sola Høyre,Sola Høyre,28300,9
389210407768424,Fredrikstad KrF,Fredrikstad KrF,28154,10
278615972984573,Tverga,Tverga,28150,14
107073289663158,Frivillig.no,Frivillighet Norge,28000,3
1281475135310961,Sissel Knutsen Hegdal - ordfører Stavanger,Sissel Knutsen Hegdal,27867,14
103077389814473,Kristiansand SV,Kristiansand SV,27642,30
291638394185556,Drammen Høyre,Drammen Høyre,27599,45
139624146184097,Ås Høyre,Ås Høyre,27582,6
133405310035662,Stavanger kommune,Stavanger kommune,27456,17
132415536850618,Rauma Høyre,Rauma Høyre,27439,5
299518093440216,Fredrikstad Arbeiderparti,Fredrikstad Arbeiderparti,27380,35
187160647980979,Troms Høyre,Troms og Finnmark Høyre,27333,44
102818562675663,Stord Venstre,Stord Venstre,27270,42
2129902180626202,Viken MDG,Viken MDG,27194,29
2204092749921322,Torgeir Knag Fylkesnes,Troms og Finnmark SV,27123,13
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,27121,114
184188828935465,Innlandet Venstre,Innlandet Venstre,27094,24
67660957813,Miljøagentene,Miljøagentene (Eco-agents),27025,11
486019701792887,Truls Olufsen-Mehus - verdipolitiker,Troms og Finnmark KrF,26924,20
102040431616976,Beaufort Solutions,Beaufort Solutions,26898,45
192397120774363,Nordland Arbeiderparti,Nordland Arbeiderparti,26786,33
289683304433819,Rælingen Høyre,Rælingen Høyre,26710,131
438236766363270,Ernesto Lama,These ads ran without a disclaimer,26652,2
270173725694,Menneskeverd,Menneskeverd,26544,19
63098150905,Akademika,Akademika AS,26540,7
1430303507191895,Stange FrP,Stange FrP,26479,43
412991556169510,Ole Hovengen,Ole Hovengen,26265,54
569766719746704,EBOK.NO,Akademika AS,26000,5
613996642449965,Geir Morten Nilsen,Kristelig Folkeparti,26000,3
359699857249,Gjøvikregionen,Gjøvikregionen Utvikling v/ Gjøvik kommune,25849,82
34448777123,Haugesund Venstre,Bjørn Gunnar Husby,25723,177
116313645108382,IFE - Institutt for energiteknikk,IFE - Institutt for energiteknikk,25453,34
124372287594912,Rogaland fylkeskommune,Rogaland Fylkeskommune,25419,15
229236417110530,Vestby Høyre,Vestby Høyre,25121,22
206257002839478,Finnmark Venstre,Troms og Finnmark Venstre,25036,16
781470095268908,Skien Venstre,Skien Venstre,25001,45
122027734518157,Stavanger SV,Stavanger SV,25000,7
163690893818394,Sveinung Rotevatn,Venstre,25000,12
134694976559476,Takeda AS (Norge),Takeda Norge,24999,19
103429428545048,Benjamin Jakobsen,Vestland Arbeidarparti,24944,4
109472857545317,Statsforvaltaren i Møre og Romsdal,Statsforvaltaren i Møre og Romsdal,24870,55
445377535506056,Innovasjon- og Teknologipartiet,These ads ran without a disclaimer,24766,9
1859804024309422,Aftenposten Opplevelse,Aftenposten AS,24737,8
733593566653695,FO - Fellesorganisasjonen,Fellesorganisasjonen (FO),24643,20
129925163706887,Oslo Dokumentarkino (The Oslo Documentary Cinema),Oslo Dokumentarkino,24564,16
358935277575832,ACT Agency,ACT Agency AS,24330,5
105060276260021,Tromsø FrP,Tromsø FrP,24264,81
175438386701,Dagen,Dagbladet Dagen AS,24204,52
154008987986327,Agder Venstre,Agder Venstre,24108,37
503951883021764,ShareTheMeal,These ads ran without a disclaimer,24085,26
596925057109145,Veidekke i Norge,Veidekke Entreprenør AS,24030,7
183450288333331,Eidsvoll Høyre,Eidsvoll Høyre,24016,50
2869351156469363,Tonje Lavik Pederssen - FrP,Asker FrP,23858,27
54779960819,United Nations,United Nations with Facebook Ad Credits,23461,5
117840771633607,Nittedal FrP,Fremskrittspartiet,23447,77
199905483359347,Sunnfjord Arbeidarparti,Sunnfjord Arbeidarparti,23420,19
328687443909969,Troms og Finnmark MDG,Troms og Finnmark MDG,23246,7
102076273180577,Sbanken – et konsept fra DNB,These ads ran without a disclaimer,23229,1
711789545902081,Marit Vea,Oslo Venstre,23056,17
328687443909969,Troms og Finnmark MDG,Miljøpartiet De Grønne Troms og Finnmark,23000,26
529241943796135,Bærum Venstre,Bærum Venstre,22999,16
448872635689237,Sparebankstiftelsen Sparebanken Sør,Sparebankstiftelsen Sparebanken Sør,22991,27
941682169284570,Foreningen Tryggere Ruspolitikk,Foreningen Tryggere Ruspolitikk,22905,19
381021605311835,Bjørnafjorden FrP,FREMSKRITTSPARTIET,22818,13
100224199286614,Norsk-Ukrainsk Venneforening,Norsk-Ukrainsk Venneforening,22795,54
106257901542332,Ole Martini,Ole-Ansger Nepomuk Martini,22504,17
244033998949414,Tina Bru,Høyre,22500,3
1499576763595145,Agder Høyre,Agder Høyre,22500,7
329627623789762,Trøndelag Sosialistisk Venstreparti,Trøndelag SV,22400,33
112893680400463,Age of Apes,These ads ran without a disclaimer,22228,2
199529846763657,Froland Senterparti,Froland Senterparti,22144,27
1311226819022317,The Norwegian Nobel Institute / Det Norske Nobelinstitutt,Helene Kvernaas,22128,36
272684277921121,Bar Liberal,Herman Lund,21919,20
164439653603433,Arendal SV,Arendal SV,21793,40
408533559312169,Byas,Byas,21793,10
60540214886,Lederne,These ads ran without a disclaimer,21773,15
127013601165,Industri Energi,Industri Energi,21595,23
239668692797320,Oslo KrF,OSLO KRISTELIG FOLKEPARTI,21590,176
1016410645059664,Mathias Bernander,Kristiansand Høyre,21500,7
523714977692468,Akershus Senterparti,Akershus Senterparti,21497,12
101706305137168,Jorodd Asphjell,Trøndelag Arbeiderparti,21477,6
166359316748710,Ørsta Høgre,Ørsta Høgre,21385,20
100696475439308,Ås Arbeiderparti - Ås Ap,Ås Arbeiderparti,21287,46
