Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
115057768226573,Low Emission Technology Australia,Low Emission Technology Australia,66579,144
120462224723459,NSW Nationals,National Party of Australia - NSW,66500,66
109310644169124,Go Local First,Council of Small Business Organisations Australia,66424,13
266250683397747,Queensland Treasury,These ads ran without a disclaimer,66258,284
353973258039374,HESTA,These ads ran without a disclaimer,65473,43
1731652610401121,Trent Zimmerman,Trent Moir Zimmerman,65223,75
191414167860517,David Littleproud MP,David Littleproud MP,64834,350
92824008332,Plan International Australia,These ads ran without a disclaimer,64699,312
327364450721926,Australian Pathology,Australian Pathology,64646,981
167499039937775,Water Corporation,These ads ran without a disclaimer,64141,64
1513078735604544,NSW Department of Communities and Justice,Department of Communities and Justice,64108,151
356113427813761,Kevin Hogan MP,Kevin Hogan MP,63964,687
1490457217880377,John Pesutto,Liberal Party of Australia (Victorian Division),63886,293
32799215298,Animals Australia,Animals Australia,63674,319
471390022952217,Australian Energy Producers,APPEA,63484,493
196080530960204,Sarah Connolly MP,Sarah Connolly MP,62755,150
291704124236419,WorkSafe Victoria,These ads ran without a disclaimer,62448,143
361491373921077,Solar Citizens,100% Renewable Community Campaign Public Fund,62406,522
609336902555154,Senator Jane Hume,Senator Jane Hume,62261,179
1732951633627025,Farmers for Climate Action,Farmers for Climate Action,61998,232
192946087555045,Insurance Council of Australia,Insurance Council Australia,61728,2
149442265077423,Queensland Greens,Queensland Greens,61308,202
149255515146524,Lock The Gate Alliance,Lock The Gate Alliance,61191,326
1565133863781306,Queensland Government,Queensland Government,61078,15
1609771445950238,Peter Khalil,Peter Khalil,60934,2400
120462224723459,NSW Nationals,NSW Nationals,60700,115
106150708332349,Offset Bills,Solar Saver Energy,60550,1158
181578525342930,Master Builders Australia,Master Builders Australia,59776,721
100778125916502,Simon Kennedy - Liberal Candidate for Bennelong,Liberal Party of Australia New South Wales Division,59736,39
327169760731815,Luke Gosling MP,Luke Gosling MP,59612,489
439137739437414,Fiona Patten,Reason Victoria,59274,35
125627804305487,Rick Wilson,Rick Wilson,59223,229
104419985146228,Ekō Australia,Ekō Australia,59196,47
200480966638039,Supremacy 1914,These ads ran without a disclaimer,59156,8
194784127232544,SBS Arabic24,SBS Arabic24,59108,512
100492139310916,Australian Assange Campaign,Australian Assange Campaign,58770,57
5703994039,realestate.com.au,These ads ran without a disclaimer,58720,30
120955261294684,David Pocock,DP Indendent Pty Ltd,58684,113
209720392384537,City of Melbourne,City of Melbourne,58270,108
1379031065741194,Daniel Mulino,Daniel Mulino,58187,151
105990997435566,LNP Facts,Queensland Labor,58143,171
161588620647438,Victorian Trades Hall Council,Victorian Trades Hall Council,57805,234
90728602000,Greening Australia,Greening Australia,57542,606
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,57173,168
2383045228374491,CPAC Australia,Conservative Political Action Network Ltd,57133,110
9480502970,Greenpeace Australia Pacific,These ads ran without a disclaimer,57030,982
656384627726448,Monash IVF,Monash IVF Group,56710,40
293428877365184,Bhumi Organic Cotton,Bhumi Pty Ltd,56547,208
7783116506,Animals Asia,These ads ran without a disclaimer,56305,331
106791108597531,Future of Local Government Review - Tasmanian Government,Department of Premier and Cabinet,56272,184
372842266568995,Kat Theophanous MP,Kat Theophanous MP,55869,180
376006035816016,Storyworth,These ads ran without a disclaimer,55812,19
236624143053970,ifaw,These ads ran without a disclaimer,55634,491
2730963457129454,Senator Raff Ciccone,Senator Raff Ciccone,55610,123
424862620880565,Sam Hibbins,Sam Hibbins,55485,343
387283804637628,Queensland Environment,Department of Environment and Science,55425,249
100236702809578,Under Fire - Victoria,United Firefighters Union - Victorian Branch,55342,94
274102972728043,Matt Keogh,Matt Keogh MP,55335,356
275391606680727,Aus Solar Connect,These ads ran without a disclaimer,55290,70
468050380000272,Enova Community Energy,These ads ran without a disclaimer,55047,72
110679918187811,Kate Chaney MP,Chaney for Curtin,55000,10
552968198133394,Peter Dutton,Peter Dutton MP,54897,81
1580111295645950,30 by 30,30 by 30,54616,179
108816109145500,CONVERSE,CONVERSE,54543,67
182564410468,Australia for UNHCR,These ads ran without a disclaimer,54468,273
136441724510,Humane Society International Australia,Humane Society International Australia,53857,608
332509390785960,Angie Bell MP,Angie Bell MP,53846,35
225761522187219,Turning Point Australia,Turning Point Australia Pty Ltd,52609,153
107729484334646,Keep Corporations Honest,Class Actions Australia,52482,96
1995542040513647,Parents for Climate,Australian Parents for Climate Action,52256,551
109116534161020,FindRebates.Online,These ads ran without a disclaimer,52180,233
105931422364976,Jacqui Scruby,Jacqui Scruby,52138,234
110018088334981,Katherine Deves - Liberal Candidate for Warringah,Liberal Party of Australia New South Wales Division,52119,18
161107919341,Save Our Marine Life,Save Our Marine Life (Australia),52001,727
284559465065920,Oracle Group,These ads ran without a disclaimer,51615,48
66629370972,Together Queensland,Together Queensland,51432,61
2202229243381304,The Vocal Minority,These ads ran without a disclaimer,51072,24
106572145637277,Helen Conway for North Shore,Helen Conway,50921,56
144812088863857,CBM Australia,CBM Australia,50593,482
611157692711695,Solar Group Australia,These ads ran without a disclaimer,50456,349
122095051312967,Tim Read MP,Tim Read MP,50376,242
719853864726295,Mindvalley,These ads ran without a disclaimer,50084,65
1856952217890753,Sam O'Connor MP,Sam O'Connor MP,49989,293
117034128319159,David Southwick MP,David J Southwick,49918,319
24287259392,Nestlé,These ads ran without a disclaimer,49646,11
