Page ID,Page name,Disclaimer,Amount spent (NGN),Number of ads in Library
299567433503314,SDN,Stakeholder Democracy Network,49846,6
104663752433213,GSM 2.0,Seyi Makinde Campaign Organisation,49655,8
100483822974503,PETER obi for presidency,These ads ran without a disclaimer,49532,3
103961995309429,KO KUN SAN KT?,Yusuf Salisu Funtua,49495,20
815819555450736,D’Ace Luxury,These ads ran without a disclaimer,49300,4
568578303823031,Enotvmax,These ads ran without a disclaimer,49003,1
114935263224090,Rollins Offia Nwali,Oguzo Jeffries Nwali,48600,9
103939085598856,alexanderweinman,These ads ran without a disclaimer,48466,2
116828651009439,General items,These ads ran without a disclaimer,48265,1
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,48215,7
515362745940042,APC NewsOnline,Prince Alabi,47838,4
104391618995614,Nwachukwu Anthony Anakwenze,Anthony Eri,47707,26
110840671586653,North-South Co-Presidency Movement,Charles Chinedu Offokaja,47082,9
149072268486202,"Society of Petroleum Engineers, Nigeria Council",Itoro Udofort Koffi,47012,2
109657551932735,Lagos Today,Lagos Today,46791,20
1917868968529177,Education NOW 9ja,Kolo Jessa Ndaisa,46513,1
101649462831068,Delta advocate 4 sheriff uk,Benjamin Mathew,46177,5
357589380966568,Rev Sam Oye,These ads ran without a disclaimer,46158,2
885438868262006,Dr Torngee Malu,These ads ran without a disclaimer,46158,1
104808748998323,Onevoicedelta,Onevoicedelta,45872,19
114558900283778,Protect The Child Foundation,These ads ran without a disclaimer,45582,5
620282058399729,Zoba De Great,Emmanuel Chizoba Ugwuagbo,45568,5
331985171374192,Catch Them Young Community Initiative,Philemon Nwakile,45454,3
387098485174503,Coal City TV,Emmanuel Chizoba Ugwuagbo,45329,12
100764834839333,Minister Christy Ogbewi,These ads ran without a disclaimer,45233,10
110635338055920,Cedanac Resources,Cedanac Resources,44946,3
1701823473296944,Decencyhairsandmore,These ads ran without a disclaimer,44893,2
266906487061241,Y Monitor,The Future Project,44277,6
108409741002988,Prince Hadi Sani; SA to Ogun State Governor on Inter-Ethnic Affairs.,Adu Ifeoluwa,44205,38
107553438530249,Delta Scope TV,Raymond Atebo Utuedhe,43607,13
102915965804953,Lagos Professionals for Sanwo-olu,Leke David,43579,29
101306259114009,Senator Abiru Innovation Lab,These ads ran without a disclaimer,43389,1
105728562826950,Atlantic International University,These ads ran without a disclaimer,43387,1
849630481716735,Sola Kuti’s blog,These ads ran without a disclaimer,42594,1
102846336004998,Abibat Mogaji Beneficiaries Vanguard 4 Bola Ahmed Tinubu-AMBV4BAT,Odunbaku Sodiq Adekunle,42210,5
606771342715406,RIF TRUST,These ads ran without a disclaimer,42110,1
606800679765375,Voice2RepNg,Accountability Lab Nigeria,42000,3
106820952234883,Professor Ngozi Nma Odu,Tamunokiri Biebele Lawrence,41820,8
106984891980899,LikeMinds for Peter Obi,LikeMinds for Peter Obi,41750,3
64588666340,Haaretz.com,These ads ran without a disclaimer,41718,14
744766039058747,Inside Kaduna,Inside Kaduna Media,41543,21
338109312883186,China Xinhua News,These ads ran without a disclaimer,41437,41
103534109311151,IDA OBOLO SIM For Governor Rivers State,"ESUUK, THANKGOD BIOTU",41104,6
1048215361885037,معرض الكانتون,These ads ran without a disclaimer,41081,3
971769479677563,Gbenga Olawepo-Hashim,Excellence Anurika Joshua,40995,6
585140311510068,Foundation For Value Transformation,Foundation For Value Transformation,40541,1
445277002472463,IUW Effects,These ads ran without a disclaimer,40513,2
108221321953415,Free Abia Movement,Chinaza Somtochukwu Ibeofokile,40419,41
100362299262985,Yerwa Express News,Yerwa Express News,40097,15
104024515423549,Myswissflower,stova industries limited,40047,8
271327113343181,Believe In Nigeria,Believe In Nigeria,40000,2
101886116160600,SootCityng,X3M ideas,39963,5
345763855563592,Savdfutur,Savdfutur,39806,10
546057682171949,Pharm Chinedu For Peter Obi's Presidency,These ads ran without a disclaimer,39696,8
115798340116713,Ogouniquetv,Ogouniquetv,39683,38
100212600075072,Emmanuel Memga Udende,SKYHUB NIGERIA,39102,17
270082823183144,Canton Fair,These ads ran without a disclaimer,39078,4
101128922563406,"ADL for Senate, Kaduna South Senatorial District, 2023",Ayuba Daniel La'ah,39070,8
1662239013832778,The Bridge Leadership Foundation,These ads ran without a disclaimer,39051,4
108594858031842,UrahTv,UrahTv,39000,3
117743160054780,RiversofHope,RiversofHope,38778,7
552536135271359,HappyOrange.NG,These ads ran without a disclaimer,38685,4
106228671988280,Asiwaju Project Beyond 2023,Abreaham Bewaji,38604,11
101704896170189,Lagos Labour Support Group,Oluseyi Adesanya,38215,6
155725841111588,Standard Chartered,These ads ran without a disclaimer,38148,1
105319775634263,Kamari,Kamari Nigeria Limited,38053,4
