Page ID,Page name,Disclaimer,Amount spent (GTQ),Number of ads in Library
342599725828584,Noticias de Petén,These ads ran without a disclaimer,≤100,2
107281598981869,Reporte Guatemala,Natalia Pinzon Hernandez,≤100,4
131314590235972,DW Español,These ads ran without a disclaimer,≤100,3
281521115295240,Asies Guatemala,These ads ran without a disclaimer,≤100,1
1728261037388281,Carvajal Empaques Centroamérica,These ads ran without a disclaimer,≤100,11
107558398974199,Celita De León,These ads ran without a disclaimer,≤100,1
177854402389449,Imdosoc,These ads ran without a disclaimer,≤100,7
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100,10
111936406898915,cocomonver,These ads ran without a disclaimer,≤100,3
113549974664813,Eventos Magic Plus Guatemala,Anllelo Jesus Divas,≤100,1
101827722802918,PAN. Alta Verapaz.,These ads ran without a disclaimer,≤100,5
145856715442586,Oceanic Society,These ads ran without a disclaimer,≤100,1
208685479508187,U-Report Global,These ads ran without a disclaimer,≤100,6
112392668187300,Adictiva Nova,These ads ran without a disclaimer,≤100,1
325210654325577,Mago Rodrigo O - Xela,These ads ran without a disclaimer,≤100,1
249889355058521,Red Ciudadana,Red Ciudadana,≤100,1
177616480434133,Meli Shop mayoreo,These ads ran without a disclaimer,≤100,1
114878491482343,libreria.wisache,These ads ran without a disclaimer,≤100,1
106299152133604,"RL ""Desarrollo Empresarial""",These ads ran without a disclaimer,≤100,1
107173698926440,Rindiendo en casa,These ads ran without a disclaimer,≤100,13
100891681739204,Javier Carbajal,These ads ran without a disclaimer,≤100,2
845620825830146,Deel,These ads ran without a disclaimer,≤100,16
82928774489,Panda Security,These ads ran without a disclaimer,≤100,13
391387864969982,Prisoners Defenders,These ads ran without a disclaimer,≤100,4
101283567957910,Muni La Reforma 2020-2024,These ads ran without a disclaimer,≤100,1
106532955748807,Comunidad Elefante San Juan Sac. Oficial,Juan Jose Herrera de León,≤100,1
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,88
104257179297468,Ing. Oscar Solares,These ads ran without a disclaimer,≤100,1
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,63
105046738083985,Anneth Orellana,Eduardo Salazar,≤100,2
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100,67
116875848035555,Ismeraí de Arcia - Santa Ana Huista,A marketing,≤100,4
