Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
108516825124789,Canon Peter Mbogho Shake - MP Mwatate,Hon. Peter Mbogho Shake - MP Mwatate,6130,14
1849608781757953,Opera News,These ads ran without a disclaimer,6093,4
112133021148138,Hon Peter Njuguna Gitau,Kelvin Njuguna Ndung'u,6036,3
106929671848855,Gichuke Ribathi Kinangop Mp.,Gichuke Ribathi,6002,10
7724542745,Manchester United,These ads ran without a disclaimer,5992,1
349837788460874,CRI Kiswahili,These ads ran without a disclaimer,5987,14
691631977553277,Nakuru County Government - Official,Martin Gicinga Macharia,5950,31
645607445484130,Dedan Kimathi University of Technology,These ads ran without a disclaimer,5939,1
112199966857250,Barckleih  Kilei Mutinda For Mp Mwala 2022,Dominic Kyalo Musyoka,5931,3
107661291992001,Hon Dr. Roberts Eloto Abok,Roberts Eloto Abok,5900,12
173516606349429,Hon Wavinya Ndeti,These ads ran without a disclaimer,5878,11
111699500235622,Good Life TV,These ads ran without a disclaimer,5806,1
855866121140316,Robert Alai,These ads ran without a disclaimer,5768,2
105950338370302,Terry Maina,Kiptoo Obadiah,5731,19
590244531002882,Hon. Adan Keynan Wehliye,Hon. Adan Keynan Wehliye,5702,8
400615470006264,Hyundai Engineering 현대엔지니어링,These ads ran without a disclaimer,5673,1
170951426275318,CBM Christian Blind Mission,These ads ran without a disclaimer,5666,2
115591005188475,Global Times,These ads ran without a disclaimer,5663,41
590632601095902,Curvez&Trendz,These ads ran without a disclaimer,5658,7
101559748690819,Mike Sonko Loans Development Programme,These ads ran without a disclaimer,5630,9
392425987484695,Mji-Wa-Kale Tuitakayo,Social Hub,5610,1
786460951697113,CPA Andrew Bulemi,Ruth Nyandia Gachago,5603,5
105833652399018,Maina Karobia,Maina Karobia,5567,1
105647461757849,Azimio Inawezekana Na Raila.,Charles Owino Wahongo,5544,7
104339582247392,Hon Queenas Chepkemoi - Aspiring Leader,Queenas Chepkemoi,5500,9
1131059137004884,Mark Muriithi Mwenje,These ads ran without a disclaimer,5461,32
153371894688575,World Bank,These ads ran without a disclaimer,5433,39
101212751945088,Hon. James Omingo Magara,Johnson Makori Mauti,5428,9
205284916001428,Prof. Michael Wabwile for JSC 2024-2029,Prof. Michael Wabwile,5379,5
114650215296566,Hon Joel Kyatha Mbaluka,The Tribune,5320,5
193531641397160,Speaker Joel .M Kairu - MP Nakuru Town East 2022,Kevin Bob Ndichu Kimani,5300,4
715337551812957,One Ummah,These ads ran without a disclaimer,5285,13
143714609499536,OCP Group,These ads ran without a disclaimer,5267,1
1984620174988993,1945 Air Force,These ads ran without a disclaimer,5241,8
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,5201,5
113396131374730,Rosemary Kirika,Josphine Wairimu Mburu,5200,4
