Page ID,Page name,Disclaimer,Amount spent (PEN),Number of ads in Library
89660988793,Asociación Paz y Esperanza,Asociación Paz y Esperanza,6395,141
389184041712426,Alex Córdova,Alex Milton Córdova Córdova,6377,24
1399482146820210,Jose Choque Gutierrez,David Maccriber Yarasca,6364,22
108462918681935,Un León a la Región,Alejandro Angulo,6312,26
109019574560600,Aula Gaceta,GACETA CONSULTORES S.A.,6255,7
107912051341245,Valera Morillo,Jheslyn Misshell Valera Morillo,6234,44
169741473678417,Nico Talavera,Nicolas Andres Talavera Benavente,6229,154
271385249897782,Trujillo 60,n60,6211,229
274611865891177,Verónika Mendoza,Verónika Mendoza,6034,8
107674917831466,Ana Cecilia Garzon,Ana Cecilia Garzón Pérez,6016,19
113857973395461,Luis Angel Aragón - Congresista de la República,Diego Alonzo Alvarez Guevara,6012,175
161082810700740,Mibanco,These ads ran without a disclaimer,5988,6
649773891834967,Javier Altamirano,Javier Ernesto Altamirano Coquis,5941,28
112652230539548,Preston Melamina,These ads ran without a disclaimer,5940,2
507479089378056,AGUA BOLOGNESI,Carmen Rosa Rios Ortiz,5909,42
112992267268835,"Cambió Trujillo, Cambiará el Perú - CAP Presidente","Colectivo CAP - Cambió Trujillo, Cambiará el Perú",5900,31
107798708365469,Chano Valdiviezo,Milton Omar Sandoval Araujo,5885,90
267400830052655,Edy Cuellar Región Cusco 2023,Boris Braulio Santos Acostupa,5883,26
104402974872962,Adriana Tudela,Franco Alberto Arfinengo Oliva,5879,62
100372761998126,Enver Flores Ojeda,Enver Flores Ojeda 2021,5878,61
58895017663,Banco Interamericano de Desarrollo,These ads ran without a disclaimer,5814,37
104938247754336,Clara BCP,These ads ran without a disclaimer,5774,12
563182727085625,Leonor Chumbimune Cajahuaringa,Rafael Enrique Tejada Medina,5741,194
323413307685405,El Informativo CUSCO,Informativo Cusco,5684,23
1011637728971839,Chino Balza,Juan Carlos Balza Tassara Matta,5675,54
106685958424309,Adler Oliva Somos Perú,Adler Antonio Oliva Chicana,5655,73
162880980862726,Red Hat,These ads ran without a disclaimer,5601,2
104764337549134,Franco Vidal,Erik Antonio Muñoz Izquierdo,5600,16
114869120240314,Pepe Pajuelo Oliveri,Pepe Ernesto Pajuelo Oliveri,5591,16
907461125957689,Víctor Bazán Pastor,Gabriela Davila Gamarra,5588,93
110542577757410,Vota y Vota Bien,"PERSONA, VIDA Y FAMILIA",5571,16
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,5560,14
100500902383840,Propuestas del Bicentenario,Videnza Fundación,5558,22
319944412781748,Efrey Becerra JP3,Adan Efrey Becerra Garay,5533,39
109824238171396,Elías Rodríguez Página Oficial,Odar Alexander Gonzales Quiliche,5469,10
201324190574817,Alex Rodriguez Alvarado,Jesús Jhonatan Santisteban Riojas,5463,30
101935135273353,María Pía Salinas - A la Alcaldía Provincial de San Martín,Maurizio Guillermo Cordova Abusada,5459,186
114155063557959,Jean Pierre Combe Portocarrero,Diana Huancaya Matos,5449,7
397709203763895,Lucho Durán,Lucho Duran,5440,88
127832144570884,Hernan Sifuentes,Jose Luis Urresti Eguiluz,5439,20
237862703076530,Ya Vuelta TV,Mario Martin Paredes Lostaunau,5428,128
1929408777079020,Tito Gamero Arequipa 2023,YO AREQUIPA,5393,34
102937391769141,Juano Vargas,Michael Eistein Vargas Leon,5370,127
108293215037295,Jose Carranza Oficial,Jose Ubil Carranza Rafael,5313,78
104175652303563,Boris Aguilar Alcalde de Wanchaq,Boris Enrique Luna Aguilar,5312,72
475157512880993,Lucho Neyra León - Gobernador Regional,Lucy Cristina Riojas Rivera,5304,17
103903134990350,Digital TVGO,Josué Ubierna Barandiaran,5254,3
249558418525870,José Ruiz,César Junior Miraval Shupingahua,5232,21
59764099683,ESAN Graduate School of Business,Grupo P - INDEX,5213,47
332503550172994,Gobierno Regional de Apurímac,Miguel Angel Lagos Fuentes,5205,38
314495422404390,Podemos Perú - Lambayeque,Jhonatan Alfredo Flores Cuya,5197,2
100685622016966,Natalia Taco - Oficial,La Oveja Merino,5189,11
1714025882234497,Iuridicas Escuela,These ads ran without a disclaimer,5169,1
109530238325755,Héctor Ontón JP,Héctor Dario Ontón Orozco,5163,47
568478809851076,Antonio Pulgar Lucas,Samuel Tucto Ordoñez,5140,109
1629211737145398,Dr. José Carlos Ordoñez,Jose Carlos Ordoñez Castro,5126,35
102533848285908,Veronica Escobal Ordóñez,Veronia Rebeca Escobal Orodñez,5117,141
117498400158090,Héctor Acuña,Carolina Asis,5107,80
107849895052283,Jorge Monasi,Mi Loreto,5064,26
111450058300845,Alex y los Jóvenes,Waldir Robert Castillo Ortiz,5032,85
228896017691696,Roberto Gómez Baca,Roberto Hipolito Gomez Baca,5025,9
115014573270088,Aron Espinoza,Laidy Diana Peceros Espinoza,5000,1
104904201678937,Katia Santamaria,Gobs Analytics,4996,19
107850294470186,Marco Zevallos,Marco Antonio Zevallos Bueno,4990,24
1488972961320300,Somos Perú - Página Oficial,Partido Democrático Somos Perú,4979,13
550000752039486,Mariano Yupanqui Miñano,Martin Alberto Ubillus Gutierrez,4960,33
103548778388958,Gabriela Coaguila,Gustvao Martin Medina Sanes,4946,17
101344545236426,Sitza Romero Miraflores con Fuerza,Sitza Lita Romero Peralta,4932,54
100134829359847,Rafael Chacon Pizarro,Rafael Chacon Pizarro,4923,51
147751821930575,Salud Digital Fundación Carlos Slim,These ads ran without a disclaimer,4912,4
110255801570422,Maria Elena - Alcaldesa de Santiago,María Elena López,4893,63
