Page ID,Page name,Disclaimer,Amount spent (VND),Number of ads in Library
1566861766968697,Dịch Vụ Kế Toán Thuế Trọn Gói Tại Quảng Trị,These ads ran without a disclaimer,4718493,7
102243878100262,Viên Trị Mất Ngủ Chính Hãng Nhất Nhất - Ngự Y Mật Phương,These ads ran without a disclaimer,4689332,5
1446542148991898,Âm Thầm Kết Nối,These ads ran without a disclaimer,4667633,8
100605908409179,Mr Toàn - Giấy Tờ Bằng Cấp,These ads ran without a disclaimer,4586130,2
108969218002206,Đầu Tư Thông Minh,These ads ran without a disclaimer,4555691,4
111143368437803,IIC Academy -  Cs2 hồ con rùa quận 3,These ads ran without a disclaimer,4527091,12
102475889330845,Sách y học Việt Nam,These ads ran without a disclaimer,4526456,8
104927770878658,SODES - Quản Trị Doanh Nghiệp,These ads ran without a disclaimer,4521292,1
372724896259182,"Thạc Sĩ Quản Trị Kinh Doanh FSB-Mba, Đại học FPT",These ads ran without a disclaimer,4503287,4
105195758988884,Đơn Vị Cao Việt Hoàng - Thông Tin Sức KHỏe,These ads ran without a disclaimer,4501998,2
495958217095691,Viện Huyết học - Truyền máu Trung ương,These ads ran without a disclaimer,4501740,2
108173415366384,Nhà Thuốc Gia Truyền Phạm Văn Thanh,These ads ran without a disclaimer,4455749,7
541324329211972,Bệnh viện Đại học Y Hà nội,These ads ran without a disclaimer,4427487,1
102729692622128,VSJ Gold - Mua Vàng Với 100k,These ads ran without a disclaimer,4427436,5
194797795411,"Azerai La Residence, Hue",These ads ran without a disclaimer,4427309,3
1452874838350912,Nhất Nhất - Viên Thông Mạch Ngự Y Mật Phương,These ads ran without a disclaimer,4423020,11
102414379189801,Phạm Văn Thanh - Đặc Trị Tiểu Đường,These ads ran without a disclaimer,4383350,6
116526318036371,Khám sức khỏe & tầm soát ung thư - Bệnh viện đa khoa TTH Vinh,Bệnh viện đa khoa TTH Vinh,4375996,11
108003005109307,Sách Xưa Hoài Cổ,These ads ran without a disclaimer,4367999,2
100548459625518,Phương Linh - Bằng Cấp Chứng Chỉ 2,These ads ran without a disclaimer,4365454,4
102858935401394,Chứng Chỉ Chức Danh Nghề Nghiệp Giáo Viên,These ads ran without a disclaimer,4347052,4
