Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
227642364102648,Luka & Jenalyn,These ads ran without a disclaimer,≤100,3
100714753095902,TL-Info,These ads ran without a disclaimer,≤100,1
2259161860788867,Tiếng Việt Online cho trẻ nước ngoài,These ads ran without a disclaimer,≤100,2
111061508636169,European community,These ads ran without a disclaimer,≤100,1
171766144470874,Bruno crazy,These ads ran without a disclaimer,≤100,2
106278708591533,Foreign Investment Agency Vietnam - FIA Vietnam,These ads ran without a disclaimer,≤100,3
269783762886101,Son Dakika Haberleri,These ads ran without a disclaimer,≤100,1
315603771494,Milaap,These ads ran without a disclaimer,≤100,2
1390745591150821,NRC - Norwegian Refugee Council,These ads ran without a disclaimer,≤100,2
101653285444113,SK텔레콤 뉴스룸,These ads ran without a disclaimer,≤100,2
112435044911480,Orange Soil,These ads ran without a disclaimer,≤100,1
1569631189994826,Stildeco Mobila,These ads ran without a disclaimer,≤100,1
111425141958605,Sparklo,These ads ran without a disclaimer,≤100,2
800018250057491,Direct Expose,These ads ran without a disclaimer,≤100,1
297011996984501,Torah-Box,These ads ran without a disclaimer,≤100,2
1581066202141511,Najimi Ajimu,These ads ran without a disclaimer,≤100,4
104160934265925,A State of Denmark,These ads ran without a disclaimer,≤100,1
146481695371146,"มูลนิธิเพื่อสุนัขในซอย, ประเทศไทย (Soi Dog - in Thai)",These ads ran without a disclaimer,≤100,2
188789377812793,Kongsberg Gruppen,These ads ran without a disclaimer,≤100,1
1887394344883841,Leakshare,These ads ran without a disclaimer,≤100,6
109157008010513,Alveda,These ads ran without a disclaimer,≤100,2
101081132410002,YourPlastics,These ads ran without a disclaimer,≤100,1
113372645010244,RTL Grоup,These ads ran without a disclaimer,≤100,1
106803408804138,House Of Fun,These ads ran without a disclaimer,≤100,3
102118085939593,Mitreuriro,These ads ran without a disclaimer,≤100,1
262962720525303,The Fashion Cart,These ads ran without a disclaimer,≤100,2
150830641743673,Tomplay,These ads ran without a disclaimer,≤100,2
517231405008910,Global Landscapes Forum,These ads ran without a disclaimer,≤100,3
113502287096979,I Luv Australia,These ads ran without a disclaimer,≤100,1
835080653179071,Fique Sabendo,These ads ran without a disclaimer,≤100,1
296836513743337,Stefan Verra,These ads ran without a disclaimer,≤100,2
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100,2
108146652001049,Dhanlescuten,These ads ran without a disclaimer,≤100,2
101978933230493,DHL,These ads ran without a disclaimer,≤100,3
72149536933,SKF,These ads ran without a disclaimer,≤100,3
2191933467738825,Dare to be Grey,These ads ran without a disclaimer,≤100,1
295446797213542,China.org.cn,These ads ran without a disclaimer,≤100,1
194462931395734,Beyond Three Bridges Travel Blog,These ads ran without a disclaimer,≤100,1
198566486907133,Money20/20,These ads ran without a disclaimer,≤100,1
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,2
21591025194,The University of Melbourne,These ads ran without a disclaimer,≤100,1
100110599507064,Secret Top Aircraft,These ads ran without a disclaimer,≤100,1
188872144758,CCTV,These ads ran without a disclaimer,≤100,2
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,4
1656590977890066,IDEO U,These ads ran without a disclaimer,≤100,1
135252449838021,Alltech,These ads ran without a disclaimer,≤100,1
106097385150744,Money Wiz,These ads ran without a disclaimer,≤100,1
116310878056949,Mandy Wong Chatgpt,These ads ran without a disclaimer,≤100,1
190026614460112,MBATUBE,These ads ran without a disclaimer,≤100,1
1445916698972277,"Solibri, Inc.",These ads ran without a disclaimer,≤100,1
101798119668841,W_App,These ads ran without a disclaimer,≤100,4
101082536046883,Vivenlife,These ads ran without a disclaimer,≤100,1
1690833901196564,Industry of Things,These ads ran without a disclaimer,≤100,2
111014438406253,Trendyspread shop1,These ads ran without a disclaimer,≤100,1
110454078424086,PeoNyimbo - Tentative music,These ads ran without a disclaimer,≤100,1
