Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
765201590507243,Neil Castillo Lillo CORE 2021,Neil Fabián Castillo Lillo,548586,19
103438224772862,Lucio Sanhueza Hardessen,Lucio Sanhueza Hardessen,548455,155
170080347976715,Cecilia Chang Concejala,Cecilia Del Rosario Chang Perez,548350,51
2245846248797877,Diego Riveaux Marcet,Nikol Betzabe Escribano Rios,547485,10
104982729349624,Humberto García Diaz,Humberto García Diaz,547145,16
1859642500929192,Coordinadora Feminista 8M,Andrea Estefanía Herrera Hinojosa,547007,18
104280694992579,Jaime Cosme Ormeño,Jaime Ormeño,546307,131
104808694941214,Roberto Hurtado FanPage,Roberto Alejandro Hurtado Guzmán,546211,32
587202621342091,Daniel Cuevas - Consejero Regional,Daniel Enrique Cuevas Fuentealba,546192,33
100206115267345,Belén Constituyente,Maria Belén Rojas Pinto,546191,11
1794376550874119,Anselmo Peña Consejero Regional,Mario Sáez,546134,15
454299594926793,Miguel Bruna,Miguel Ángel Bruna Silva,546016,16
969738899776955,Patricio Arancibia Zumelzu Tomé,Patricio Antonio Arancibia Zumelzu,545799,31
1436277466596352,Luis Soto Ramirez,Luis Soto Ramirez,545382,47
102713709451980,Gloria Maritza Hurtado Garay,Gloria Maritza Hurtado,545084,17
111492741262926,Maria Violeta Silva Cajas,Maria Violeta Silva,544780,24
246353500616269,Jacqueline Saintard Diputada,Jacqueline Saintard Vera,544252,32
100112725388101,Cristina Martín Constituyente YQ 32,Cristina Andrea Martin Sáez,543677,34
100675411832328,Christian Pino,Andrés Sánchez Fredes,543616,36
105006338250289,"Marcelo Vargas Martínez, valdiviano, abogado U de Chile",Marcelo Patricio Vargas Martínez,542381,61
103565788759265,Andrea Quijón Constituyente,Erna Andrea Quijón Godoy,542265,30
883612605137945,Rodrigo Daroch,Rodrigo Yañez,540777,94
104164361666753,Jocelyn Corada Concejal Ñuñoa Me Importa,Jocelyn Corada Luis,539990,60
104224427947088,Circula el Plástico,Nicolás Andrés Arata Martínez,539904,26
103463095024719,Curiocity,These ads ran without a disclaimer,539866,18
295049167031963,Silber x pudahuel,Silber x pudahuel,539759,24
104447557852923,Carlos Gatica Villegas,Carlos Gatica Villegas,539579,18
106007441878928,Inti Salamanca Diputado Distrito 4,Rodrigo Álvarez Malla,538350,21
102970025573497,Pregúntale a un Venezolano,Jorge Luis Andres Hermosilla Torres,537233,6
102052408584685,Karime Chamal,Renovación Nacional,537077,1
105765704752392,Rodrigo Mallea Distrito 9,Rodrigo Tomas Mallea Cardemil,536848,21
119745536600190,Dr. Fernando Viveros,Fernando Antonio Viveros Reyes,536010,37
107341575039453,Mario Sadovnik Diputado,Mario Isaias Sadovnik Egel,535420,23
255232814884898,Eduardo Pacheco,Eduardo Pacheco,535327,35
104839631496924,Giannina Graziani Abogada por Viña del Mar,Giannina Estefania Rita Graziani Escobillana,535305,39
526406654765188,Top War,These ads ran without a disclaimer,535193,4
109337274856346,Jaime Vargas Consejero Regional Atacama,Jaime Claudio Vargas Guerra,534843,5
1894851364099763,Alexis Sepúlveda Soto,Alvaro Sebastian Crisóstomo Erices,534823,22
