Page ID,Page name,Disclaimer,Amount spent (AOA),Number of ads in Library
162180996969963,Botswana Sustainability Week,These ads ran without a disclaimer,1843,1
199789583225863,Palavras que falam,These ads ran without a disclaimer,1840,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,1827,14
2552060571686733,Novakid Polska,These ads ran without a disclaimer,1826,2
102479142882702,Papo Recto,These ads ran without a disclaimer,1826,2
103891855463377,Vamos trazer a Maria para casa,These ads ran without a disclaimer,1822,2
117621581593054,TV5MONDE Afrique,These ads ran without a disclaimer,1787,6
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,1756,89
371342522720386,Hoje Angola,These ads ran without a disclaimer,1748,1
157568834301930,UNOPS,These ads ran without a disclaimer,1739,2
101359732304206,Share_M113_x2,These ads ran without a disclaimer,1739,2
104033604740281,Dicas Kuyuyu,These ads ran without a disclaimer,1739,1
170107726193461,Cestar - Um presente para o futuro,These ads ran without a disclaimer,1739,1
106803551683256,Ambar_da_jo.ao,These ads ran without a disclaimer,1739,1
64588666340,Haaretz.com,These ads ran without a disclaimer,1739,8
107062931660099,Ango-Soft,Braulio Alexandre Alves De Almeida,1739,1
101150801659906,palhacocartucho,These ads ran without a disclaimer,1739,1
129971303736958,Opteon Products,These ads ran without a disclaimer,1739,4
101256799542994,LLC- comentadora.,These ads ran without a disclaimer,1739,1
701981883567031,Elvy cakes,These ads ran without a disclaimer,1739,1
104902412374853,Genextar Media,These ads ran without a disclaimer,1739,1
105728562826950,Atlantic International University,These ads ran without a disclaimer,1715,1
112314738439063,Hon Elisha Matambo,These ads ran without a disclaimer,1670,4
1481427328793918,MPLA-Tômbwa,These ads ran without a disclaimer,1670,1
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,1652,4
110839298285111,Portal Mel Cajuina,These ads ran without a disclaimer,1637,3
1718014475112870,Africa Legal,These ads ran without a disclaimer,1626,4
1174024365982168,Howard的家居好物推荐,These ads ran without a disclaimer,1621,1
100865859247121,Bofonge Tv,These ads ran without a disclaimer,1609,1
102055592602708,ACBanguele TV,These ads ran without a disclaimer,1609,2
500895353689021,Africa's Business Heroes,These ads ran without a disclaimer,1574,12
185802818157855,Friends of Angola,These ads ran without a disclaimer,1565,4
225195439441119,Escola do Cabelo Real,These ads ran without a disclaimer,1564,1
156168245063943,Daniel Vingo,These ads ran without a disclaimer,1564,1
109273558493321,Luiz Sanches,These ads ran without a disclaimer,1564,1
106778952455337,Filomena Teixeira Carvalho,These ads ran without a disclaimer,1561,1
107313328895657,A Alvorada,These ads ran without a disclaimer,1539,3
188842724507690,مفوضية اللاجئين,These ads ran without a disclaimer,1530,5
142107039143164,Draft World Magazine,These ads ran without a disclaimer,1527,3
102860875465067,New Marco Polo,These ads ran without a disclaimer,1487,2
103569128480791,FRESAN,These ads ran without a disclaimer,1471,5
111347927722581,100Comentarios,These ads ran without a disclaimer,1470,1
248714581828625,Henriqueta de Sousa da Silva,These ads ran without a disclaimer,1470,1
104930055680634,Anima Tv,These ads ran without a disclaimer,1462,1
100162738241949,Xu Zeyu,These ads ran without a disclaimer,1444,1
109980084934101,Houmany Camara,These ads ran without a disclaimer,1443,2
993349200697094,MBOONA,These ads ran without a disclaimer,1408,2
113269038081122,Daniel Perez,These ads ran without a disclaimer,1408,1
168084919711489,Cienciainterativa_oficial,These ads ran without a disclaimer,1401,1
880611255347800,Phoenix TV 鳳凰衛視,These ads ran without a disclaimer,1400,5
416731498371213,Saved To Serve,These ads ran without a disclaimer,1364,18
393304404377707,中華人民共和國外交部駐香港特別行政區特派員公署,These ads ran without a disclaimer,1336,8
1517044255195624,Jefferson's Gourmet,These ads ran without a disclaimer,1296,1
105405892275345,Sandra Costa,These ads ran without a disclaimer,1286,1
715337551812957,One Ummah,These ads ran without a disclaimer,1277,12
1617753965111540,Oil and Gas World/Oil Sands Strong,These ads ran without a disclaimer,1271,1
1548871702035547,Університет імені Альфреда Нобеля,These ads ran without a disclaimer,1270,1
68793499001,UNICEF,These ads ran without a disclaimer,1270,9
1252316924895378,Instituto Poimênica,These ads ran without a disclaimer,1264,1
102327646098420,Crisóstomo Ñgala,These ads ran without a disclaimer,1262,2
121722097687277,OneSubsea,These ads ran without a disclaimer,1250,5
101692894979935,Lucy Odc Gang,These ads ran without a disclaimer,1220,2
102797845827187,Brechó da boss,These ads ran without a disclaimer,1209,1
10750083165,The Africa Report,These ads ran without a disclaimer,1192,20
800966353274558,Sam Egube,These ads ran without a disclaimer,1189,4
131664893560695,Origins OSU,These ads ran without a disclaimer,1184,18
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,1183,1
100254824748185,Jensog-UK,These ads ran without a disclaimer,1165,18
105378451588916,amuiraquita,These ads ran without a disclaimer,1162,1
21591025194,The University of Melbourne,These ads ran without a disclaimer,1161,4
108476415380419,Associação dos intermediários de Angola,These ads ran without a disclaimer,1157,3
267390166679737,IESE - Instituto de Estudos Sociais e Económicos (Moçambique),These ads ran without a disclaimer,1148,5
7258206754,Jeune Afrique,These ads ran without a disclaimer,1125,25
441360772711756,Mbote,These ads ran without a disclaimer,1122,2
107533564200774,Editora Quitanda,These ads ran without a disclaimer,1114,2
100187953163354,Moxi,These ads ran without a disclaimer,1099,1
107095178842619,kleisy_ferreira_de_pina,These ads ran without a disclaimer,1099,1
103741594467315,Mission Irie,These ads ran without a disclaimer,1099,1
110923691790635,CQI Helpline,These ads ran without a disclaimer,1099,2
198722273488352,The World's 50 Best Restaurants,These ads ran without a disclaimer,1099,1
270951116255236,GEA Farming,These ads ran without a disclaimer,1099,4
122094853676016135,Trophy Trivia,These ads ran without a disclaimer,1096,1
431672620250052,Doug Batchelor,These ads ran without a disclaimer,1073,2
104483887882199,Administração Municipal de Benguela,These ads ran without a disclaimer,1061,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,1059,5
110289500873322,SegueNews,These ads ran without a disclaimer,1052,2
674374605962850,Future of Life Institute,These ads ran without a disclaimer,1052,1
103035368477515,Mariam KEITA,These ads ran without a disclaimer,1045,8
793541217464814,Cisco Global Problem Solver Challenge,These ads ran without a disclaimer,1035,1
113558234658324,Sabedoria dos Provérbios de Salomão,These ads ran without a disclaimer,1017,4
158820864253198,Mario Sergio Cortella,These ads ran without a disclaimer,999,12
1126060947467307,Scatter HoldEm Poker,These ads ran without a disclaimer,991,2
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,987,38
202186057063214,Lesteangola,These ads ran without a disclaimer,983,3
105686442303512,CTGI,These ads ran without a disclaimer,965,8
112881665051628,Raphael Walukonka Lubukayi,These ads ran without a disclaimer,965,13
102114285385335,_homebrand,These ads ran without a disclaimer,955,1
116687931309744,BD Luanda,These ads ran without a disclaimer,938,2
587599981600546,Manual Jurídico da Escravidão,These ads ran without a disclaimer,938,1
1762894757117588,Idiomus,These ads ran without a disclaimer,938,3
275707232525206,Mosaiko,These ads ran without a disclaimer,931,1
402374586906969,DKT WomanCare Global,These ads ran without a disclaimer,931,2
386925041385836,GOZ'A'QUI,These ads ran without a disclaimer,931,1
0,Instagram User 1921828846,These ads ran without a disclaimer,931,1
112674131651283,ANTT,These ads ran without a disclaimer,931,2
106337954500034,MGV Ministries,These ads ran without a disclaimer,931,3
126529410723954,AFD - Agence Française de Développement,These ads ran without a disclaimer,931,1
100511822997082,Pegaber-Bantu,These ads ran without a disclaimer,931,2
105513851117767,Lourenço Lumingo,These ads ran without a disclaimer,931,1
194772773713477,Rena.Org,These ads ran without a disclaimer,931,1
107694388510841,Leadership Pour Un Congo Nouveau,These ads ran without a disclaimer,922,2
234284920108349,TV BELAS,These ads ran without a disclaimer,907,2
106459985413721,Franck for the Community,These ads ran without a disclaimer,906,1
110348696998930,Bienal de Luanda,These ads ran without a disclaimer,902,2
176031462779495,海峽導報,These ads ran without a disclaimer,896,1
100823192690476,Jennifer Davis,These ads ran without a disclaimer,895,1
589408861751444,UNEP International Environmental Technology Centre,These ads ran without a disclaimer,892,3
105443772298404,"E aí, China",These ads ran without a disclaimer,891,1
9179830029,Queen Mary University of London,These ads ran without a disclaimer,872,10
101741916173129,Sólivros,These ads ran without a disclaimer,870,1
106314665785444,ango_diario,These ads ran without a disclaimer,870,1
106347774982499,Giving Hope For Them,These ads ran without a disclaimer,870,1
139916955868590,parlamento_ao,These ads ran without a disclaimer,870,1
115889750105662,Lera,These ads ran without a disclaimer,870,1
268443707113416,Luanda Sul Line,These ads ran without a disclaimer,870,4
103347715795489,Democracy and Human Rights for Africa Corp,These ads ran without a disclaimer,870,1
823910184351734,Portal Ango Line,These ads ran without a disclaimer,870,2
107250819027508,emorenolopes,These ads ran without a disclaimer,870,1
1238173096287495,Azur Games,These ads ran without a disclaimer,870,1
104238915656696,Kab_Z4,These ads ran without a disclaimer,870,1
102235255384352,Livraria Referência,These ads ran without a disclaimer,870,1
101998658413144,Black Streak Anime,These ads ran without a disclaimer,870,11
100490729492964,Sebastian Bello,These ads ran without a disclaimer,870,23
119463747736582,Movimento Independentista de Cabinda - MIC - Oficial1º,These ads ran without a disclaimer,870,3
107677520800654,CAMUNDA_BreakingNews,These ads ran without a disclaimer,870,1
103583955836259,Tout sur l'Afrique,These ads ran without a disclaimer,870,1
