Page ID,Page name,Disclaimer,Amount spent (QAR),Number of ads in Library
107424440982021,Eekad - إيكاد,These ads ran without a disclaimer,≤100,3
205180459350234,رحلات الطيار للبر من قطر الي السعوديه والعكس,These ads ran without a disclaimer,≤100,1
0,Instagram User 1439075428,These ads ran without a disclaimer,≤100,1
380264958502543,Make a Wish,These ads ran without a disclaimer,≤100,1
112483091869474,Property Guide,These ads ran without a disclaimer,≤100,1
143949568808435,Canada  visa permit,These ads ran without a disclaimer,≤100,1
101785965750406,සිරීලක ගුරුකම් - Sirilak Gurukam,These ads ran without a disclaimer,≤100,3
109317128810235,venturegulfengineeringwll,These ads ran without a disclaimer,≤100,1
102570761484258,Asharq Business اقتصاد الشرق,These ads ran without a disclaimer,≤100,15
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,34
0,Instagram User 6331392614,These ads ran without a disclaimer,≤100,1
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,18
107486961571533,Kavi Gupta Gallery,These ads ran without a disclaimer,≤100,2
109613811893240,AI ARTA: Art & Photo Generator,These ads ran without a disclaimer,≤100,3
107847177821253,NOW الشرق,These ads ran without a disclaimer,≤100,17
1717497868504337,Truth and Moments,These ads ran without a disclaimer,≤100,3
168229027311106,M R Star Real Estate,These ads ran without a disclaimer,≤100,1
111012265344082,Premium Projects,These ads ran without a disclaimer,≤100,1
109240544796543,دلال عريقات Dalal Iriqat,These ads ran without a disclaimer,≤100,2
107447625704769,Giftaat GCC,These ads ran without a disclaimer,≤100,2
104431689001128,Teens in AI,These ads ran without a disclaimer,≤100,4
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,6
108198614201272,wedding_lighting__qatar_,These ads ran without a disclaimer,≤100,2
173021152556067,Online Visa Service,These ads ran without a disclaimer,≤100,1
211928638679961,Palestinelivesmatter,These ads ran without a disclaimer,≤100,5
109033362026790,Mariam Em,These ads ran without a disclaimer,≤100,1
730234677037530,جراتسيا تورز - Gratsia Tours,These ads ran without a disclaimer,≤100,1
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,5
455133101359253,Tax Consulting South Africa,These ads ran without a disclaimer,≤100,5
140541385818964,ladyzeinabfoundation,These ads ran without a disclaimer,≤100,1
112403205022991,Qatar Week Winners’s,These ads ran without a disclaimer,≤100,1
115308694215,Hia Magazine,These ads ran without a disclaimer,≤100,4
115384174988339,GG Group,These ads ran without a disclaimer,≤100,1
269241626436063,Atlas Wealth Group,These ads ran without a disclaimer,≤100,1
489179047956298,Allwork.Space,These ads ran without a disclaimer,≤100,10
102588625737934,Busarto Deals,These ads ran without a disclaimer,≤100,1
315603771494,Milaap,These ads ran without a disclaimer,≤100,62
107948960990771,கத்தார் திமுக,These ads ran without a disclaimer,≤100,1
102587752421959,latifa.likes.colors,These ads ran without a disclaimer,≤100,1
103004792660944,Longleaf Valley,These ads ran without a disclaimer,≤100,1
118590611188481,Sénateur Amo,These ads ran without a disclaimer,≤100,1
102227135851943,sheikhaa_umm_muhammad,These ads ran without a disclaimer,≤100,1
375169015940541,Ensan Aid Foundation,These ads ran without a disclaimer,≤100,1
472045796205661,Lotus Dental Center,These ads ran without a disclaimer,≤100,1
106903668538718,matnaflex,These ads ran without a disclaimer,≤100,1
108367322044716,Winners Real Estate,These ads ran without a disclaimer,≤100,1
122103887952099,Tenthouse Structures,These ads ran without a disclaimer,≤100,1
102694049539010,Don't Starve: Pocket Edition,These ads ran without a disclaimer,≤100,15
226841644585662,Property Street,These ads ran without a disclaimer,≤100,1
1006580872756242,Daily Caffe Qatar,These ads ran without a disclaimer,≤100,2
166506766546112,Immigration off Canada,These ads ran without a disclaimer,≤100,1
669726450148426,Embajada Dominicana en Qatar,These ads ran without a disclaimer,≤100,1
198317336853861,Qatar Airways,These ads ran without a disclaimer,≤100,1
582894035243561,Enjoy Saudi  عيشها,These ads ran without a disclaimer,≤100,1
103484892284189,පාරම්පරික ගුරුකම්,These ads ran without a disclaimer,≤100,1
218548468171684,Msheireb Properties,These ads ran without a disclaimer,≤100,1
117100911435271,Canada Online Visa Apply 2,These ads ran without a disclaimer,≤100,1
109813405503668,Rifat 7,These ads ran without a disclaimer,≤100,1
102809538938941,Cyber Security Council,These ads ran without a disclaimer,≤100,2
389936074860561,ALHAJAS & FILIGRANAS,These ads ran without a disclaimer,≤100,1
110382451315703,Dr. Abdullah Bin Kafi,These ads ran without a disclaimer,≤100,2
161919217002095,Smart Finance,These ads ran without a disclaimer,≤100,1
109192948706830,الشيخة الروحانيه ام مشاعل,These ads ran without a disclaimer,≤100,4
166558186539337,Investment knowledge,These ads ran without a disclaimer,≤100,2
