Page ID,Page name,Disclaimer,Amount spent (MYR),Number of ads in Library
108077198039484,MNT.CO,Teoh Zhong Herng,≤100,1
1200179746781470,和丽轩宴会厅酒楼 Helixuan Restaurant & Banquet,These ads ran without a disclaimer,≤100,1
101992664744281,Chloe極致美,These ads ran without a disclaimer,≤100,1
2212692808965426,蓝天 Lan Tian,These ads ran without a disclaimer,≤100,1
632561713457871,Satria Zhang,These ads ran without a disclaimer,≤100,38
2052908571687034,Bootcamp Revolusi Online,These ads ran without a disclaimer,≤100,26
112282025478099,WAPtv. Malaysia,WAPtv. Malaysia,≤100,5
100844041862257,Suhaimi Haji Nasir - Page,These ads ran without a disclaimer,≤100,4
519073658160117,Tsingtao,These ads ran without a disclaimer,≤100,1
108810260956223,Justin Wong 黄勇斌,These ads ran without a disclaimer,≤100,2
110124117559923,Urban stay In Cheras,Kiew Wai Rou,≤100,1
116415593487351,Craftegy,These ads ran without a disclaimer,≤100,8
1761087754128826,"Idrissi International School, Educity Iskandar Puteri Johor",These ads ran without a disclaimer,≤100,1
107634664895304,The Beauty Carton,These ads ran without a disclaimer,≤100,1
353185345195139,Hoxton Capital Management,These ads ran without a disclaimer,≤100,2
134278719946186,Bayer,These ads ran without a disclaimer,≤100,8
410790089428770,Ayam 7 Goreng,These ads ran without a disclaimer,≤100,1
105057232411843,Dr. Zaliha Mustafa,These ads ran without a disclaimer,≤100,2
129011692114,The Straits Times,These ads ran without a disclaimer,≤100,4
108825134281379,ALIGN Fitness,These ads ran without a disclaimer,≤100,1
223180581163143,Jagdeep Singh Deo 'Serving the People',These ads ran without a disclaimer,≤100,11
477162855734353,GEDUNG CHE WA,These ads ran without a disclaimer,≤100,1
100183259598512,99 SPEED,These ads ran without a disclaimer,≤100,1
100286686218685,Dato' Syed 4 Bukit Gantang,These ads ran without a disclaimer,≤100,6
674108052781088,圣约翰科技大学马来西亚校友会,These ads ran without a disclaimer,≤100,1
102587208889982,Kredit Komuniti,These ads ran without a disclaimer,≤100,1
100883838519088,IFruits Market,These ads ran without a disclaimer,≤100,2
112502181794848,Fazli Salleh,These ads ran without a disclaimer,≤100,2
101325755096143,Kapitan Tan Kun Gee,These ads ran without a disclaimer,≤100,5
108059018237495,ayeeshasajeeda,These ads ran without a disclaimer,≤100,6
102700144777742,Vc_Property,These ads ran without a disclaimer,≤100,2
184434428768,Lee Boon Chye 李文材医生,Parti Keadilan Rakyat Cabang Gopeng,≤100,1
109388511466940,"Al Kauthar Eduqids Dataran Glomac, Kelana Jaya Branch",These ads ran without a disclaimer,≤100,1
1229280867101005,Party Wonderland,These ads ran without a disclaimer,≤100,1
108540091902519,Kasugai - Japan,These ads ran without a disclaimer,≤100,1
110753157075409,Artsnie CC,These ads ran without a disclaimer,≤100,1
108835235267698,Bathroom Renovation,These ads ran without a disclaimer,≤100,1
402544140480501,魏國雄,These ads ran without a disclaimer,≤100,1
225180164621461,Papasan Canteen,These ads ran without a disclaimer,≤100,2
1931810300451388,Suara Anak Sabah,These ads ran without a disclaimer,≤100,2
104357555508705,BN COMMS Pontian,These ads ran without a disclaimer,≤100,2
105597218883232,Tablet Vitamin C Dr Fadzilah Kamsah,Nurul Jannah Binti Saharuddin,≤100,1
2004405989606220,Ti Lian Ker,These ads ran without a disclaimer,≤100,1
105646657825997,สะใภ้กัวลาลัมเปอร์,These ads ran without a disclaimer,≤100,1
104149528395081,Bersatu Seksyen 24,These ads ran without a disclaimer,≤100,3
231300803661301,Tan Kar Hing,Tan Kar Hing,≤100,7
100492715025086,泰飞凡泰国佛教文物,These ads ran without a disclaimer,≤100,3
106759061982646,Gillian Quek - Property Market Advisor,These ads ran without a disclaimer,≤100,1
104912604529845,Mixedfeelings_mfs_official,These ads ran without a disclaimer,≤100,2
106705804357319,Bluetti Global,These ads ran without a disclaimer,≤100,1
154880174575992,Australian and New Zealand Institute of Insurance and Finance (ANZIIF),These ads ran without a disclaimer,≤100,1
771368779728902,DR KARIM Bin Deraman,Md Razif Supar,≤100,1
37165210666,ManageEngine,These ads ran without a disclaimer,≤100,4
944827988923184,PASTI Sri Gading,PASTI Sri Gading,≤100,1
225685927482720,Pemuda PAS Selangor,Ahmad Ansarullah Bin Zulkifli,≤100,2
101674749151340,动物朋友-王国,These ads ran without a disclaimer,≤100,2
126052760507,Mama Cash,These ads ran without a disclaimer,≤100,59
100720791799507,Ghế massage kingkeshi - Địa chỉ tin cậy,These ads ran without a disclaimer,≤100,11
100912048042523,ACTnow Trooper,These ads ran without a disclaimer,≤100,5
109662700883142,东哥的点点滴滴 Journey of Hua Tong,Sih Hui Woon,≤100,1
349920542118450,Redfish,These ads ran without a disclaimer,≤100,1
106682567884319,Siti Mahani,These ads ran without a disclaimer,≤100,1
406087506080784,AmLife International,These ads ran without a disclaimer,≤100,6
312684876134124,缘邮币 stacy stamp,These ads ran without a disclaimer,≤100,2
103897148084793,Noor Zaimah MK,These ads ran without a disclaimer,≤100,2
310799822964018,Lim Hui Ying 林慧英,Lim Hui Ying 林慧英,≤100,2
634462243239093,PENTARAMA Putrajaya,Mohd Hafiz Bin Shahaini,≤100,1
1763305980585164,AF Bakery,These ads ran without a disclaimer,≤100,2
1849257778731425,Clare Taunek Simbat,These ads ran without a disclaimer,≤100,1
227860567260038,Markiman Kobiran,These ads ran without a disclaimer,≤100,2
112480857752081,艾银人参保健贴 ionicplus patch,These ads ran without a disclaimer,≤100,6
730238507162118,Cryptonary,These ads ran without a disclaimer,≤100,3
330750857632133,Che'GuBard Original,These ads ran without a disclaimer,≤100,3
142523182588387,Dato' Hj Abdul Halim Hussain,These ads ran without a disclaimer,≤100,6
101608782351947,Nusrah Prihatin,These ads ran without a disclaimer,≤100,2
108752471400410,Vcorp Capital,These ads ran without a disclaimer,≤100,2
125615105951153,Coway by Keri's,These ads ran without a disclaimer,≤100,1
111003693990419,Tabung Kesejahteraan OKB,These ads ran without a disclaimer,≤100,2
100729228617071,Liveon. Kasih Penuaan 1.0,These ads ran without a disclaimer,≤100,1
106576021763777,Wakaf Pahala,These ads ran without a disclaimer,≤100,3
282206442550479,Puteri Hang Tuah Jaya,These ads ran without a disclaimer,≤100,3
613745262455643,Lubok Khepok HQ - Johor Bahru,These ads ran without a disclaimer,≤100,1
110460401299239,Taman Kebahagian Rumah Tangga,Muhammad Nasrullah Bin Ramli,≤100,2
984812274996919,Myra,These ads ran without a disclaimer,≤100,1
251585348580537,Nuhairi Rahmat,These ads ran without a disclaimer,≤100,1
867875183392145,"The Mall, Mid Valley Southkey",These ads ran without a disclaimer,≤100,2
110227803840398,OUM Simpang Renggam,Nur Sabrina Binti Norizal,≤100,1
110517717035583,Suara Merdeka,Lokman Hakiem Bin Abd Samad,≤100,1
101806948885096,Superdaddy Bazaar,These ads ran without a disclaimer,≤100,5
121439428047277,Penerangan PKR Cabang Kapar,These ads ran without a disclaimer,≤100,6
102356878027712,Kredit Komuniti Az Zalea,These ads ran without a disclaimer,≤100,1
106694697911578,Tentu Asli,Ahmad Shafiq Bin Ahmad Sallehuddin,≤100,4
893735890783495,MoboReader - Ebooks App,These ads ran without a disclaimer,≤100,1
115058484844377,Seasonal goods,These ads ran without a disclaimer,≤100,1
101129355720432,Mohd Ashraf Mustaqim,These ads ran without a disclaimer,≤100,5
108804624852006,Body Effect Pro,These ads ran without a disclaimer,≤100,1
105357582347726,葡萄小說,These ads ran without a disclaimer,≤100,1
107047371916559,Perikatan Nasional P146 Muar,Ahmad Anwar Asyraf Bin Ismail,≤100,1
103290892138633,ကိုချမ်းမြေ့မောင်,These ads ran without a disclaimer,≤100,1
102028794622848,Loan Mart,These ads ran without a disclaimer,≤100,1
563625950455107,HIJABISTAHUB,These ads ran without a disclaimer,≤100,2
108695888021477,Vii Nutrition Independent Distributer - TRIUM,Wong Wai Hong,≤100,1
1866881650069313,Minyak Masak Kijang Gold,These ads ran without a disclaimer,≤100,1
106011132335743,Parlimen P167 Kudat,Portal Mudah,≤100,1
246531992036010,Axi,These ads ran without a disclaimer,≤100,3
112164273810271,Salman Saleh,Amanah,≤100,3
113325113792750,Mastermindengineering,These ads ran without a disclaimer,≤100,1
100137902346346,虎乳芝 · 挺你的肺,These ads ran without a disclaimer,≤100,1
315790845656979,Edu Siswa Resources - Peluang kerjaya badan beruniform lepasan spm,These ads ran without a disclaimer,≤100,1
1426982800925702,Malaysian Palm Oil Council,These ads ran without a disclaimer,≤100,1
1388548264745259,LinkedIn Talent Solutions,These ads ran without a disclaimer,≤100,3
105575535145422,点味小厨,These ads ran without a disclaimer,≤100,1
108211604428851,Naimah - Lagenda Property,Naimah Binti Mohammad Weddan,≤100,3
110918978062073,Leong Hui Ying（咔咔）,These ads ran without a disclaimer,≤100,2
276499035785492,MyCreative Ventures,These ads ran without a disclaimer,≤100,3
215959402656183,Shaklee Distributor ID 1244471,These ads ran without a disclaimer,≤100,1
154559508032335,Dewan Pemuda PAS Kawasan Merbok - DPPKM,These ads ran without a disclaimer,≤100,2
100572315042634,Luar Bandar Sabah Sejahtera,These ads ran without a disclaimer,≤100,5
993629990780024,TWIN BEE Creative Studio,Loong Siew Koon,≤100,3
276268649508098,吉胆岛五条港幸福小屋 MyHome,These ads ran without a disclaimer,≤100,2
235123059866368,"Hitachi, Ltd. -Global",These ads ran without a disclaimer,≤100,11
108354147624545,natfarouz,These ads ran without a disclaimer,≤100,1
103888235044624,jesseyofficial,These ads ran without a disclaimer,≤100,1
112241390686925,Financing Plus,These ads ran without a disclaimer,≤100,2
109444900621324,ERA Explorer Focus Group,These ads ran without a disclaimer,≤100,1
103074524742099,jy.is.me,These ads ran without a disclaimer,≤100,4
112512225006407,PAGOH NO1,These ads ran without a disclaimer,≤100,2
228166420966448,Dr. Ahmad Fakhruddin Sheikh Fakhrurazi,Dr. Ahmad Fakhruddin Sheikh Fakhrurazi,≤100,2
1552968798293147,Suara.TV,These ads ran without a disclaimer,≤100,2
109421718249472,小恢-好康分享1.0,These ads ran without a disclaimer,≤100,1
117496908318857,National Science Challenge Malaysia,These ads ran without a disclaimer,≤100,1
101617211699732,Mitchell Chong,Tze Kiun Chong,≤100,1
108380465291758,Yong Teck Lee Official,Yong Teck Lee Official,≤100,4
105236510922033,Myl Aesthetic,These ads ran without a disclaimer,≤100,2
106565377923911,YUSENVIRO SDN BHD,These ads ran without a disclaimer,≤100,2
101481162054634,Penggerak Belia Selangor DUN Kinrara,Edwin Tang Wei Yong,≤100,2
101295915634589,OXweb,Loo Wey Neng,≤100,1
111175413621829,LittleBelle.Co_,These ads ran without a disclaimer,≤100,1
114212913315121,Parti Sarawak Bersatu PSB P206 Tanjong Manis,These ads ran without a disclaimer,≤100,3
2244946675766644,PL Car World SDN BHD,These ads ran without a disclaimer,≤100,1
115757273559544,Airdence,Alan Ting Kok Yuan,≤100,1
103705673013349,Pertubuhan IKRAM Malaysia,These ads ran without a disclaimer,≤100,4
102043122512649,东森马来西亚龙族创亿团队,These ads ran without a disclaimer,≤100,1
107310857864942,Fun Media,These ads ran without a disclaimer,≤100,2
1425410451059828,韩国id整形医院,These ads ran without a disclaimer,≤100,2
157338107651060,WCWL Communications Sdn Bhd,These ads ran without a disclaimer,≤100,5
106983557308275,AJE SYOHH,AJE SYOHH,≤100,3
108833289458149,Datuk Arthur Joseph Kurup,These ads ran without a disclaimer,≤100,1
102840868521546,2021 Msia Bantuan Bisnes,These ads ran without a disclaimer,≤100,1
105466318156738,fiqrykhan,These ads ran without a disclaimer,≤100,1
110894930774851,Home Delight Property,Kian Meng Ong,≤100,1
101052435117890,CindKen Real Estate Broker 幸肯房地产经纪人,These ads ran without a disclaimer,≤100,2
101766712542785,New Way,These ads ran without a disclaimer,≤100,1
267117003389284,Raz De,These ads ran without a disclaimer,≤100,3
172269919517500,Universiti Malaysia Sabah,These ads ran without a disclaimer,≤100,1
103795424492616,FlyRead- English,These ads ran without a disclaimer,≤100,6
198759747402031,Days of Empire,These ads ran without a disclaimer,≤100,5
344063115645237,Independent Nigeria,These ads ran without a disclaimer,≤100,1
101425248639721,Hajiji Haji Noor,These ads ran without a disclaimer,≤100,2
112032407325195,Ustazah Aisyah Baa'in,These ads ran without a disclaimer,≤100,1
597425313724844,Encora Jobs,These ads ran without a disclaimer,≤100,8
154446448068883,Akmal Haji Kamarudin,These ads ran without a disclaimer,≤100,2
115992980312075,Fibre expert service,These ads ran without a disclaimer,≤100,3
106497271280776,Penggerak Komuniti Tempatan Parlimen Shah Alam,These ads ran without a disclaimer,≤100,6
2088595228130092,Al Azhar Care,These ads ran without a disclaimer,≤100,1
195890640463420,台灣永續能源研究基金會 Taiwan Institute for Sustainable Energy (TAISE),These ads ran without a disclaimer,≤100,4
299784257327675,李宏红,These ads ran without a disclaimer,≤100,5
114675898277218,Roketto 1h - No.1 in Japan,These ads ran without a disclaimer,≤100,1
104182436966456,Kuching pinjaman,These ads ran without a disclaimer,≤100,1
322289025221387,ファングラーゲームズ,These ads ran without a disclaimer,≤100,2
1626344287595194,Bawal Fareha by Ayani,Norhayani Binti Muhamad Diah,≤100,6
104329875191819,Paw’s Party,These ads ran without a disclaimer,≤100,1
124004207674102,Valencia Home Furniture,These ads ran without a disclaimer,≤100,1
178572598837657,Sime Darby Property,These ads ran without a disclaimer,≤100,1
103583685476228,Wakaf Nusrah Prihatin,These ads ran without a disclaimer,≤100,2
1489550617931496,frank green,These ads ran without a disclaimer,≤100,10
103606684729918,Buletin Dun Tanjung Aru,These ads ran without a disclaimer,≤100,3
102078595655038,Sarawak First,Abdul Muhaimin Anuar,≤100,3
106552625049806,PikPak,These ads ran without a disclaimer,≤100,1
105524931973268,ကိုအောင်မြင့်မြတ် မလေးရှား\မြန်မာအကျိုးဆောင်,These ads ran without a disclaimer,≤100,2
109236718521760,LaksamanaJebat,Rahmat Bin Hasim,≤100,2
334087020096114,Thenusantaradaily,Norazam Bin Mohammad Nordin,≤100,3
103024834682583,Michael Kong Feng Nian 江峰年,These ads ran without a disclaimer,≤100,10
1162442870541254,Balanissan SBalamurugan,Balamurugan A/L Sinnathamby,≤100,3
416631668395194,Che Abdullah Mat Nawi - DCL,These ads ran without a disclaimer,≤100,1
127936895784816,Agensi Pekerjaan PMA Sdn Bhd,These ads ran without a disclaimer,≤100,1
111539441765422,Calon Parlimen P094 Hulu Selangor,Raja Muhammad Fikri Mamat,≤100,4
102454687807723,Sofanovel,These ads ran without a disclaimer,≤100,2
242351902481164,The Radical Tea Towel Company,These ads ran without a disclaimer,≤100,7
105030268864653,Msia Landed Specialist 无冕之王,These ads ran without a disclaimer,≤100,1
1049750151819972,JACKETkkm1,These ads ran without a disclaimer,≤100,1
100463755786187,朱修健财商思维导师,Choong Choi Yan,≤100,3
270329353796480,Halimey Abu Bakar - Ahli Dewan Undangan Negeri ADUN Seri Setia,These ads ran without a disclaimer,≤100,3
100160505954606,ကိုအောင်အောင် မလေးရှားခရီးသည်ပို့ဆောင်ရေး,These ads ran without a disclaimer,≤100,1
104644704631239,Caris Ong,These ads ran without a disclaimer,≤100,1
1655743404736104,Helping Hands Penan,These ads ran without a disclaimer,≤100,3
458817690979235,SG FinTech Festival,These ads ran without a disclaimer,≤100,1
103828374733681,SabahBaharu 2.0,These ads ran without a disclaimer,≤100,5
103800875188282,Nomore HANG 醉轻松贸易,These ads ran without a disclaimer,≤100,1
100313612606940,Aznan Hj. Tamin - Adun Tanjung Surat,These ads ran without a disclaimer,≤100,4
102476041285961,FIONatsuki,These ads ran without a disclaimer,≤100,2
100160521851601,Isu politik terkini,These ads ran without a disclaimer,≤100,4
108161008386859,你是我大爷,These ads ran without a disclaimer,≤100,1
233951524226280,Adam Loh,Loh Wei Chai,≤100,2
195895497280372,MRANTI,These ads ran without a disclaimer,≤100,1
110817467854028,Sasdr.shop,These ads ran without a disclaimer,≤100,5
492869111250145,UPKO Sepanggar,UPKO Malaysia,≤100,1
104836924402646,Ustaz Muhammad Husain - UMH,These ads ran without a disclaimer,≤100,3
1584623484985028,Deepagi,These ads ran without a disclaimer,≤100,1
1037645766300253,Malaysia World News,Media Path Enterprise ( Malaysia World News),≤100,4
101238872604140,MEDIA DIGITAL JOHOR,These ads ran without a disclaimer,≤100,2
116025800204728,Gabungan Parti Sarawak - N01 Opar,These ads ran without a disclaimer,≤100,13
100963385304168,Clarity,These ads ran without a disclaimer,≤100,1
109424960846143,RAT Studio,These ads ran without a disclaimer,≤100,1
340011824765,Rodziah Ismail,These ads ran without a disclaimer,≤100,5
107771944703671,Fun Pinjaman,Michael Shee Ming Chong,≤100,2
102165084651123,税务教主 Tax Guru Zen Chow,These ads ran without a disclaimer,≤100,3
102973565127513,Istiqomah Ummah by NP,These ads ran without a disclaimer,≤100,3
103446592361201,johnnyoppermann,These ads ran without a disclaimer,≤100,2
102972711619155,nuggetmcnaught,These ads ran without a disclaimer,≤100,1
845030752174530,Ameerah Melaka,These ads ran without a disclaimer,≤100,6
113093237704537,鱼大夫 014-200 5623,These ads ran without a disclaimer,≤100,3
7975984239,Desiring God,These ads ran without a disclaimer,≤100,7
113231004185331,Wakaf Perigi Muszleem Malaysia-Bella,These ads ran without a disclaimer,≤100,1
100886268266395,SimulaM,These ads ran without a disclaimer,≤100,1
287886244963328,Rakuten Group,These ads ran without a disclaimer,≤100,6
2020372738272713,IPRO Ampang KL - Mobile Repair Specialist,These ads ran without a disclaimer,≤100,1
107500398041787,Y Ventures Lab,These ads ran without a disclaimer,≤100,2
103077991633119,Low Kwee Sia 刘贵城,These ads ran without a disclaimer,≤100,11
103279268196483,PARTI  Keadilan  Stampin,These ads ran without a disclaimer,≤100,2
103239575670936,JC DreamHouse,These ads ran without a disclaimer,≤100,1
102274961678651,Saddam Hossain,These ads ran without a disclaimer,≤100,4
363040637741744,Wan Ahmad Fayhsal,These ads ran without a disclaimer,≤100,1
371396839635758,トレジャーデータ,These ads ran without a disclaimer,≤100,6
1329741273707017,Creative Fabrica,These ads ran without a disclaimer,≤100,1
325812057522646,Microsolar System Water Heater,These ads ran without a disclaimer,≤100,6
1744911689126391,12up,These ads ran without a disclaimer,≤100,23
105962550739754,Kamis Burhan,These ads ran without a disclaimer,≤100,1
240554182793875,Terrence A Siambun,These ads ran without a disclaimer,≤100,2
100775208415213,Laman Rasmi Biro Multimedia N.47 Telupid Parti Warisan Sabah,These ads ran without a disclaimer,≤100,3
915454735170764,Tani Comfort,These ads ran without a disclaimer,≤100,3
101971347894515,Trend Guru,These ads ran without a disclaimer,≤100,1
100854395131533,Pertubuhan Raudhah Rizq,These ads ran without a disclaimer,≤100,4
106274478319525,Moma Mall,These ads ran without a disclaimer,≤100,5
312683175769867,Free VPN - Unseen Online,These ads ran without a disclaimer,≤100,1
101119298699983,Siakap Jerung,These ads ran without a disclaimer,≤100,1
970282392983160,Ashley Furniture HomeStore Malaysia,These ads ran without a disclaimer,≤100,1
511786208971954,Xiaome Kluang Technology,These ads ran without a disclaimer,≤100,1
107411284057958,Rest khalid walid,These ads ran without a disclaimer,≤100,2
422875557812024,Ganabatirau Veraman,These ads ran without a disclaimer,≤100,1
1229427187182376,Angel Victoria's Choie,These ads ran without a disclaimer,≤100,4
653501354997554,Honda Kota Tinggi - Zaidi Seri HONDA,These ads ran without a disclaimer,≤100,1
100873322770491,Baiduri Sejati,Hanisah Binti Deraman,≤100,1
108437307623569,Negaraku Malaysia,These ads ran without a disclaimer,≤100,1
106581628252306,沙田竜書屋,These ads ran without a disclaimer,≤100,4
246200708790659,Aqela Exclusive,Fairuz Edzuan Bin Jamaludin,≤100,1
108991914589949,SocialOptions,These ads ran without a disclaimer,≤100,1
100913508254115,ACG愛玩咖,These ads ran without a disclaimer,≤100,1
2026346897669442,Stephanie - Property Sales Team Leader,These ads ran without a disclaimer,≤100,1
541459579537440,Hizero Malaysia,These ads ran without a disclaimer,≤100,1
335430666576820,大師研習班,These ads ran without a disclaimer,≤100,1
103886384489144,Sarawak Coconut Seedlings Supplier- Certified by DOA,These ads ran without a disclaimer,≤100,2
155117081279299,IQI Global,These ads ran without a disclaimer,≤100,6
259455509260877,Aung Min Tun,These ads ran without a disclaimer,≤100,2
102855115259674,Hanif sarkar,These ads ran without a disclaimer,≤100,1
115698430267778,Marlen Howell,These ads ran without a disclaimer,≤100,1
107884755423174,Chippers Biz Techies Update,These ads ran without a disclaimer,≤100,2
100717475637852,Aracter,These ads ran without a disclaimer,≤100,1
100678288580232,Halim Bachik,Sazali Bin Mohamad,≤100,2
101860869167089,M Security & Home Solutions,These ads ran without a disclaimer,≤100,2
420724415439206,MyAman,These ads ran without a disclaimer,≤100,2
119497395399423,Kết Quả Xổ Số Miền Bắc,These ads ran without a disclaimer,≤100,1
100860756137661,Octavia Galaxy Media,These ads ran without a disclaimer,≤100,2
722733778124972,MGI Wellness,These ads ran without a disclaimer,≤100,3
718352778222402,KEADILAN Pulau Pinang,Abdul Rahim Bin Abdul Rani,≤100,4
110015690827769,Mandat Sabah,Mundzir Bin Zahir,≤100,4
103330614770934,Ocean Project,These ads ran without a disclaimer,≤100,46
212293679631357,Teloi Junction Enterprise - Renew Roadtax & Puspakom,These ads ran without a disclaimer,≤100,4
100114622451247,Penawar Raudhah Syifa,These ads ran without a disclaimer,≤100,1
110143277436088,Trend Bisnis Property Masa Kini,These ads ran without a disclaimer,≤100,1
111443160771462,Komik Sejarah Malaysia,These ads ran without a disclaimer,≤100,2
114908333581416,Belly & the Chef,Yap Jee Fui,≤100,2
164536297440547,mgtc.my,These ads ran without a disclaimer,≤100,1
101017731957703,Kongres Nasional 2021,These ads ran without a disclaimer,≤100,1
105741532048451,Fluffy Worldwide,These ads ran without a disclaimer,≤100,47
107380008518674,66 Study,These ads ran without a disclaimer,≤100,19
202831040401404,Kementerian Pembangunan Usahawan dan Koperasi,These ads ran without a disclaimer,≤100,2
377612782381275,人民網・日本,These ads ran without a disclaimer,≤100,21
260070837661043,Marchant,These ads ran without a disclaimer,≤100,2
231757584825218,Haji Mohd Daud Tampokong,These ads ran without a disclaimer,≤100,3
232122397524049,Baling Dihatiku,These ads ran without a disclaimer,≤100,2
102718118613275,Alliance Review,These ads ran without a disclaimer,≤100,1
110421707272985,朱佩莉Dato Chee,These ads ran without a disclaimer,≤100,2
119141886627233,yp_greencleaning,These ads ran without a disclaimer,≤100,5
111618748111576,Arthur Chiong 张善深 ஆர்தர் சீயோங்,Mundzir Bin Zahir,≤100,2
110591963997200,品味小锅 Tasty Hot Pot Delivery,Kok Jken Yung,≤100,2
110773811051478,EB Smarthome,Bin Shen Yap,≤100,2
108109481540133,SatuBerita,These ads ran without a disclaimer,≤100,5
113458700454735,Urutan Alternatif Meor Hassan Kinrara,These ads ran without a disclaimer,≤100,1
119007799506709,Low Keng Wah,These ads ran without a disclaimer,≤100,4
101798301804570,Rock Star-1,These ads ran without a disclaimer,≤100,5
108957201294428,Melakagegaulagi,These ads ran without a disclaimer,≤100,5
176636246451366,CHEW CHONG SIN 周忠信,These ads ran without a disclaimer,≤100,2
1156732154353482,Dea April HQ,These ads ran without a disclaimer,≤100,1
218988758113244,Akademi Sains Malaysia,These ads ran without a disclaimer,≤100,1
101648653214231,ForgeRock,These ads ran without a disclaimer,≤100,8
104637804225920,NTS Printing,These ads ran without a disclaimer,≤100,1
100979964936931,Above Ace Accounting 会计培训课程,These ads ran without a disclaimer,≤100,2
1247434085425966,Outlier.org,These ads ran without a disclaimer,≤100,5
1130669147012110,Syed Saddiq Syed Abdul Rahman,These ads ran without a disclaimer,≤100,1
111302864466459,Tais,These ads ran without a disclaimer,≤100,1
198317336853861,Qatar Airways,These ads ran without a disclaimer,≤100,7
48602188035,AllRightsReserved,These ads ran without a disclaimer,≤100,1
348866759526475,Gemini Gadgets,These ads ran without a disclaimer,≤100,1
1623967267835052,VIRAL PERAK,These ads ran without a disclaimer,≤100,1
140716706608231,Left To Survive,These ads ran without a disclaimer,≤100,4
109509501203243,Hidayah Makmur Gold,These ads ran without a disclaimer,≤100,2
210212482508598,Dewan Pemuda PAS Negeri Pahang DPPNP,These ads ran without a disclaimer,≤100,1
102871278806752,Kabinet Dapur Murah Melaka,AHS MARKETING,≤100,1
109125227142754,Afiq sales advisor proton,These ads ran without a disclaimer,≤100,5
100448718107165,JohorProperty-Thomas Lim,Wai Lun Lim,≤100,1
144299892553,Matthew Good,These ads ran without a disclaimer,≤100,9
412586829166994,Kita Malaysia La Ni,These ads ran without a disclaimer,≤100,4
416658802227303,UPKO Beaufort,UPKO Malaysia,≤100,1
100894351832016,Unifi Internet Wifi,Liew Voon Ping,≤100,1
1964569593861893,Azdan Quranic Center,These ads ran without a disclaimer,≤100,2
77403447721,rcrwireless,These ads ran without a disclaimer,≤100,4
106672584310578,Zawawi Mughni,These ads ran without a disclaimer,≤100,2
490728928001480,ORANGKATA,These ads ran without a disclaimer,≤100,5
415156035216227,Wilfred Yap Yau Sin,These ads ran without a disclaimer,≤100,8
1286729864741612,Equiti AR,These ads ran without a disclaimer,≤100,4
466505160192708,Initium Media 端傳媒,These ads ran without a disclaimer,≤100,3
453961014813944,UOB,These ads ran without a disclaimer,≤100,7
648611751925243,Myfreedom4u Corporation,Jason Jasni Sumion,≤100,2
102165515200235,Kedai Cetak Baju,Kamarulkhir Bin Yazid,≤100,2
387137650042,EMR 国际nlp培训学院,These ads ran without a disclaimer,≤100,1
107581364513800,Xplode LIAO,These ads ran without a disclaimer,≤100,9
214922876568523,Glowing Beauty,These ads ran without a disclaimer,≤100,1
105534622957678,PAS Kawasan Tampin,PAS Kawasan Tampin,≤100,1
889087384494192,Galeri Gangsta Watakala,These ads ran without a disclaimer,≤100,1
105960112238397,Sunshower Educare,These ads ran without a disclaimer,≤100,1
114042673777251,girls4girlsmalaysia,Project Girls For Girls Malaysia,≤100,2
425695967637606,Sany Hamzan,Amanah Hulu Langat,≤100,1
114953893390011,OneXox Connection,These ads ran without a disclaimer,≤100,1
112136681386634,Koomi Bandar Puteri Puchong,These ads ran without a disclaimer,≤100,2
749366838542381,Skuad Prihatin Dewan Muslimat PAS Malaysia,Norina Binti Abdul Gafor,≤100,2
230053144200744,National Car By A&F,These ads ran without a disclaimer,≤100,1
104133662957561,988,These ads ran without a disclaimer,≤100,1
743629779017477,TEE Letrik SDN BHD,Tee Qi Ren,≤100,1
332747486848807,Sim Chon Siang 沈春祥,Kerk Chun Beng,≤100,1
462143657640175,EtniKraf,These ads ran without a disclaimer,≤100,1
411095499727428,Centre MY,The Centre,≤100,1
2178844785702734,Siti Advertising,These ads ran without a disclaimer,≤100,1
359671424220767,Fairy Park 仙境,These ads ran without a disclaimer,≤100,1
340515303213716,Restoran ali maju/metro prima kepong,These ads ran without a disclaimer,≤100,1
110074720839318,Chaya Sulaiman,These ads ran without a disclaimer,≤100,1
112498918946884,Haniza Talha,These ads ran without a disclaimer,≤100,1
103512747863735,AIA Public Takaful by Nurharyani Oon,These ads ran without a disclaimer,≤100,1
792281554197517,Datuk Rosni Sohar,Datuk Rosni Sohar,≤100,1
107029227436167,Dr Kamarul Ariffin Nor Sadan,Mohd Huzaifah Bin Muntalip,≤100,1
106948215287125,Anak Hulu Selangor,Anak Hulu Selangor,≤100,1
100688832431955,Soscili.my,Cilisos Media,≤100,1
48750023172,DATUK SERI HJ. MOHAMED KHALED NORDIN,These ads ran without a disclaimer,≤100,1
111254657154542,RMCB Circle,These ads ran without a disclaimer,≤100,1
111715953978288,I Love Laundry,These ads ran without a disclaimer,≤100,1
107758355045299,Puteri Bay Hotel Melaka,Puteri Bay Hotel Melaka,≤100,1
110699617016750,Pemuda PAS DUN Kemasik,These ads ran without a disclaimer,≤100,1
112560847271372,Farhan Suhaimi Properties,These ads ran without a disclaimer,≤100,1
738522682968810,Azhar bin Dato' Zainal Abidin,These ads ran without a disclaimer,≤100,1
