Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
389223741094370,Karin Wanngård,Socialdemokraterna i Stockholm,228843,152
105861269448403,Öppna Moderater,Öppna Moderater,227933,87
614939535271869,Tobias Baudin,Kommunal,225615,225
152085291138,Aktuellt i Politiken,Aktuellt i Politiken,224574,267
245214805905370,Konkret,Opulens Förlag AB,224045,1078
113884160154171,Too Good To Go,These ads ran without a disclaimer,223379,19
264426550246963,Kalmar fortsatt framåt - Socialdemokraterna i Kalmar,Kalmar Fortsatt Framåt - Socialdemokraterna i Kalmar,222240,180
496067290759872,LRF Jag bryr mig,LRF Jag bryr mig,221883,55
135535579842556,Läkarförbundet,Läkarförbundet,220573,96
699391876922779,Veronica Magnusson,Vision,220295,43
829011830554926,Premium Lifestyle Club,Jonas Eriksson,219185,131
201702346508598,Liberalerna Skåne,Liberalerna Skåne,219122,301
207890945895422,Jordens Vänner / Friends of the Earth Sweden,Jordens Vänner,218961,107
312208996175,Adlibris,These ads ran without a disclaimer,218714,7
313671265509,Tankesmedjan Tiden,Tankesmedjan Tiden,217857,269
28312410177,World Food Programme,These ads ran without a disclaimer,217572,319
767749640051136,Heléne Fritzon,Socialdemokraterna,215976,114
103908921878339,Kvinnofridsupproret,Tankesmedjan Tiden,213440,67
2093351790978732,Imprint: Learn Visually,These ads ran without a disclaimer,212336,4
537053146327418,Readly,These ads ran without a disclaimer,209950,24
131103013625213,Statens institutionsstyrelse,Statens institutionsstyrelse - SiS,208935,22
259503044175168,Barnvagnsmarschen,RFSU,208719,479
138739162831736,ABB,ABB,208645,300
361313524734299,Alivia,Alivia,206496,226
103915918247717,Bulletin,Bulletin,205112,372
129853960408496,Socialdemokraterna Östergötland,Socialdemokraterna Östergötland,205093,43
91682958453,Coop,These ads ran without a disclaimer,204551,2
334318366655425,Meta,Facebook,204352,5
840264879353861,Ellevio,Ellevio,203708,105
329885883718979,Stefan Löfven,Socialdemokraterna,202349,7
189699774387238,"Andreas Sturesson, kommunalråd",Kristdemokraterna Jönköpings Kommun,202284,238
532465623480216,Skanska Bostad,Hem från Skanska,201891,15
472912072766907,Liberalerna Örebro kommun,Liberalerna Örebro kommun,200781,217
100629722280214,Hjälpen som aldrig lämnar,Röda korset,199921,124
164115036983551,Berättarministeriet,Berättarministeriet,199146,52
195594843916366,Moderaterna i Norrbotten,Moderaterna Norrbotten,198701,137
109098320518639,Dogoodel.,DoGood EL,197433,88
91217182731,Nordiska museet,Nordiska museet,196959,195
212049035488183,The Hunger Project Sverige,Hungerprojektet,196199,53
155999571265763,Centerpartiet i Solna,Centerpartiet i Solna,195970,224
186513678039755,Fortum,These ads ran without a disclaimer,195707,32
255497147555,Outnorth,Outnorth,195453,11
222878274426091,Sverigedemokraterna Skåne,Sverigedemokraterna Skåne,194751,59
1042091032500520,Kvartal,Kvartal,194331,133
104890391847863,Rätten att vara barn,SOS Barnbyar,193556,198
272041890388,Socialdemokraterna i Eskilstuna,Socialdemokraterna i Eskilstuna,193419,199
302201957541,Medelhavsmuseet,Världskulturmuseerna,192934,20
769689373178831,Sjukvårdspartiet Västernorrland,Sjukvårdspartiet Västernorrland,192238,387
1909176449301715,Svenskt Näringsliv Stockholms och Gotlands län,Svenskt Näringsliv,191035,177
390479295816,Socialdemokraterna i Jönköpings län,Socialdemokraterna i Jönköpings län,190751,212
365318283559965,Spotify,Spotify,190069,8
475427706138827,Vänsterpartiet Östergötland,Broberg Emil Atle,189042,183
286987014656068,Socialdemokraterna Solna,Socialdemokraterna Solna,188633,178
129841741852473,Folkhälsodalen,Folkhälsodalen,187786,335
191293334563233,Clio,Clio,186621,151
152343168813435,Informationscentrum för hållbart byggande,Informationscentrum för hållbart byggande,186316,281
232873963389824,Göteborg Energi,These ads ran without a disclaimer,186030,42
273053169937029,ClimateHero,ClimateHero AB,185874,23
112635368770882,Socialdemokraterna i Kronoberg,Socialdemokraterna i Kronoberg,184526,62
106102553268601,Liberalerna Västsverige,Liberalerna Västsverige,184506,192
62185934430,Olof Palmes Internationella Center,Olof Palme International Center,184159,439
312318652204361,Socialdemokraterna i Uppsala län,Socialdemokraterna i Uppsala län,183935,95
116898726366043,Skatteverket - Företag,Skatteverket - Företag,183678,40
135251863288,Polisförbundet,Polisförbundet,183164,138
110793008936879,Centerpartiets Ungdomsförbund,Centerpartiets Ungdomsförbund,182949,114
139375052786521,Moderata Ungdomsförbundet,Moderata Ungdomsförbundet,182521,151
107104919328517,Miljöpartiet de Gröna i Sundbyberg,Miljöpartiet Sundbyberg,182050,209
148926808494478,Synsam,Synsam Sverige,180197,23
280875784474,Löfbergs,Löfbergs,180197,46
150057951690751,OKQ8,These ads ran without a disclaimer,180017,33
59324455950,UNICEF Sverige,These ads ran without a disclaimer,179724,48
506685746198996,DebattNytt,DebattNytt,177682,67
119647334855044,Telinet Energi Sverige,Telinet,177468,260
235650011981,SPF Seniorerna,SPF Seniorerna,177313,113
182595121869724,Sverigedemokraterna Stockholms stad,Sverigedemokraterna Stockholms stad,176560,279
125113298313,Centerpartiet i Malmö,Centerpartiet i Malmö,176488,214
