Page ID,Page name,Disclaimer,Amount spent (PHP),Number of ads in Library
100305568984268,EdukNaman,Philippine Business for Education,389052,596
101198175807738,Villafuertes of CamSur Supporters,Ericka Jones Magat,388578,22
236246915020382,Kuyang Jojo Melgar 2022,Rechie May Perrera Loyola,387475,231
54034422460,DAKILA,DAKILA,381294,58
104055930975315,DUMPER PTDA Partylist,Supporters of Dumper Partylist,378841,81
21474437688,Deloitte,These ads ran without a disclaimer,377028,11
101819821614109,Sam SV Verzosa,Walter De Vera Stevens,373987,15
247331620535579,Mike Defensor,Orange Strategic Communications,369381,183
103200578422503,Agimat Partylist,Agimat Partylist,369162,89
171854589669739,Globe of Good,These ads ran without a disclaimer,368127,55
110031721576193,Tatak Luigi Villafuerte Fans,Ericka Jones Magat,367711,22
113238417024056,Anna Mae Yu Lamentillo,Nacionalista Party,359543,211
181433252427338,Ramon Mon-Mon Guico III,Julius Gregorio Bustamante,357646,106
133754450029450,Yahoo Philippines,Yahoo Philippines,355318,332
231715557511650,Solo Parents,Polsure,355244,15
100107185753805,Rep. Claudine Bautista,Supporters of Rep. Claudine Bautista from Dumper Partylist,354489,96
357251385085313,Alliance to End Plastic Waste,These ads ran without a disclaimer,346914,85
105473561277228,Bicol Trending News,Alejandro Caneta,340998,23
108174751795082,Leaders for Leaders,"GeiserMaclang Marketing Communications, Inc.",336899,157
113238417024056,Anna Mae Yu Lamentillo,Anna Mae Yu Lamentillo,336815,257
387639861342080,Colgate,These ads ran without a disclaimer,335825,8
2140669799306866,Typewriters,Gino Asos Samuel,334070,113
100667769054642,Buildbetterph Supporters,Clutchmedia PH,333648,14
101182042165811,Abnoyog,Macon Ramos,331598,27
530200757118749,ACT CIS Partylist,Princess Jazzmine Tugadi,330117,7
104734601762633,Camsur Primero Distrito,Tina Romeo,329538,23
134958316556162,Congressman Gus S. Tambunting,Isaac Emmanuel Salvador Tambunting,327840,673
109091688367643,•76 Pamilya Muna Partylist - Volunteers,Dyanne Wang,327485,12
106066225014933,Board Member Dindo V. Dysico,Ferdinand Villaruz Dysico,326292,452
100764985211973,Atty. Imee Cruz,Ang Bumbero ng Pilipinas Incorporated,324793,28
211754492286537,Child Rights Network (CRN) Philippines,Child Rights Network (CRN) Philippines,324684,201
46098486763,BAYAN MUNA Partylist,Bayan Muna Partylist,324361,48
121096004646927,"Pablo John ""PJ"" Garcia",Pablo John Fiel Garcia,319519,149
153170324872580,Jolo Revilla,Pagbabago sa Unang Distrito Movement,318126,50
112952897079549,Energy Development Corporation,Energy Development Corporation,317203,146
101164062382339,Batang Tondo,Isko Supporters,316898,107
621302221542306,Antonio Diestro,Aksyon Diretso Pilipinas,316538,20
122917017782676,Epson,These ads ran without a disclaimer,315295,8
106982168432828,AGRI Party-list,AGRI Party-list,314430,237
793230291052522,Lucena.Online,Staffhaws Lucena,312885,44
101538478280535,Rodante Marcoleta,Danica Patt Pulgo Guevarra,312879,40
121096004646927,"Pablo John ""PJ"" Garcia",Friends of PJ Garcia,312709,387
401812333925645,Malayang Quezon City,R8B EVENTS MANAGEMENT SERVICE,312134,176
157551009622,U.S. Embassy in the Philippines,U.S. Embassy in the Philippines,310815,51
109823334046268,Novels and Fiction Stories - G o o d  Novel,These ads ran without a disclaimer,310717,63
330978226941375,Alliance of Concerned Teachers-Philippines,Angela Un Panganiban,310011,6
147610361974400,Act Teachers Party-List,Angela Un Panganiban,309999,5
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,305731,92
100171652392109,Madel Yorobe Alfelor,si JOK at si MADEL,304335,279
480552092150213,Malayang Quezon City,R8B EVENTS MANAGEMENT SERVICES,304131,142
385327962034675,Ｔａｌｋｓｈｉｔ. 幽霊,WFPH,304075,85
846861095362407,Zambales for the People,Supporters of ZFTP,302307,182
