Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
110409811924321,Urs Christian Eugster FDP,Urs Christian Eugster,1272,4
467929373784855,COA - Coalition animaliste,Coalition animaliste (COA),1266,26
116663695061094,SP Bezirk Meilen,SP Bezirk Meilen,1260,14
1464661227009326,SVP Bezirk Uster,SVP Bezirk Uster,1256,22
102263899278419,Keine Krankenkassenprämien für Kinder,Komitee: Keine Krankenkassen für Kinder,1250,10
105890175750510,Luca Carbone  lucacarbone.ch,Luca Carbone,1230,9
1476717905682561,SP Zürich 6,SP Zürich 6,1222,23
105858378539790,FDP Wädenswil,FDP Wädenswil,1209,2
113772441580575,JA zu Kies aus Birmenstorf,JA zu Kies aus Birmenstorf,1200,13
592045444309191,DIRECT NEWS by Michel Robadin,Michel François Robadin,1192,12
170262515730,FDP.Die Liberalen Arlesheim,FDP.Die Liberalen Arlesheim,1190,13
108351771294208,Hubert Boog,Hubert Walter Boog,1187,5
291504744242501,Lega dei Ticinesi - sezione Chiasso,Stefano Tonini,1170,5
156831187737967,JUSO Kanton Zürich,Jungsozialist*innen Kanton Zürich,1165,13
106305221949785,Grünliberale Kanton Zug,Tabea Estermann,1154,47
104009029660183,Die Junge Mitte Kanton Luzern,Die Junge Mitte Kanton Luzern,1153,14
110336161874621,Urban Husi in den Kantonsrat ZH,Urban Pius Matthäus Husi Fiechter,1148,7
110626305038291,Keine Steuergeschenke für Grossaktionärinnen und Grossaktionäre,Initiativkomitee “Keine Steuergeschenke für Grossaktionärinnen  und Grossaktionäre”,1141,18
216444012216,EDU - UDF (Eidgenössisch-Demokratische Union),Eidgenössisch-Demokratische Union Schweiz,1139,27
185972504782621,FDP.Die Liberalen Luzern,FDP.Die Liberalen Luzern,1136,14
142664095796912,GRÜNE Kanton Bern,GRÜNE Kanton Bern,1135,11
111516028427691,Die Mitte Oberes Baselbiet,Die Mitte Oberes Baselbiet,1112,27
784812424962943,Tele Z,TELE Z,1110,15
110151814882388,Benjamin Gautschi,Benjamin Gautschi,1098,8
1582348792001263,SP 4&5 Zürich,SP Zürich 4 & 5,1098,18
106264082355003,Sven Heinzelmann,Komitee «Sven Heinzelmann in den Kantonsrat»,1091,14
145956132116531,Climeworks,Climeworks,1085,4
107411260903386,Emyze. All in for less.,These ads ran without a disclaimer,1075,12
113671758293671,JA zum Stadtparlament,Komitee JA zum Stadtparlament Rapperswil-Jona,1070,27
111853704731931,Tabea Zimmermann Gibson in den Regierungsrat,Tabea Zimmermann Gibson,1060,23
105380182425137,Michael Jäger,Hans Michael Jäger,1059,15
1385951798292273,Zürcher Bauernverband,These ads ran without a disclaimer,1055,9
397708927689278,Kreislauf-Initiative,Komitee «JA zum Kreislaufinitiative Gegenvorschlag» Junge Grüne Zürich,1049,12
122819208305170,Sauvegarde Genève,Sauvegarde Genève,1039,43
255460054484245,Regula Degiacomi und Michael Pfäffli in den Gemeindevorstand,Regula und Michael in den Gemeindevorstand,1023,25
100489412910247,Nora Ernst - GLP,Nora Ernst - GLP,1015,7
105221044343308,Baisse d'impôts pour tous,"Initiative ""Baisse d'impôts pour tous : redonner du pouvoir d'achat à la classe moyenne.""",1010,1
124266620968132,FDP.Die Liberalen Kanton Thurgau,FDP Thurgau,1000,6
100844786282093,SÌ alla Legge clima,Sì alla legge clima,1000,10
102408406000910,Bürgerliche Allianz,Berchtold Marketing GmbH,1000,7
104850815686282,Gleichstellung zuerst,Frauen gegen die verfrühte AHV-Reform,1000,10
101023239974455,Europäische Bewegung Schweiz - Mouvement européen Suisse,European Movement Switzerland,998,32
100267076206781,Ensemble à Gauche solidaritéS-Parti du Travail-DAL,Ensemble à Gauche,991,36
1419223321733027,Parti Socialiste Vaudois,PS vaudois,990,15
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,990,7
416743625125770,Grüne Zürichsee,GRÜNE Bezirk Meilen,985,9
363083407079138,Die Mitte Basel-Stadt,Die Mitte Basel-Stadt,983,4
111620301609347,David Moschella,David Moschella,982,14
101664679500421,Uni·es par nos convictions · Engagé·es pour Genève,Uni·es par nos convictions · Engagé·es pour Genève,982,8
109607241799373,Andreas Müller in den Kantonsrat,Andreas Müller,977,49
1556534881244272,Grünliberale Bezirk Uster,Grünliberale Bezirk Uster,966,20
102578282597131,Kamylla Lisi-Brandino,Kamylla J. Lisi-Brandino,958,12
103237956032492,Willy Portmann,Willy Portmann,953,9
287397599608,Volvo Car Switzerland,Volvo Cars Switzerland,945,6
377292365618914,SVP Stadt Winterthur,SVP Winterthur,931,40
135939773133793,Grüne Winterthur,Grüne Winterthur,926,25
1526151274353450,FDP.Die Liberalen Horw,FDP.Die Liberalen Horw,926,152
107638885386061,2x Nein zur Klimagerechtigkeits-Initiative,Komitee für eine realistische Klimapolitik,915,5
1764183190338571,SVP Kreis 3,Derek Richter,915,15
809697199378485,Sandra Cellarius,Sandra Alice Cellarius,879,31
263226240736719,MA REVUE A NOUS,These ads ran without a disclaimer,875,4
289772074451810,FDP.Die Liberalen Aargau,FDP.Die Liberalen Aargau,869,36
107177938773165,Freunde der FDP des Kantons Schwyz,Freunde der FDP des Kantons Schwyz,862,3
101122865395791,Matteo Buzzi,Matteo Buzzi,861,40
168665080169717,Colin Biermann in den Kantonsrat,Colin Biermann,848,29
101384276204469,Ja zur Wiesli-Initiative am 12. März,"Initiativkomitee ""Ja zur Wiesli-Initiative""",840,12
823411181363395,Luzian Franzini,Luzian Benedikt Franzini,838,7
110347748463881,Barbara Deucher-Brändli,Barbara Deucher-Brändli,832,10
157838091029021,FDP.Die Liberalen Steffisburg,FDP.Die Liberalen Steffisburg,830,33
1642881809343062,Dachverband Berner Tierschutzorganisationen - DBT,Rolf Frischknecht,826,15
110647840532680,Merge Mayor,These ads ran without a disclaimer,805,12
232479886816529,Cambridge Institute for Sustainability Leadership,These ads ran without a disclaimer,802,8
2246378485612019,ASI - Associazione Svizzera Inquilini,ASI - Associazione Svizzera Inquilini,800,28
108839758430779,Association des habitants du quartier de la Bourgogne,Association des habitants du quartier de Bourgogne,799,23
104460881166122,Pro Natura Valais / Wallis,Pro Natura Valais / Wallis,799,3
859017794123127,Gioventù Socialista Ticino,Gioventù Socialista Ticino,795,24
105268722430698,Philippe Guldin GLP,Grunliberale,793,6
439891486498198,Cédric Schmid in den grossen Gemeinderat,Cédric Amir Schmid,789,6
101222005378379,Rhystadt,Rhystadt AG,785,5
102109691904848,swiss-food.ch,swiss-food.ch,781,15
164288990272811,FDP Region Winterthur in den Zürcher Kantonsrat,FDP Region Winterthur in den Zürcher Kantonsrat,778,8
112713445046863,Thomas Schlumpf,Thomas Schlumpf,774,2
101012679501703,Stephan Siegel in den Landrat,Stephan Siegel in den Landrat,771,2
1673559236288902,Pro Senectute Genève,Pro Senectute Genève,766,7
225005760938801,FDP.Die Liberalen Emmen,FDP.Die Liberalen Emmen,765,27
100505826209061,NEIN zum Schuldenbudget 2023 Bern,Komitee NEIN zum Schuldenbudget 2023,762,6
107515328348195,Michael Uebersax,Michael Stefan Uebersax,761,17
854141954663925,Isabel Garcia GLP,Isabel Garcia Brunisholz,751,19
103245032464764,Impôt anticipé OUI,Comité OUI à la réforme de l'impôt anticipé,750,8
136341053227140,EVP Winterthur,EVP Kanton Zürich,750,26
115010674866173,prospettivasvizzera.ch,IG Wirtschaftsverbände,750,6
1659576160959696,Guido Fluri Stiftung,Guido Fluri Stiftung,749,29
7783116506,Animals Asia,These ads ran without a disclaimer,746,75
360151400680191,Die Mitte Stadt Luzern,Die Mitte Stadt Luzern,740,36
106459178771498,Antonia Martina Durisch,Antonia Martina Durisch,727,32
192452100790239,F-info,F-info,726,6
105262295297064,FDP.Die Liberalen Nürensdorf,FDP.Die Liberalen Nürensdorf,726,39
8142847754,Jungfreisinnige Schweiz,Jungfreisinnige Schweiz,723,24
107552952619935,WWF Schweiz,WWF Schweiz,710,11
110556715264661,Lisa 1,These ads ran without a disclaimer,709,2
1573441899601646,Hismile,These ads ran without a disclaimer,703,1
685551101610260,Animal Rights Switzerland,Animal Rights Switzerland,700,4
1607548886172610,Hans-Ulrich Bigler,Hans-Ulrich Bigler,700,1
1464489323856911,FDP Zürich 2,FDP Zürich 2,696,4
210502125711731,FDP Bezirk Affoltern,FDP.Die Liberalen Knonaueramt,695,6
265041068300,JUSO Baselland,JUSO Baselland,694,4
227720898168117,Markus Estermann,Markus Estermann,692,6
100886212609096,Mark Gustafson in den Baarer Gemeinderat,Mark Alaxander Gustafson,690,8
355710291577008,Grüne Kreis 3/9,Grüne Kreis 3/9,689,5
104942962435489,Sarah Regez,Sarah Regez,688,10
100247945907067,Züri wählt,züri wählt,685,1
619051955163582,AWOB - Adrian Wegmann Oberrieden,Adrian Wegmann,683,11
100223062646476,"Für einen wirksamen Klimaschutz, gegen übertriebene Forderungen",Die Mitte Stadt Luzern,669,16
102149056050165,Simon Leu,Simon Leu,660,16
103190662706168,NON à la Loi sur la Chasse.,Rolf Hugo Hilfiker,657,20
360920524334417,Grünliberale Adliswil,Grünliberale Adliswil,656,17
138011779601470,Grünes Bündnis Stadt Bern,Grünes Bündnis Bern (GB),656,8
108012911488001,Flavia Wasserfallen,Komitee Flavia in den Ständerat,650,1
353969997649,Partito Comunista - Svizzera,Partito Comunista,649,42
265643696789735,Junge Alternative Zug,Junge Alternative Zug,648,12
100451933698060,AdVenture Communist,These ads ran without a disclaimer,647,4
145402065523845,Kanton Zürich,Kanton Zürich,630,1
751036244998194,FDP Stadt Zürich Kreis 4&5,FDP Kreis 4&5,630,16
222196101148136,Grünliberale Partei Kanton Luzern,Grünliberale Partei Kanton Luzern,625,12
355645665140771,Nicola Forster,Nicola Forster,618,18
109851415363558,Energiezukunft Chur,Überparteiliches Komitee für eine eigenständige und nachhaltige Energiezukunft Chur,618,19
106300899437929,Patrick Hässig,Patrick Hässig,611,5
105190875802704,Thomas Noack,Schweizer und Noack in den Regierungsrat,610,1
358964537480013,Laura Garavini,Laura Garavini,601,7
