Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
355096392156850,Our Funny Little Site Fun,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,30
1802248836771260,Weird Little Tales,These ads ran without a disclaimer,≤100,3
100525605800075,Meet and Greet,These ads ran without a disclaimer,≤100,1
106794077936083,Epic Feed,These ads ran without a disclaimer,≤100,1
107084005069843,Self Improvement Academy,These ads ran without a disclaimer,≤100,1
109068941386020,LifestyleA2Z,These ads ran without a disclaimer,≤100,1
110341334098148,Uniathena - DBA,These ads ran without a disclaimer,≤100,1
114496691584484,Dre2644,These ads ran without a disclaimer,≤100,1
108202585222420,Foodie Hunks,These ads ran without a disclaimer,≤100,1
111658128847068,Amnesty International,These ads ran without a disclaimer,≤100,1
110153421120306,Tiptoppo,These ads ran without a disclaimer,≤100,1
111622410196045,State of Youth,These ads ran without a disclaimer,≤100,8
110601208577334,Casa Senator Shop,These ads ran without a disclaimer,≤100,1
100738672408911,Magic Lock,These ads ran without a disclaimer,≤100,1
700265134151964,LAIT UP BELIZE,These ads ran without a disclaimer,≤100,1
161526514797293,Radio Vertières,These ads ran without a disclaimer,≤100,1
1438220682910088,Pandaily,These ads ran without a disclaimer,≤100,2
191367330892004,UBC Engineering,These ads ran without a disclaimer,≤100,1
101113365989511,Do and Don't,These ads ran without a disclaimer,≤100,1
124252504303223,UNICEF (FR),These ads ran without a disclaimer,≤100,2
223495844457800,China Plus Culture,These ads ran without a disclaimer,≤100,8
104069709032034,Sportzspace - Stories,These ads ran without a disclaimer,≤100,2
103987472118717,The Money Time - Fans,These ads ran without a disclaimer,≤100,1
128408183883210,The Salvation Army - Caribbean Territory,These ads ran without a disclaimer,≤100,1
1396991720561689,Steve Harvey,These ads ran without a disclaimer,≤100,1
135799599823455,Arboricultural Association,These ads ran without a disclaimer,≤100,2
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100,1
1570967143115767,Faith In His Blood . Org,These ads ran without a disclaimer,≤100,1
105221409082542,California001,These ads ran without a disclaimer,≤100,1
133945616646913,RioOnWatch.org,These ads ran without a disclaimer,≤100,4
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100,4
116126484753041,Dre7566-English,These ads ran without a disclaimer,≤100,1
101801896033176,Light1297_02,These ads ran without a disclaimer,≤100,2
1589154051350606,FOZ - Friends of Zion Museum,These ads ran without a disclaimer,≤100,1
246623842439048,Migrants & Refugees Section,These ads ran without a disclaimer,≤100,1
100276738975384,Glow Up Club,These ads ran without a disclaimer,≤100,1
112177278825671,King's College London Alumni,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,10
363388004312003,STAEDTLERinst,These ads ran without a disclaimer,≤100,2
109984924166982,Money Smarts,These ads ran without a disclaimer,≤100,2
1590877284560136,Patti Harris,These ads ran without a disclaimer,≤100,4
103659765532260,華夏focus,These ads ran without a disclaimer,≤100,5
108472745503847,Wsp57,These ads ran without a disclaimer,≤100,1
769095856453652,Axel Arigato,These ads ran without a disclaimer,≤100,1
1418847414842462,Asia Youth International MUN,These ads ran without a disclaimer,≤100,2
21591025194,The University of Melbourne,These ads ran without a disclaimer,≤100,1
154303191887041,Big Global Travel,These ads ran without a disclaimer,≤100,1
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100,4
1010847105623136,NowThis Earth,These ads ran without a disclaimer,≤100,3
110758088380419,Renato do Zé Maria,These ads ran without a disclaimer,≤100,1
429957570419097,Professor Israel,These ads ran without a disclaimer,≤100,1
104057545940798,Jh26-9,These ads ran without a disclaimer,≤100,1
