Page ID,Page name,Disclaimer,Amount spent (SGD),Number of ads in Library
162095177686530,CDL Sustainability,These ads ran without a disclaimer,1823,14
250289965916061,Headway,These ads ran without a disclaimer,1821,6
203621737645,Cartier,These ads ran without a disclaimer,1821,1
1660303860865171,Tote Board,"Sim Kuan Jin, Terence",1808,60
101815586571229,Edwin Tong,"Ministry of Culture, Community and Youth - MCCY",1800,10
1228691607217982,SMU Academy,These ads ran without a disclaimer,1798,16
119517371506571,Nee Soon East CC,Nee Soon East CC,1796,6
105006321870,Friends Of Yew Tee,Friends Of Yew Tee,1795,6
189877824369772,We Love Bedok,People's Association,1793,6
154612391225720,Kaki Bukit,Kaki Bukit,1788,6
28011986676,Singtel,These ads ran without a disclaimer,1778,3
145162027278,Chingay Parade SG,DANAMIC PTE. LTD.,1761,7
113001545421517,KFC,These ads ran without a disclaimer,1761,1
140716706608231,Left To Survive,These ads ran without a disclaimer,1726,41
108240409239697,"Ministry of Home Affairs, Singapore","Ministry of Home Affairs, Singapore",1724,1
180972142391567,Keep It Real With Marcus Luah,Marcus Luah Chuan Guan,1720,1
200115830005419,3M,These ads ran without a disclaimer,1710,16
219848181376579,Ministry of National Development,Ministry of National Development,1695,8
817196968419136,Ceramique Aesthetics,These ads ran without a disclaimer,1694,1
122560591156582,Friends of West Coast,Friends of West Coast,1690,6
180593341984819,The Comedy Club Asia (Singapore),Heazry Mohammad Salim,1689,19
355665009819,South China Morning Post,These ads ran without a disclaimer,1689,140
165094946857194,Keat Hong Constituency,Keat Hong,1686,6
264270365420713,Banner_Ethics_S,These ads ran without a disclaimer,1682,2
1877990152449717,SG Cares,These ads ran without a disclaimer,1680,1
645948192127477,Geylang Serai Community Club,Geylang Serai Community Club,1677,6
129518207108017,Sengkang West,Sengkang West,1672,6
289805961129438,Our Jurong Central,The People's Association,1672,6
486446021448021,Tampines Central,Tampines Central,1671,6
455942274441818,Zhenghua: Where We Belong,Zhenghua,1671,6
480150852012975,Our Kampong Chai Chee,Our Kampong Chai Chee,1671,6
2366069740337715,ThinkChina,These ads ran without a disclaimer,1670,41
1695889637360770,Hempire,These ads ran without a disclaimer,1664,19
157252641338,OANDA US,These ads ran without a disclaimer,1662,7
437535586267059,The Yuhua Family,Yuhua,1659,6
182759562223581,Housingapore,Ong Han Yang,1632,43
102434905495380,Singapore New Homes,Bu Chee Peng,1627,142
115366836686423,Regrow My Planet,These ads ran without a disclaimer,1609,1012
101815586571229,Edwin Tong,People's Association,1600,4
14885049750,HeadHunt,HeadHunt,1600,6
460916044000978,Temasek,These ads ran without a disclaimer,1590,4
