Page ID,Page name,Disclaimer,Amount spent (TND),Number of ads in Library
164405457102709,Complexe Culturel Monastir,These ads ran without a disclaimer,≤100,2
125080715552060,محمد ريان الحمزاوي الصفحة الرسمية,These ads ran without a disclaimer,≤100,2
739582759448073,Rassd Tunisia - رصد التونسية,These ads ran without a disclaimer,≤100,3
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,75
100349662934753,Najla Lahiani - نجلاء اللحياني,These ads ran without a disclaimer,≤100,1
100895779448663,Frederick Brandt,These ads ran without a disclaimer,≤100,1
190082304718548,Formacef -Tunisie Conseil Etude Formation فورمساف مركز تكوين مهني,These ads ran without a disclaimer,≤100,1
101399012813932,الأستاذ أيمن الفرشيشي المترشح للانتخابات التشريعية 2022,الدريدي أنور 11,≤100,1
101168829224358,لنكن فاعلين و فاعلات من أجل التنمية المستدامة,These ads ran without a disclaimer,≤100,1
273089522819834,24Media,These ads ran without a disclaimer,≤100,13
237238156320011,IFC Middle East,These ads ran without a disclaimer,≤100,1
103553614349757,Hafryat plus,These ads ran without a disclaimer,≤100,14
436621137103518,Huawei Northern Africa,These ads ran without a disclaimer,≤100,11
105728695286283,الشرق للأخبار - السودان,These ads ran without a disclaimer,≤100,14
478037639053169,بلدية قربة,These ads ran without a disclaimer,≤100,2
1902150056709260,The President Cup,These ads ran without a disclaimer,≤100,1
299800777180254,Top tissus,These ads ran without a disclaimer,≤100,24
102509349202901,Watchsify Shop,These ads ran without a disclaimer,≤100,1
304881842704872,taimajouher,These ads ran without a disclaimer,≤100,3
100634432086434,Truth reality,These ads ran without a disclaimer,≤100,1
2327667407514858,ALPLA Group,These ads ran without a disclaimer,≤100,1
111485608119569,Layouni Solar Group,These ads ran without a disclaimer,≤100,3
104485445160924,الشرق للأخبار - فلسطين,These ads ran without a disclaimer,≤100,3
107288554025966,Captain Awn Kabariti,These ads ran without a disclaimer,≤100,6
1798900147035859,What The FAKE,These ads ran without a disclaimer,≤100,12
105632181920055,إشاعة,These ads ran without a disclaimer,≤100,2
117741954907367,TeachingEnglish - British Council,These ads ran without a disclaimer,≤100,1
192819970766328,Université Mahmoud el Materi-UMM / جامعة محمود الماطري,These ads ran without a disclaimer,≤100,3
102860875465067,New Marco Polo,These ads ran without a disclaimer,≤100,4
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,80
107207931828456,Next Thing Technologies,These ads ran without a disclaimer,≤100,6
100871688607001,الجبل الأحمر - La Montaña Roja,These ads ran without a disclaimer,≤100,1
1690370367902013,SBM,These ads ran without a disclaimer,≤100,1
249611678919630,AfriCanada Consulting Inc.,These ads ran without a disclaimer,≤100,1
431672620250052,Doug Batchelor,These ads ran without a disclaimer,≤100,2
103931028864547,Radio Saray,These ads ran without a disclaimer,≤100,15
110575318360541,Ecole Primaire Cours Molière,These ads ran without a disclaimer,≤100,1
2272107553117243,باب الشرق,These ads ran without a disclaimer,≤100,12
100263685824148,الجيش الوطني المدني,These ads ran without a disclaimer,≤100,5
1608892529418662,كشف الحقائق  التونسية,These ads ran without a disclaimer,≤100,6
177913805412305,Tarek Dali Dali الصفحه الرسميه,These ads ran without a disclaimer,≤100,4
105592935659040,Tuniflix FM,These ads ran without a disclaimer,≤100,2
291139528191271,Belhassen Ben Amara بلحسن بن عمارة,These ads ran without a disclaimer,≤100,1
248547585333443,قناة الغد Alghad TV,These ads ran without a disclaimer,≤100,21
137884089594851,Société Bechikh de Travaux Publics,These ads ran without a disclaimer,≤100,1
101031645888460,Librairie Solidaire Tunis,These ads ran without a disclaimer,≤100,2
111105455066040,تونس اليوم,These ads ran without a disclaimer,≤100,1
103682745385357,Apip.online,These ads ran without a disclaimer,≤100,1
101837288924546,Muslimi,These ads ran without a disclaimer,≤100,54
107694522088840,تونس اليوم,These ads ran without a disclaimer,≤100,1
108022968721915,تونس اليوم,These ads ran without a disclaimer,≤100,1
101857312685524,أخبار تونس اليوم,These ads ran without a disclaimer,≤100,1
173945432471246,The Digital Guerilla,These ads ran without a disclaimer,≤100,1
100960959444865,تونس اليوم,These ads ran without a disclaimer,≤100,1
881675718576355,VIP Diffusion Presse,These ads ran without a disclaimer,≤100,4
146822482008281,DW عربية,These ads ran without a disclaimer,≤100,3
866793516698720,Mohamed Ayachi Ajroudi,These ads ran without a disclaimer,≤100,2
142511688950622,cihancan,These ads ran without a disclaimer,≤100,1
906486432762911,Tounsi,These ads ran without a disclaimer,≤100,1
476179919621255,Misbar - مسبار,These ads ran without a disclaimer,≤100,25
257965998044999,WADA7 France,These ads ran without a disclaimer,≤100,1
154999351203898,Ahmad Tea,These ads ran without a disclaimer,≤100,2
105474011373261,Wekky chaussure,These ads ran without a disclaimer,≤100,1
154313024625340,Anna Lindh Foundation,These ads ran without a disclaimer,≤100,5
2371211079773326,Olfa Hamdi ألفة الحامدي,These ads ran without a disclaimer,≤100,1
104235812340268,الجوع ولا قضاء الخنوع,These ads ran without a disclaimer,≤100,2
103305932088,Aramex,These ads ran without a disclaimer,≤100,3
1896469827315062,Alliance Française de Bizerte Tunisie,These ads ran without a disclaimer,≤100,1
104026049147106,makremjournal,These ads ran without a disclaimer,≤100,1
1469752156670918,Youth China,These ads ran without a disclaimer,≤100,1
109232465149753,Meilleur Four Tunisie,These ads ran without a disclaimer,≤100,1
106602415461403,I-Boutique,These ads ran without a disclaimer,≤100,1
100367165893308,من قاع الخابية,These ads ran without a disclaimer,≤100,1
105950202353137,Mohamed Ben rzayeg chaabani - محمد بن رزيق شعباني,These ads ran without a disclaimer,≤100,2
59978261217,U.S. Embassy Tunis,These ads ran without a disclaimer,≤100,2
103335477826593,Dr. Bilal Nagati,These ads ran without a disclaimer,≤100,1
296266907136787,ilboursa.com,These ads ran without a disclaimer,≤100,2
500895353689021,Africa's Business Heroes,These ads ran without a disclaimer,≤100,14
120312641014518,quneiform,These ads ran without a disclaimer,≤100,4
163511123674568,VIV worldwide,These ads ran without a disclaimer,≤100,1
245783122707027,Mars Solar Power System Manufacturer,These ads ran without a disclaimer,≤100,2
299522360564577,Carthage Grains,These ads ran without a disclaimer,≤100,1
482273315273345,د. محمد الهاشمي الحامدي Dr. Muhammad al-Hachimi al-Hamidi,These ads ran without a disclaimer,≤100,4
147109888636038,Netafim,These ads ran without a disclaimer,≤100,12
110647840532680,Merge Mayor,These ads ran without a disclaimer,≤100,2
618265281589566,UICN - Centre de coopération pour la Méditerranée,These ads ran without a disclaimer,≤100,1
376533439458232,Armozo Events,These ads ran without a disclaimer,≤100,1
1438076366477515,التلفزيون العربي,These ads ran without a disclaimer,≤100,5
898252743643580,Abdullah Aid,These ads ran without a disclaimer,≤100,1
108136791055556,YEP MED,These ads ran without a disclaimer,≤100,1
122094853676016135,Trophy Trivia,These ads ran without a disclaimer,≤100,1
109910262068380,Live Tunisia,These ads ran without a disclaimer,≤100,2
625550331152858,فخار يكسر بعضو 4,These ads ran without a disclaimer,≤100,5
