Page ID,Page name,Disclaimer,Amount spent (ZAR),Number of ads in Library
100228168822390,VF Plus- Kaap Agulhas,Vryheidsfront Plus / Freedom Front Plus,9154,11
149995182390763,Coca-Cola Africa Communications,These ads ran without a disclaimer,9027,2
171273009603524,Africa4Palestine,#Africa4Palestine,9000,1
103455761353438,VF Plus - Sol Plaatje,Vryheidsfront Plus / Freedom Front Plus,8901,13
6013004059,The Economist,These ads ran without a disclaimer,8862,39
100859505668996,Makana Citizens Front,Philip Machanick,8816,26
1238173096287495,Azur Games,These ads ran without a disclaimer,8739,18
102516258668317,Siza Water,Fahim N Farzanah Dawood,8681,12
446648162438519,Thisisacumen,Thisisacumen,8453,18
222999488503415,Rosemary Joaquin,These ads ran without a disclaimer,8420,7
109202045874520,PPS For Professionals,These ads ran without a disclaimer,8419,3
1271402709601865,HEALA,HEALA,8344,26
262663754103093,Afrikan Alliance of Social Democrats,Afrikan Alliance of Social Democrats,8264,12
274341479100018,Rasheed Gutta Sun Party,Sun Party,8138,9
28928259418,"Saïd Business School, University of Oxford",These ads ran without a disclaimer,8131,2
687589164666184,MasterClass,These ads ran without a disclaimer,8077,11
1408620202688442,DA Mosselbaai Wyk 8,"Coetzee, Lodewyk Juan",8012,20
7382473689,Al Jazeera English,These ads ran without a disclaimer,8004,4
176358072227397,Mzwanele Nyhontso,These ads ran without a disclaimer,8003,12
103660385190383,Public Sector Leaders,Timothy Graham Barlin,8000,8
101051196020136,Democratic Alliance Table Bay Constituency,Democratic Alliance,7984,18
32389632612,James' Cape Town!,James Robert Hogan Costello,7960,29
303257519793514,SABC Education,Fortune Well,7799,51
109950461278567,Mayor Dirk Kotzé,Democratic Alliance Mossel Bay Constituency,7700,9
391506565057448,DA Johannesburg,Democratic Alliance,7668,31
1605752276377449,Open Cities Lab,Open Cities Lab,7660,5
249711788442567,W8 Design & Tecnologia,These ads ran without a disclaimer,7607,9
187645864452,Vryheidsfront Plus / Freedom Front Plus,These ads ran without a disclaimer,7557,2
1648321205406005,Democratic Alliance Masilonyana Municipality,Democratic Alliance Free State,7543,52
144985128871748,City of Cape Town,Sanelisiwe Owethu Ntabeni,7521,18
247640993814673,ACDPWard27,Neetu Chetty,7509,62
225941290782035,Parliament of the Republic of South Africa,These ads ran without a disclaimer,7469,1
101966172418711,SA Healthcare Industry Summit 2022,These ads ran without a disclaimer,7353,1
263329657456188,MH Realty,MH Realty,7353,3
113978755978036,DA Atlantic Seaboard Ward 54,Nicola Jowell,7312,14
109095974849582,Inkatha Freedom Party Western Cape,Inkatha Freedom Party,7261,10
105797672043201,Big Bite,These ads ran without a disclaimer,7152,2
102643112351705,Modern Families,These ads ran without a disclaimer,6992,4
101454215827543,Golden Rain Rewards,These ads ran without a disclaimer,6985,7
1506288039609076,Umhlathuze Municipality,These ads ran without a disclaimer,6891,1
101945665055819,Democratic Alliance Cradock & EC Middelburg,Democratic Alliance,6840,29
540586872792397,The Jerusalem Post - Christian World,These ads ran without a disclaimer,6772,10
189540894884402,Hyundai N1 City,These ads ran without a disclaimer,6747,5
111416286896380,Institute of National Remembrance,These ads ran without a disclaimer,6745,8
109518617907793,Investing.com UK,These ads ran without a disclaimer,6700,1
189966797754883,Accountability Now - Ifaisa,Accountability Now,6640,74
288607211258386,ROLEX,These ads ran without a disclaimer,6603,5
219459955135757,DA Sundays River Valley - Zuurberg,Democratic Alliance,6554,35
109039874092625,Protect Our Next,Protect Our Next,6537,21
933310850194959,Israel Alliance,These ads ran without a disclaimer,6514,35
315998375705886,FT Live,These ads ran without a disclaimer,6435,6
344618812954270,Democratic Alliance - Winterhoek Constituency - Uitenhage,Democratic Alliance,6338,28
445649935466422,My Vote Counts,My Vote Counts,6331,20
1726842077562765,Democratic Alliance Metsimaholo Municipality,Democratic Alliance Free State,6304,48
294423204490645,VF Plus - Mangaung,Vryheidsfront Plus / Freedom Front Plus,6300,5
100998292278237,Jobs in Canada,These ads ran without a disclaimer,6273,59
2331568353729375,Bowling Crew,These ads ran without a disclaimer,6260,3
109630021459774,Mayor Tyrone Gray,Carl Sebastian Steenekamp,6250,11
265881596882214,Cornetto,These ads ran without a disclaimer,6227,48
102417705566639,Digital MOFA,These ads ran without a disclaimer,6216,1
110945727326646,Let's Talk Cape Independence,Let's Talk Cape Independence,6165,21
101837288924546,Muslimi,These ads ran without a disclaimer,6154,90
153911331339003,ACDP Western Cape,African Christian Democratic Party,6119,65
2086579854976264,"Andrew Whitfield, MP",Democratic Alliance,6119,19
105179558681539,Sweetheart Y,These ads ran without a disclaimer,6105,2
100907754932134,Bobby Stevenson MPL,Bobby Stevenson,6100,13
106075258461048,DA Gauteng West,Carl Sebastian Steenekamp,6098,15
1442286572460668,Inside Education,Inside Education,6091,18
540394386118032,Jaxsta,These ads ran without a disclaimer,6084,1
229641360457150,Good Governance Africa,Good Governance Africa,6074,14
102740366333,DNA for Africa,These ads ran without a disclaimer,6033,12
286506558722350,Inside Politics,Inside Politics,6032,28
12216188250,Absa South Africa,These ads ran without a disclaimer,5986,2
1292958904162605,Raksha Santram Saroniya,These ads ran without a disclaimer,5927,1
1572847152968383,Plant Based News,These ads ran without a disclaimer,5924,1
153339458475448,John Steenhuisen,Democratic Alliance,5921,4
230939036922712,ExpressVPN,These ads ran without a disclaimer,5896,1
109974311431869,Cllr Paul Jacobson - VFP,Paul Jacobson,5888,5
2331840376875032,Saai,Southern African Agri Initiative (Saai),5820,1
46231357102,Voortrekkermonument,Voortrekkermonument,5820,13
222246141134513,DASO UP,Kwena Moloto,5813,9
153553267834091,Bring Them Home Now,These ads ran without a disclaimer,5812,1
1177860575608336,DA Blue Crane Route,Democratic Alliance,5795,16
109011622471498,Office of the Premier - North West Province - South Africa,These ads ran without a disclaimer,5780,11
209230839583631,Democratic Alliance Dihlabeng Municipality,Democratic Alliance Free State,5768,59
192300020834149,Democratic Alliance Moqhaka Municipality,Democratic Alliance Free State,5762,50
104692291218239,DA Free State Future Leaders Programme,Democratic Alliance Free State,5733,15
614441158766955,Vote Dr Sipho P. Malapane And The Independent Campaign 2024,Sipho Pienaar Malapane,5700,58
1779143039030790,Councillor Lodewyk J Coetzee - Mossel Bay Ward 8,"Coetzee, Lodewyk Juan",5671,18
217519028785017,Nature Research Custom Media,These ads ran without a disclaimer,5668,58
1854698871489243,African Transformation Movement - ATM,African Transformation Movement - ATM,5652,8
245499045656907,Msunduzi Municipality - City of Choice,These ads ran without a disclaimer,5605,3
102416722029565,"Innovate4Climate, I4C 2023",These ads ran without a disclaimer,5603,7
111275571346780,Cease Tax Residency,Cease Tax Residency,5555,6
2031025760514614,Africa Tech Week,Topco Media,5509,4
1635013633394682,Democratic Alliance North West,Democratic Alliance,5507,2
1249402458491333,"ThreatLocker, Inc",These ads ran without a disclaimer,5499,1
169923519529330,Financial News,These ads ran without a disclaimer,5448,19
108183091720382,Kingdom Warriors NFT,These ads ran without a disclaimer,5343,2
102791148576166,Feed The Nation Foundation,Feed The Nation Foundation,5337,20
162777437074602,European Biomass Conference and Exhibition,These ads ran without a disclaimer,5302,2
103355745426428,"Councillor Carl Steenekamp - Ward 17, Merafong",Carl Sebastian Steenekamp,5265,26
124185337598031,Andrus Strauss,Andrus Strauss,5263,20
112258484731209,DA Ward 96 Tshwane,Democratic Alliance,5217,9
695284267265118,Zibonele FM 98.2,Zibonele FM 98.2,5189,8
249674868396314,三菱ふそう / FUSO Japan,These ads ran without a disclaimer,5119,2
101557288787342,Democratic Alliance Maluti a Phofung Municipality,Democratic Alliance Free State,5116,40
105666144829254,Ocean Project,These ads ran without a disclaimer,5100,18
102949965802917,DA Ward 42 Tshwane - Shane Maas,Crezane Bosch,5065,3
149887621779633,Eden FM,Eden FM,5020,9
103887992475198,Andrew Owen,These ads ran without a disclaimer,5019,4
109533547504165,Sugoi Sur,These ads ran without a disclaimer,5017,2
106075258461048,DA Gauteng West,DA Gauteng West,5016,26
1770207119865540,Civics Academy ZA,Civics Academy ZA,4992,7
123683165856370,Democrats Abroad South Africa,Democrats Abroad,4992,6
489778914537713,DA uMngeni,Christopher John Pappas,4931,31
456190681258118,Democratic Alliance Ngwathe Municipality,Democratic Alliance Free State,4909,47
100250129158393,Bon Dio,These ads ran without a disclaimer,4901,15
540156213568207,Patriotic Alliance - Bitou Municipality,Eugene Botha,4856,8
207363899831466,Momentum Capital,These ads ran without a disclaimer,4830,7
307823149320215,Top Empowerment,Top Empowerment,4818,7
1953987054812651,Mayor Chris Pappas,Christopher John Pappas,4807,41
100182418919397,Fortis Cache,These ads ran without a disclaimer,4777,1
216311481960,Bill Gates,These ads ran without a disclaimer,4775,68
281514245300699,Democratic Alliance Merafong,Democratic Alliance Merafong,4769,31
