Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
1451376028412024,Pavel Svoboda,Křesťanská a demokratická unie - Československá strana lidová,133373,206
317802208282505,Alexandr Vondra,ODS - Občanská demokratická strana,132921,33
227416910669250,Komora daňových poradců ČR,Komora daňových poradců ČR,132539,665
104231245492136,Karel Diviš,Karlova lípa naděje z.s.,132135,48
350510278898035,Radim Ivan - pracující politik,PRINCZ Z ODS,131834,254
1757913860945739,ORLEN Unipetrol,ORLEN Unipetrol a.s.,131822,65
103596561838998,Svedomi-naroda.cz,Nadační fond Svědomí národa,130850,144
2297075120544646,Spojenci pro kraj,JsmePRO! (Spojenci pro kraj),130770,220
996724667073669,Piráti Ostrava,Dedek Jakub,130546,201
1934837773438430,Pavel Fischer,Pavel Fischer,129841,53
317530692148022,Evropa v datech,Evropa v datech,129781,117
524288824339961,Senátor Václav Hampl,"PRAHA SOBĚ, KDU-ČSL, ZELENÍ, SENÁTOR 21",129370,186
497198057045195,Monika Le Fay,Monika Le Fay,129062,56
109870957154839,Home Voluntarily / Домой добровольно / Tự nguyện hồi hương,Mezinárodní organizace pro migraci (IOM),129027,200
100602322206023,Radka Maxová,Radka Maxová,128768,98
460558621177512,Zálohujme.cz,Zálohujme,128626,50
332418787330819,VOK - Volba pro kraj,"Volba pro kraj, politické hnutí",128003,161
206407509818,Blesk.cz,Czech News Center a.s.,127745,93
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,127319,99
109014911323689,Martin Exner,STAROSTOVÉ A NEZÁVISLÍ,126584,65
109441109110173,Hnutí Občané pro Budějovice,Hnutí Občané pro Budějovice,125935,91
107116341083373,Ondřej Závodský,Ondřej Závodský,125687,67
100140496170809,Aleš Boháč - Starostové pro Ostravu,Nezávislí,125421,14
1458827397686128,Koalice Vlasta,Koalice Vlasta,125412,176
125453991470833,SEN 21 - politické hnutí,SEN 21,125308,48
315747282263515,"Jakub Stárek, starosta Šestky",ODS - Občanská demokratická strana,124083,224
101500052256658,Jan Kavalírek / zastupitel Praha 5,Jan Kavalírek,123974,389
597980334012769,Svoboda a přímá demokracie Moravskoslezský kraj - SPD,Svoboda a přímá demokracie (SPD),123409,119
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,122756,105
163186777045684,Piráti Královéhradecký kraj,Verisova Libuse,122628,104
103761178989956,Leoš Stránský,ODS Kladno,122015,45
2256794514563672,Češi v právu,Češi v právu,121983,312
100775928814146,Zapojse.eu,EUROPEUM Institute for European Policy,121454,154
2380171825590338,Markéta Gregorová,Markéta Gregorová,121173,30
605208513007852,Pavel Sehnal,Aliance pro budoucnost,120892,110
106614128268751,Jan Dohnal - primátor Ostravy,SPOLU Ostrava,120823,78
321762510282,Michal Kučera,Michal Kučera,120722,125
210778132327279,Prima,FTV Prima s.ro.,120000,16
159935454034044,Pirátská strana - Karlovarský kraj,Česká pirátská strana,119985,242
104907604401326,Obnovme jihočeské lesy,Libor Moravec,119962,19
1973919982632677,Petr Hlubuček,Starostové a nezávislí,119912,241
105002754733933,Matěj Gregor • Svobodní,Svobodní,119907,51
314038193269,211 - Zdravotní pojišťovna ministerstva vnitra ČR,These ads ran without a disclaimer,119903,19
