Page ID,Page name,Disclaimer,Amount spent (UYU),Number of ads in Library
284722471859469,Mario Ayala,These ads ran without a disclaimer,1359,5
552016588239565,Unión Cívica,Camilo Frutos,1354,2
100641784733064,Sebastian Arballo,These ads ran without a disclaimer,1338,8
440200309391562,Movimiento De Integración Alternativo,These ads ran without a disclaimer,1315,1
107178538748255,Acción País Salto,Facundo Esteche,1299,5
227620454008249,Remate Morales,These ads ran without a disclaimer,1286,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1267,3
696963500384574,Comité Atlántida - Unidos Venceremos,Juan Francisco Bruschi Maceira,1250,6
278865902743067,Ag. Divisa Blanca,These ads ran without a disclaimer,1249,3
109935014098420,Observatorio Carmelo,Facundo Maffoni Manitto,1248,6
102468862232990,Diputada Virginia Fros Alvarez,Alejandro Cardozo,1238,5
595071107188900,Aldo Lamorte Y El Maie Primeros En Uruguay,Camilo Frutos,1238,5
109747548002915,Instituto Nacional de Artes Visuales,These ads ran without a disclaimer,1232,1
1252321061597807,Adriana gonzalez,These ads ran without a disclaimer,1224,1
1829094547189770,El Clavel,These ads ran without a disclaimer,1223,11
112940577720514,Abiuy,María José Añón Holfman,1221,4
101983552727807,Lista 529,These ads ran without a disclaimer,1214,2
837084259652515,Gonzalo Civila,These ads ran without a disclaimer,1201,5
108400485329504,njelreencuentromayorista,These ads ran without a disclaimer,1194,1
595071107188900,Aldo Lamorte Y El Maie Primeros En Uruguay,These ads ran without a disclaimer,1188,2
224432404426406,Eficiencia Energética Uruguay,These ads ran without a disclaimer,1183,4
1013323835449673,Inddhhuruguay,Lucía Ines Scrigna Batlle,1180,4
107740531695397,Proyecto Juntos,These ads ran without a disclaimer,1160,1
307301263028351,Casa Grande Cerro Largo,Irene Gonçalvez Mautone,1158,3
6013004059,The Economist,These ads ran without a disclaimer,1140,56
106360405543012,Amigos de Jorge Romero,Diego Esteban Soutto Carballo,1113,5
1281464538676444,Mayor Pinturas,These ads ran without a disclaimer,1110,1
102337244995366,Prudencia Uruguay,These ads ran without a disclaimer,1109,9
113243064499527,Identidad Nacional - Lista 1405,These ads ran without a disclaimer,1100,2
909659635742415,Corriente Sindical Clasista,These ads ran without a disclaimer,1086,2
102432445505325,State.Io,These ads ran without a disclaimer,1081,2
812964768791068,5005 Canelones,These ads ran without a disclaimer,1073,2
167878593236712,UNICEF en español,These ads ran without a disclaimer,1072,13
171573530137370,ELeccion Estética,These ads ran without a disclaimer,1072,2
102645025591612,Plaza Malvin Alto - Presupuesto Participativo 2021,Pablo Rodrigo Balserini Silva,1070,3
451256781884275,Klondike Adventures,These ads ran without a disclaimer,1062,4
565966203538383,Nicolás Quintana,These ads ran without a disclaimer,1058,3
1697800733827340,Ivonne Passada,These ads ran without a disclaimer,1041,3
113309410598130,Marta M Novoa Psicología,These ads ran without a disclaimer,1037,10
108927843936359,Alrep Centro de Capacitacion,These ads ran without a disclaimer,1025,5
850868041592049,Casa Grande Treinta y Tres,Irene Gonçalvez Mautone,1000,2
131569558446062,Convocatoria Seregnista Progresistas - Salto,Gabriel Scabino González,1000,1
100743767987405,Fuerza 939,These ads ran without a disclaimer,996,1
107165022058284,Agustin da Cunha,These ads ran without a disclaimer,991,3
823457137818088,Advanced Virtual Programs,These ads ran without a disclaimer,987,11
104253971977718,Luis Alonso,Luis Gabriel Alonso Jaime,984,6
748855575185611,Ian Modas,These ads ran without a disclaimer,979,1
320788968000582,Center for Israel Education,These ads ran without a disclaimer,974,7
308279389555560,Escritorio Aramburu & Cía Ltda,These ads ran without a disclaimer,967,3
109345427854100,Educación Uruguay,These ads ran without a disclaimer,952,1
653015005048499,FCZM Frente Canario Zelmar Michelini,These ads ran without a disclaimer,949,9
2189692867780422,Marcio Protti,Marcio Protti Toya,948,19
1633909283493941,Ert Bps,These ads ran without a disclaimer,948,1
231778264020265,Charles Carrera Leal,Julio Fernando Gil Diaz,928,2
101180002394409,El Abrazo Florida,These ads ran without a disclaimer,924,3
104238392085047,Nelson Sena,Windy Raimondi,918,2
1769254949995057,Agrupación Libertad,Laura Gascon,913,4
110599924884490,Tamara,These ads ran without a disclaimer,907,12
46192356440,ESADE Executive Education,These ads ran without a disclaimer,906,17
108282098658865,Pablo Constenla,These ads ran without a disclaimer,898,2
110229320334205,Joyas Mayorista 097620937,These ads ran without a disclaimer,893,3
1802248836771260,Weird Little Tales,These ads ran without a disclaimer,877,43
131947030163002,Periódico Liberarce,These ads ran without a disclaimer,871,19
97320092545,PAHO-WHO,These ads ran without a disclaimer,869,4
205215009974413,"U.S. Livestock Genetics Export, Inc",These ads ran without a disclaimer,860,1
723940741319631,1001 San José,Sofía Soledad Mansilla González,858,12
100784662396531,Silvana Amoroso - Presidenta FA,These ads ran without a disclaimer,851,2
100174599196638,Patin para Malvin  2021,These ads ran without a disclaimer,844,2
432445257544169,Global City Community,These ads ran without a disclaimer,830,15
1646993448911757,Municipio Las Piedras,These ads ran without a disclaimer,829,1
109274073966562,raul_licandro_durazno,These ads ran without a disclaimer,827,5
104685322160074,Referéndum LUC,Rodrigo Gómez Farias,827,1
101516212181501,AIO Browser,These ads ran without a disclaimer,827,7
130567012545253,Mentes Claras Hipnoterapia,These ads ran without a disclaimer,814,1
106983891952270,Deep Wallpaper-wei316,These ads ran without a disclaimer,812,2
112940577720514,Abiuy,Abilio Abel Fernandez Anon,808,4
109742511433906,Intersocial Maldonado,Irene Gonçalvez Mautone,808,3
147337559330,Montevideo Portal,These ads ran without a disclaimer,802,4
539053372829376,WEB AMIGA Julio César Talamás,Julio Cesar Talamas Moreno,800,7
103274451088741,MPP San José,These ads ran without a disclaimer,800,1
119209548623072,Reactiva Contenidos,Nicolás Scarón,800,2
229479184286100,Lista 1916 C.A. Fénix,These ads ran without a disclaimer,797,2
104882604917354,No te rindas,These ads ran without a disclaimer,769,1
111724010452603,Novella,These ads ran without a disclaimer,769,2
343459706117402,Word Collect,These ads ran without a disclaimer,765,3
102398498256353,MPP 609 Paso de los Toros,These ads ran without a disclaimer,762,6
105100581738184,Lista 400 Salto,These ads ran without a disclaimer,749,3
478810672324031,Comite Vanguardia Frente Amplio,These ads ran without a disclaimer,740,14
796989557021502,Casa Grande Rocha,Irene Gonçalvez Mautone,738,2
103640257692257,Christian Herrrera,These ads ran without a disclaimer,737,4
103526979714640,GaliciaAberta,These ads ran without a disclaimer,735,2
104674184203730,Famet Ltda,These ads ran without a disclaimer,709,6
873391166064770,Municipio de Río Branco,These ads ran without a disclaimer,708,5
1761601207399222,AM POST,These ads ran without a disclaimer,702,1
342666182886260,Dr. Andrés Scavarelli,Andrés Raul Scavarelli Viñolo,701,7
891812557550678,La Lupa Radio,La Lupa Radio,700,2
109140935273655,Impulso Joven,Gabriel Font,700,6
1311280945654440,Excursiones En Uruguay,These ads ran without a disclaimer,700,1
110379433670196,Comité Ingeniería FA,Ignacio Augustín Franco Rodriguez,700,2
443232869183957,Bancada del Frente Amplio Municipio de Maldonado,Irene Gonçalvez Mautone,700,2
359584007897438,Casa Grande Flores,Irene Gonçalvez Mautone,698,2
103869534731066,Desde la Heroica al Olimar,These ads ran without a disclaimer,694,2
102079025314478,janique_official,These ads ran without a disclaimer,680,12
216311481960,Bill Gates,These ads ran without a disclaimer,680,12
428157337550611,ICMM,These ads ran without a disclaimer,674,2
809309785840579,Faro Digital,These ads ran without a disclaimer,673,3
102733042246414,P.O.R,Analia Artigas Verde,669,4
140280689337896,Escuela de Posgrados en Comunicación - Universidad Austral,These ads ran without a disclaimer,664,7
103319328473458,Votá Sí - Durazno,These ads ran without a disclaimer,651,1
131056630276715,Sociedad Uruguaya - Diario Digital,Sociedad Uruguaya - Diario Digital,650,2
101964688808722,Gremialismo Auténtico,These ads ran without a disclaimer,643,1
246500308758084,Penguin Uruguay,These ads ran without a disclaimer,638,1
637248473339342,Racionya,These ads ran without a disclaimer,635,1
