Page ID,Page name,Disclaimer,Amount spent (BMD),Number of ads in Library
1821596368102541,Connective Cities,These ads ran without a disclaimer,≤100,2
110906265860,The Andrew Schulz,These ads ran without a disclaimer,≤100,6
103682075587009,Mini Basketball,These ads ran without a disclaimer,≤100,1
101709898348601,Lacey’s House,These ads ran without a disclaimer,≤100,1
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,13
100335755657507,Virtue Map,These ads ran without a disclaimer,≤100,1
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,≤100,1
110367464529584,Hippo Report,These ads ran without a disclaimer,≤100,3
1495563007133482,Mifram Security,These ads ran without a disclaimer,≤100,1
139098866100198,Merri-bek City Council,These ads ran without a disclaimer,≤100,1
112192393947217,Cleanup: Phone Storage Cleaner,These ads ran without a disclaimer,≤100,1
360036685086571,Our Funny Little Site Shorts,These ads ran without a disclaimer,≤100,3
105448452269780,Lifestylecog,These ads ran without a disclaimer,≤100,3
131169181232,VOGUE JAPAN,These ads ran without a disclaimer,≤100,1
6321018343,The Japan Times,These ads ran without a disclaimer,≤100,1
113860331311065,Unusual building,These ads ran without a disclaimer,≤100,5
800018250057491,Direct Expose,These ads ran without a disclaimer,≤100,1
466173110104582,"El-Shaddai Ministry, Jesus Is Alive Global Worship Centre",These ads ran without a disclaimer,≤100,2
198398326957053,Shree Krishnayan Desi Gauraksha Avam Golokdham Sewa Samiti,These ads ran without a disclaimer,≤100,2
113013077228994,CZ,These ads ran without a disclaimer,≤100,2
103045249292781,Funnies Now - Magazine Page 3,These ads ran without a disclaimer,≤100,2
131664893560695,Origins OSU,These ads ran without a disclaimer,≤100,8
338707340769202,Falstaff International,These ads ran without a disclaimer,≤100,2
441206253346231,El Arcano de la Filantropía #Millenial,These ads ran without a disclaimer,≤100,2
131443777573895,The Celebritist,These ads ran without a disclaimer,≤100,3
111458010474789,Terracotta Army's Hometown - Shaanxi,These ads ran without a disclaimer,≤100,1
68644810672,"Liorel, Art from Israel",These ads ran without a disclaimer,≤100,1
110250768050959,IMPT - The Impact Project,These ads ran without a disclaimer,≤100,1
517231405008910,Global Landscapes Forum,These ads ran without a disclaimer,≤100,6
155772124463402,Travel + Leisure Southeast Asia,These ads ran without a disclaimer,≤100,1
14404452903,The King's Singers,These ads ran without a disclaimer,≤100,2
105953807950158,Tiệm Nail Z,These ads ran without a disclaimer,≤100,1
84898104708,Waitt Institute,These ads ran without a disclaimer,≤100,1
105972509425490,KADIST,These ads ran without a disclaimer,≤100,3
530305363827156,UNLEASH,These ads ran without a disclaimer,≤100,2
128985777176957,Church Life Journal,These ads ran without a disclaimer,≤100,2
133945616646913,RioOnWatch.org,These ads ran without a disclaimer,≤100,4
270082823183144,Canton Fair,These ads ran without a disclaimer,≤100,3
107515088451618,Persuiimersuin,These ads ran without a disclaimer,≤100,1
109501631856985,Gencestyle,These ads ran without a disclaimer,≤100,4
110177838368464,Freedom Grams,These ads ran without a disclaimer,≤100,2
821256031301258,Camira Fabrics,These ads ran without a disclaimer,≤100,1
694445473903619,Kimberly Ann Johnson,These ads ran without a disclaimer,≤100,1
