Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
186435287880817,איבדת את הצפון,איבדת את הצפון,141850,20
1339127179564645,ישראל תנצח,ישראל תנצח,141813,140
767262423350854,פורום הדיור הציבורי,Danny Gigi,141270,353
304921469636475,סיכוי-אופוק سيكوي-أفق,עמותת סיכוי,140702,860
224993517556428,Da'am Party - מפלגת דעם - حزب دعم,Da'am Party - מפלגת דעם - حزب دعم,140685,1155
709491732434343,שורת הדין - Shurat HaDin,שורת הדין - Shurat HaDin,140337,798
175285029214345,הציונות הדתית,ציונות דתית,140221,196
105070231279128,מנותקים נמאסתם,הברית הישראלית,139542,783
273512049367435,האגודה למען הלהטב בישראל,האגודה למען הלהטב בישראל,137421,686
33942762466,Shalom Hartman Institute מכון שלום הרטמן,Shalom Hartman Institute - מכון שלום הרטמן,136957,1338
946230778768534,זזים - קהילה פועלת ززيم- حراك شعبيّ,זזים - קהילה פועלת ززيم- حراك شعبيّ,135926,749
1593276934110855,"סיעת הגמלאים והאזרחים הוותיקים, ת""א-יפו","סיעת הגמלאים והאזרחים הוותיקים, ת""א-יפו",134876,161
44385426513,Greenpeace Israel   - גרינפיס ישראל,Greenpeace Israel   - גרינפיס ישראל,134079,122
107107231197546,אלון אזולאי -Alon Azulay,אלון אזולאי -Alon Azulay,133807,278
427614157753794,מוטי ששון - moti sasson,מוטי ששון - moti sasson,133774,130
124333777706475,עיריית רמלה,עיריית רמלה - העמוד הרשמי,133679,612
106057988971053,אלי כהן - Eli Cohen,אלי כהן - Eli Cohen,133216,267
1965081260264222,ממשלה מופקרת,ממשלה מופקרת,132441,46
2397304340492953,מטה הבטיחות בענף הבנייה,הקרן לעידוד ולפיתוח ענף הבנייה,131621,397
1510157982620509,הלן גלבר - Helen Gelber,הלן גלבר - Helen Gelber,131544,672
240626859400146,Gilad Kariv - גלעד קריב,Gilad Kariv - גלעד קריב,131316,792
237683826350051,איילת שקד - Ayelet Shaked,ימינה,131180,96
190032861033009,השומר החדש,השומר החדש,130923,353
103183301914371,כוח של אמא,Nataly Milner,130820,194
163278047054016,הקרן לעידוד ופיתוח ענף הבנייה בישראל | Hakeren,הקרן לעידוד ופיתוח ענף הבנייה בישראל,130549,43
109913515759452,Bokra Net بُــــكرا,Bokra Net بُــــكرا,130266,3753
546024288762312,"ד""ר יחיאל לסרי",עיריית אשדוד,129891,1137
410377905691364,ميرتس,Meretz מרצ,128838,206
114190047078119,היוזמה לצמצום הסכסוך,היוזמה לצמצום הסכסוך,128726,586
104081661823381,סיפורי אמהות,אייל צור,128179,215
107639498064609,המחלקה המסחרית - המגזין,המחלקה המסחרית של אפוק,126900,115
103185328887035,דניאל ליזרוביץ',דניאל ליזרוביץ,126874,296
1484712825147171,Tomer Warsha-Asaf Weitzen Adv - Immigration to Israel & Citizenship,"משרד עו""ד תומר ורשה",125314,336
1514952655390958,"משרד עו""ד תומר ורשה-אסף וייצן • הגירה, מעמד ואשרות בישראל • זכויות אדם","משרד עו""ד תומר ורשה",124457,407
104783631865965,תלם,קרן ברל כצנלסון,123919,1926
100900832922166,אחים לנשק,אחים לנשק,123739,68
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",123606,949
308048836418327,הילה שלם והתושבים - רצים לראשות קרית אתא,הילה שלם והתושבים - רצים לראשות קרית אתא,123100,62
104251724737393,בונות אלטרנטיבה,בונות אלטרנטיבה,123036,183
103851895179872,אמהות לביאות,אמהות לביאות,122201,82
213801788683219,עיריית ראש העין,עיריית ראש העין,119973,490
203379449685023,לוחמים לשלום,לוחמים לשלום,119177,223
191489000866138,מכון שכטר למדעי היהדות,מכון שכטר למדעי היהדות,119176,438
311608178901833,الجمعية الإسلامية لإغاثة الأيتام والمحتاجين,Amjd Hamdan,118901,130
138611675991473,כל המחאה בפתק אחד,חוזה חודש | מרצ | הירוקה,118585,224
503274483198404,לינק Link 20 - התנועה לקידום צעירים עם מוגבלות,לינק Link 20 - התנועה לקידום צעירים עם מוגבלות,117965,1089
342134189487993,חיים ביבס Haim Bibas,מרכז השלטון המקומי בישראל,117552,802
110794797223076,מצילים את הדמוקרטיה - מחאת הדגלים השחורים,מחאת הדגלים השחורים,117510,509
224562257709477,דניאל (דני) עטר,קרן קימת לישראל,117307,142
396697410351933,נפתלי בנט - Naftali Bennett,yamina party,117002,132
100213258955522,חדשות אפוק,"מגזין אפוק בע""מ",116744,787
281777035357977,איתמר בן גביר,עוצמה יהודית עם מיכאל בן ארי,116553,98
665930663532464,פיפלביז,פיפלביז,116337,130
172654247853282,Shenhav musanbar,Shenhav Musanbar,115778,373
368992579826185,כרמל שאמה הכהן,כרמל שאמה הכהן,115501,134
104061054691576,האמת של האמת,וידיס שירותי ניהול,113314,117
107528051854494,אבי שמחון - Avi Simhon,Avi Simhon,113094,120
1384004838583167,רונן פלוט - Ronen Plot,רונן פלוט - Ronen Plot,111678,424
1416098465325051,ליברל - Liberal,ליברל - Liberal,111424,997
554308731366675,محامون من أجل إدارة سليمة - Lawyers for Good Governance,محامون من أجل إدارة سليمة - Lawyers for Good Governance,110563,701
1616620351898508,"Томер Варша - Асаф Вайцен, Адвокаты • Иммиграция • Рабочая виза в Израиле","משרד עו""ד תומר ורשה",110018,301
337591096309750,Embassy of Ukraine in the State of Israel,Embassy of Ukraine in the State of Israel,109817,171
310624629402758,מורן ישראל,מורן ישראל,108827,165
723141737847411,ראובן לדיאנסקי - Ladianski,ראובן לדיאנסקי,108366,511
114429471587565,"יפעת עובדיה לוסקי - יו""ר קק""ל",קרן קימת לישראל,107612,92
1828669360700280,דרך שירה בנקי - shira banki's way,Shira Banki's way,107396,763
104081661823381,סיפורי אמהות,Yael Hecht Zur,107300,104
114630296604026,"Davar - Workers, Society and Economy in Israel",דבר העובדים בארץ ישראל,107221,430
1073548259341247,לובי 99,Lobby99,106971,138
100978407934166,תנועה ישראלית,Israeli Movement,106556,1693
143563882388180,עיריית אשקלון,עיריית אשקלון,106522,339
112791015410812,Danny Danon - דני דנון,Danny Danon - דני דנון,105950,28
493870400705407,"ד""ר אלי לחמני","ד""ר אלי לחמני",105766,537
401082636658821,איגוד ערים לאיכות הסביבה שרון - כרמל,איגוד ערים שרון כרמל,105311,319
395537933838201,לקט ישראל Leket Israel,לקט ישראל Leket Israel,105113,237
2275137472764041,התאחדות הקבלנים בוני הארץ,הקרן לעידוד ענף הבניה והתאחדות הקבלנים בוני הארץ,104925,283
219091481560790,מרים פיירברג - איכר,נתניה אחת,104578,219
1822651321364643,121 - מנוע לשינוי חברתי,121 - מנוע לשינוי חברתי,104336,770
2469739523046886,ביטוח לאומי,ביטוח לאומי,104207,248
1694881230559425,אבירם דהרי,אבירם דהרי,102800,741
615531405455497,הדר לביא,הדר לביא,102364,639
392234858273619,יזהר שי - Izhar Shay,Blue And White,102163,58
1114854435202270,חגית משה - Hagit Moshe,חגית משה - Hagit Moshe,100909,53
101085734585825,مصوتين,coalition,100741,39
115519799995644,תרשום אני ערבי,תרשום אני ערבי,100666,84
193222427216278,אבי מעוז,מפלגת נעם,99859,257
102548956115520,תקומה - TKUMA,תורת לחימה,98622,269
221429664638160,קדמה,קדמה,98609,667
117177111377152,Шломи Лахьяни,שלומי לחיאני,98593,108
