Page ID,Page name,Disclaimer,Amount spent (LBP),Number of ads in Library
101195012850076,مبادرة الدولة الديمقراطية الواحدة,مبادرة الدولة الديمقراطية الواحدة,4942393,24
189970955101427,Tarek Ammar - طارق عمار,Tarek Ammar,4852840,7
168965580423403,Fifi Kallab - فدوى فايز ناصيف الكلّاب / Fadwa Nassif Kallab,Fadwa Nassif,4774930,28
103064288692603,Le Courrier Du Cedre,Marwan Rashid,4773586,52
105319651353770,Jusur,Jusur,4641791,64
103511888917219,سهلنا والجبل - Sahlona Wal Jabal,its,4639258,10
100886111382756,الجمهورية اللبنانية الثالثة,These ads ran without a disclaimer,4629580,3
113125512071030,المصدر العربي,المصدر العربي,4601497,7
106276262055818,Li Tabka Beirut - لتبقى بيروت,سوا لِلبنان - Sawa Li Lubnan,4477612,6
105735718767925,Dr. Nabil Naja - الدكتور نبيل نجا,Beirut Badda Aleb,4477612,2
101002862586944,Leon Semerjian,Roudaina Sadaka-Gemayel,4462687,2
101587715833376,almarsadlebanon,Al Marsad Lebanon,4406870,26
102151947888444,Pierre Issa,national bloc,4402985,1
100478408131723,Depositors Union رابطة المودعين,Depositors Union,4401347,25
101985661610385,Annahar Al Arabi,Annahar Al Arabi,4328358,5
106197498149118,لبنان الكبير,Mohammad Yassin,4312243,52
715604068573187,Sandwich W Noss,its,4283582,8
247107172353477,Dr. Abdul Rahman Bizri - د. عبدالرحمن البزري,Karim Bizri,4223881,15
980588615331053,جايي التغيير,Mohamad Kanj,4218362,13
601908273338064,Syria TV تلفزيون سوريا,These ads ran without a disclaimer,4202328,10
216891705523947,محمد ديب عثمان,Mohamed  Dib Othman,4194030,27
173228581840,Teach For Lebanon (TFL),These ads ran without a disclaimer,4140053,1
102417092347817,Michel Helou,Lebanese National Bloc Party,4109407,3
104424617661938,RELebanon - لبنان عن جديد,Ziad Abs,4073287,10
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,UNICEF,4010478,87
2249685175258687,Georges Boutros,جورج بطرس,4000000,21
103243783098088,بولا يعقوبيان   Paula Yacoubian,Paula Yacoubian,3994183,9
110470091436602,Ici Beyrouth,These ads ran without a disclaimer,3925061,60
101432315055450,Michel chamoun,These ads ran without a disclaimer,3894033,5
105148158806054,Jihad Farah - جهاد نصر فرح,AW,3824780,30
113359008741899,انتخابات لبنان,Leb Elections,3805078,33
157829428202181,خبر,khabar Lebanon,3772391,27
351775768521428,Dr. Ousama Saad - د. أسامة سعد,Souheil Zantout,3751645,20
119076266545436,Rindala Beydoun رندلى بيضون,F.F,3731347,4
1009559249064283,Saleh Moukaddem - صالح المقدم,Mohamad Adib El Eit,3716418,15
100410335941825,Said El Asmar,Said Asmar,3671642,4
109916806027727,الصفحة الرسمية للمحامي مروان سلام,Marwan Rafic Salam,3670899,10
104112688947246,Almoatassem Billah Adham,Rudy Younes,3669108,6
127222130698993,Elnashra - Lebanon News,Elnashra.com,3650302,17
116225053106866,NABIL A. ITANI,Nabil Itani,3641791,6
278035695547539,Legal Agenda  المفكرة القانونية,Legal Agenda  المفكرة القانونية,3582090,15
114390291259358,صوت ضدن,صوت ضدن “Sawet Dedon”,3576570,12
109657174003175,مش غلط - Mish Ghalat,عيسى حسن,3575376,4
106898365321056,Lina El Tannir لينا عمر التنير,Lina Tannir,3507463,21
111462674714045,Gistelle Semaan,national bloc,3492391,2
1777440582580579,مهاجر نيوز - InfoMigrants Arabic,These ads ran without a disclaimer,3440549,6
1666325846716308,الإدارة بمحلها,Democracy Reporting International,3432839,6
404742919605342,Razi El Hage - رازي وديع الحاج,These ads ran without a disclaimer,3403585,5
1052963708179337,Fadi Fakhry Alame,Al Nadsim,3381496,14
468837943180706,Fe-Male,Fe-Male,3373134,14
393853907649230,Take Action - تحرك,These ads ran without a disclaimer,3331197,4
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,3238523,143
109245348440751,نزيه نافذ زود,هيثم محمد طالب,3195376,11
113755027020719,Simon Abou Fadel,Simon Abou Fadel,3178510,12
101002862586944,Leon Semerjian,Leenkat,3104478,32
103537701560337,TvSeventeen,Walid Rizk,3044779,9
118794368191108,Parallel,These ads ran without a disclaimer,2985075,1
109431991887453,Ziad Hayek,Ziad Hayek,2982839,2
101823928627820,Samir A. Elhalabi,Samir A. Elhalabi,2910448,11
1101198890079986,Melhem Khalaf,Melhem Khalaf,2910448,16
1188111651244157,Hassan Khalil,Wadih Ghossein,2894331,6
161018747934849,د. دعد ناصيف القزي,Emile Elliye,2884032,18
111462674714045,Gistelle Semaan,These ads ran without a disclaimer,2771943,5
1916536815335192,مناطق.نت,Manateq.net,2766122,12
104305910996099,خيمة اعتصام حلبا,Ghayth Hammoud,2761194,13
100347105980398,Firas Hamdan 2022 - فراس حمدان,Firas Hamdan,2761194,5
101845832471383,Jbeil District - قضاء جبيل,Jbeil District,2731343,12
113389651337735,Fadi Abou Rahal,Fadi Abou Rahal,2731343,5
154082608508694,محمد صابونجي,These ads ran without a disclaimer,2698659,7
404742919605342,Razi El Hage - رازي وديع الحاج,Melissa Harrouk,2679405,8
278061889051550,Ramzi Maalouf - رمزي معلوف,Ramzi Maalouf,2641791,3
146804012586523,Alaa Sayeg - علاء الصايغ,Ghina Bou Chakra,2639704,7
199579566767546,أنا والخبر,هيثم محمد طالب,2612689,21
144824882142,Lebanese Women's Right to Nationality and Full Citizenship,Lebanese Women's Right to Nationality and Full Citizenship,2609407,10
101917972503875,Nahida khalil,Nahida Khalil,2597015,7
100761609252410,Michel El Khoury - ميشال الخوري,These ads ran without a disclaimer,2580735,3
109408411733646,Habbouba Aoun - حبوبة عون,Rita Morcos Mansour,2567164,9
107379885206767,Karim Chebaklo,Karim Chebaklo,2567164,4
102031895817591,Salim El-Jalkh 2022,Selim El Jalkh,2537313,7
719853864726295,Mindvalley,These ads ran without a disclaimer,2458367,27
488153098024604,رضا المصري,These ads ran without a disclaimer,2423734,8
1672908553038370,Arab Window - نافذة العرب,Arab,2398062,12
103988565574479,NO2TA the Feminist Lab,NO2TA the Feminist Lab,2387614,2
118246218258237,Transparency International Lebanon - No Corruption,Lebanese Transparency Association-No Corruption,2373134,12
200861704008581,إبن جبيل المحامي مشهور حيدر أحمد-مرشح المقعد الشيعي في جبيل,Machhour Haidar Ahmad,2313433,15
432458270132084,Fadi Abi Allam   فادي أبي علام,Lebanese Bloc,2313433,6
371926279517026,Ziad Abs,Ziad Abs,2283582,8
102159074552873,لبنان التغيير,لبنان ينتقض,2274480,4
113061177535527,افتراضية,آية البغدادي,2273883,2
103195885697073,لائحة التغيير الحقيقي,AW,2268657,20
195493294388742,Firas Al Salloum - فراس السلوم,Omran Salloum,2253731,9
819035654970697,E For Ektisad,E For Ektisad,2238808,7
106555638719831,Abdo saade - عبده طانيوس صعب سعادة,Girafic Media,2238806,9
878927722178495,Lebanese Institute for Market Studies - LIMS,LIMS,2238806,2
105568462119885,Dr Chaiban Haykal - Elections 2022,Chaiban Haykal,2164179,2
101337369205513,الصفحة الرسمية للمرشح عبدالله مطرجي,Omar  Kassem,2155226,14
103527958913501,Wajdi Tabet,Veronique Antoine Khabbaz,2094629,7
103690944417,Farid Haykal El Khazen,These ads ran without a disclaimer,2074627,3
499652873723792,قبل وبعد,قبل وبعد,2059703,6
1781057028826598,Youmna Naufal,These ads ran without a disclaimer,2059701,2
109645798354796,Rabih Assy - ربيع عاصي,These ads ran without a disclaimer,2058808,3
105870172023660,انتخابات زحلة والبقاع,Rabih Makhlouf,2050897,4
177190699445749,نبض لبنان,Nabad Lebanon,2044776,16
104313808922769,Imad Azar,Rana Azar,2044776,8
100641849262718,Najwa Bassil نجوى باسيل,Al Nadim,2038509,10
280057169060586,تحالف وطني,Marie-Christine Boulos,2029851,8
110061328654858,Judge Mohamad Saab,Judge Mohamad Saab,2018211,1
