Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library
113480147671201,冨邦國際,These ads ran without a disclaimer,266247,3
246324992373019,傅崐萁,傅崐萁,266045,127
101737848854912,陳龍,These ads ran without a disclaimer,263956,92
638185719645087,曾柏瑜,曾柏瑜,263950,114
1510346199233482,鄭俊雄,鄭俊雄,261912,108
569291869790551,趙少康,趙少康,261497,77
188014637904753,環境部,行政院環境保護署,260552,372
102385421821119,鄭淑分  十分認真,鄭淑分服務處,258941,52
470265436473213,衛生福利部,These ads ran without a disclaimer,257947,3
451593611569576,窩窩 wuowuo,窩窩 wuowuo,257228,175
189061482332,張嘉郡,嘉郡張,256713,73
1466476516978500,花現彰化-彰化縣政府新聞處,花現彰化-彰化縣政府新聞處,255175,132
777657258943175,TRUEGRASSES,TRUEGRASSES,254434,204
220168461484157,全統運動報名網,全統運動用品股份有限公司,252566,27
338272413046352,每日桃園,信憲 余,252116,73
1587628301470657,林沛祥,林沛祥,251468,335
322447507832934,文茜的世界周報 Sisy's World News,文耀胡,251436,37
103919981024103,陳以信,陳以信,251216,190
221323424616286,吳祥輝 Brian Wu,吳祥輝 Brian Wu,251057,809
101050274655403,三重埔ㄟ女兒  李旻蔚,Chia-chien Yu,250625,268
182051388480660,客家委員會 Hakka Affairs Council,客家委員會 Hakka Affairs Council,250590,112
111652500211895,Animal Restaurant,These ads ran without a disclaimer,250340,8
104624290080479,張育美,張育美,250183,186
2019006601540825,鄉林美術舘,These ads ran without a disclaimer,250097,35
825525160840319,165全民防騙,165全民防騙,249718,49
111455468891656,堅持．張廖萬堅,堅持．張廖萬堅,249516,214
982126278476794,17LIVE,周芯伃,247287,82
103919981024103,陳以信,Yuehmei Li,246865,513
124383291082592,核能流言終結者,Shih-Hsiu Huang,246833,48
296199430542790,何志偉,志偉 何,246531,201
2028991214079769,STR Network - 薩泰爾娛樂,STR Network - 薩泰爾娛樂,245963,240
172835866095977,我是中壢人,浩宇 王,245910,101
102187598617861,Ai英語學習軟體 - LingoChamp,These ads ran without a disclaimer,245453,1
122912938347467,歐陽霆,霆 歐陽,245389,212
1833187540297220,牛煦庭,牛煦庭,244647,148
456958001008917,萌髮診所,These ads ran without a disclaimer,244356,8
1670897169695096,PackAge+ 配客嘉,PackAge+ 配客嘉,243058,34
101718182459153,天秤座戰士,Companionship Digital,242792,123
309346069825732,戦国布武【我が天下戦国編】,These ads ran without a disclaimer,242676,1
100539828154132,Kikitrade,These ads ran without a disclaimer,242511,6
931837986851749,侯漢廷,啟仁 高,242380,387
906757082709940,莊瑞雄,瑞雄 莊,241908,216
111071388213102,超熱門小說,These ads ran without a disclaimer,241810,5
122607142467655,報臺 Taiwan Post,報臺,241631,31
118660601496600,ONE BOY,These ads ran without a disclaimer,241513,61
277223962685223,Nespresso.TWN,Nespresso.TWN,241015,151
326715000821935,新北市議員陳科名,陳科名,238667,380
226660410787355,民視體育新聞,民視新聞,237887,63
