Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
318417928527284,Lucian N. Romascanu,Partidul Social Democrat,40329,78
1656475137918717,USR Sector 6,Uniunea Salvati Romania Filiala Sector 6,40143,280
2443020582586584,Romania Eficienta,Romania Eficienta,40108,1332
360184320712594,Raluca Turcan,Partidul Naţional Liberal,39871,825
1658924257659048,USR Sector 3,USR Sector 3,39705,165
309525925854654,Cristian Chirteș,PNL Mures,39522,73
293215748279337,România fără PSD,Future Innovation,39455,38
102944558153946,Marius Mărgărit,Mitica-Marius Margarit,39411,78
101141368473321,Alianța Fripturiștilor,Partidul Social Democrat - Organizatia Judeteana Bacau,39385,34
1128229287275038,Silvia Dinică,Silvia Dinică,39181,234
1653726584879481,Mihai Fifor,Psd Arad CMF 11200020,38922,251
1875528839348774,Dragoș Pîslaru,Dragoș Pîslaru,38715,43
620083298402659,Bogdan Trif,Turcanu Catalin Nicolae,38709,136
101500349153432,Valasztas.ro,Valasztas.ro,38491,7
114319753592403,AFACERI.news,Horia-Marius Bogdan,38204,231
153410991395492,Dr Adina Alberts,Adina Alberts - Partidul Bucuresti 2020,38157,65
104217171285776,Asociația Industriei Lemnului - Prolemn,Asociația Industriei Lemnului - Prolemn,37787,87
269839123444413,Lucian Bernd Săuleanu,Lucian Săuleanu - USR PLUS,37785,60
237099069721573,Impact Hub Bucharest,Impact Hub Bucharest,37688,149
1750327845246533,USR Maramureș,USR Maramureș,37597,141
2089113978044166,Casa de Monede,These ads ran without a disclaimer,37501,17
1140001842686665,Petre Florin Manole,Partidul Social Democrat,37286,72
108723169291363,Daniel Suciu,Partidul Social Democrat,37238,57
2198387057107816,Nicoleta Ploscaru,Nicoleta Ploscaru,37071,378
465954950223163,Septimiu Bourceanu,Septimiu Sebastian Bourceanu,37023,249
930651143735626,Vlad Emanuel Durus,Vlad Emanuel Durus - Deputat USR Maramureș,37021,155
116936411831925,Partidul Miscarea Populara Sector 3,Partidul Miscarea Populara Sector 3,36809,324
1585243028421258,PSD Prahova,PSD Prahova,36778,339
107472810795416,Partidul Verde București-Ilfov,AMBI,36365,80
261697423859394,Népszámlálás.ro,Népszámlálás,36331,211
110661800329158,Valentin Ivancea,Partidul Social Democrat - Organizatia Judeteana Bacau,36276,44
118745168285753,Marian Pavel,Marian Pavel,36237,279
1560147330888040,Winkler Gyula,Winkler Gyula,36196,365
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,36085,15
174291436685142,Gabriel Valer Zetea,Amalia Babici-Man,36007,569
1877390129210103,Demis Rusu,Rusu Demis,35712,82
170623543081668,Adrian Oros,Nechita-Adrian Oros,35673,290
362877977521642,Partidul Neamul Romanesc,Peia Ninel,35486,18
212588722543134,Tudor Polak,PNL Vaslui,35371,103
428872677299268,ALDE Sector 6,ALDE Sector 6,35357,75
174434106304018,USR Galați,Uniunea Salvați România,35293,358
254771308032377,Cosmin Andrei,Cosmin Andrei,35168,140
748643931874245,Profit Point Romania,These ads ran without a disclaimer,35082,2
341037705981172,Humanitas,Humanitas,34985,131
979547832069760,PNL Galati,PNL Galati,34583,227
318703191616093,Doris  Rai,Doris Gabriela Rai,34534,184
416103301931791,Adrian Todoran Impreuna pentru Maramures,Adrian Todoran Deputat pentru Maramures,34503,170
186052998083442,Robert Negoita,Robert Negoita - Partidul Bucuresti 2020,34305,58
1255037557904732,Florin Orțan,Ovidiu-Florin Ortan,34263,21
799949990211564,Ioana Ramona Bruynseels,These ads ran without a disclaimer,34175,53
526411640878009,USR Vaslui,Uniunea Salvați România,33937,172
1572019133014738,Gabriel Toncean,Gabriel Toncean,33882,294
960310370664830,Primăria Constanța,Evonomix,33777,133
1632266380355345,Victor Moraru,Victor Moraru - Pro Romania,33755,73
364996840328403,Asociația Liga Albanezilor din România,ALAR,33726,99
103886954451099,PRO Romania Municipiul Suceava,PRO Romania Suceava,33590,100
711270536151432,Amalia Nenovici,ALDE Sector 1 - Alianța Liberalilor și Democraților,33581,58
451834231541982,Luminita Barcari,Arthur and Regents,33521,111
1616689388623828,George Muhscina,George Muhscina,33282,53
1460571894265803,USR Sector 5,Uniunea Salvați România,33216,247
622715088387142,Florin Manea,Florin Manea - Partidul Bucuresti 2020,33212,85
421280451283707,PNL Sector 3,Bit Expert Serv SRL,33064,75
363974753693918,Cosmin Necula,PRO România - Organizația Județeană Bacău,32935,60
482604971767291,PNL Buzău,PNL Buzău,32924,233
104667664365097,Gabriel Avramescu,PNL Buzău,32882,45
1549073781993174,PNL Sector 5,Partidul Naţional Liberal,32849,353
430856153670593,Elena Basescu,Partidul Mișcarea Populară,32762,51
231049990562077,Cătălin Cherecheș,Coalitia pentru Maramures,32685,24
113903080356129,Alin Mituța,Alin Cristian Mituta,32539,44
1695902094040229,Mihai Botez,Alianța USR PLUS,32402,120
1469610256621123,PNL Dambovita,Bazar Media Consulting,32373,89
532706370130934,Partidul Mișcarea Populară Dâmbovița,PMP Dâmbovița,32231,25
979547832069760,PNL Galati,Branding Digital Strategy,32224,57
442867569065687,Mihail Neamtu,Partidul Miscarea Populara Sector 3,32140,25
115623656908513,Ioan Pitigoi,PMP Prahova,32102,328
110665943772240,Virgil Pirvulescu,PNL Filiala Vâlcea,31942,52
2177244962290894,PRO România,PRO România,31936,21
164276903939889,PSD Sibiu,Turcanu Catalin Nicolae,31827,110
1156150484398630,MozaiQ,MozaiQ,31771,254
