Page ID,Page name,Disclaimer,Amount spent (SAR),Number of ads in Library
0,Instagram User 981866713,These ads ran without a disclaimer,114,1
109624535405937,Sport2,These ads ran without a disclaimer,113,1
113130748401412,Saudi Forever,These ads ran without a disclaimer,113,2
112750078303694,Mesfin Feyisa Robi,These ads ran without a disclaimer,113,2
104108515980211,Saudi gifts,These ads ran without a disclaimer,111,2
226841644585662,Property Street,These ads ran without a disclaimer,110,1
102202689652464,"รัฐบาล,ออมสิน,ธ.ก.ส",These ads ran without a disclaimer,109,1
1601165696774587,الهيئة العامة للعناية بشؤون الحرمين الشريفين,These ads ran without a disclaimer,109,1
112079065838781,Bahrain Tourism & Exhibition Authority,These ads ran without a disclaimer,109,1
103844889155274,فلسطين الان,These ads ran without a disclaimer,109,1
100111088937921,Rizvi Thai Lotto,These ads ran without a disclaimer,108,6
1826983680878901,Hussain Sajwani,These ads ran without a disclaimer,108,5
101335589402081,Date traffles,These ads ran without a disclaimer,107,1
127736570221688,Saudi Helps,These ads ran without a disclaimer,107,2
821430017924241,Sungrow,These ads ran without a disclaimer,106,14
100713375434492,partyyardsa,These ads ran without a disclaimer,105,1
102694049539010,Don't Starve: Pocket Edition,These ads ran without a disclaimer,105,15
106809688968674,ChatOn - AI Chatbot Assistant,These ads ran without a disclaimer,105,1
100667436328235,Saudi Ramadan,These ads ran without a disclaimer,105,2
109713615109341,hairstayle_hanaa,These ads ran without a disclaimer,105,1
106339778995469,الخطابة السعودية ام نايف,These ads ran without a disclaimer,105,2
117237147944014,magazine-lb,These ads ran without a disclaimer,105,2
1627099104168308,Misk Foundation مؤسسة مسك,These ads ran without a disclaimer,102,3
100889322590952,عطر الكلام,These ads ran without a disclaimer,102,2
104033275293355,reemalharmoudi,These ads ran without a disclaimer,102,1
68793499001,UNICEF,These ads ran without a disclaimer,101,12
137375362784437,Business Resilience Resonance,These ads ran without a disclaimer,101,1
138187892702087,ARDARA.SA,These ads ran without a disclaimer,101,2
128449353504098,Saudi today,These ads ran without a disclaimer,101,2
167018946648283,Arab Health,These ads ran without a disclaimer,≤100,3
217906684747736,Saudi Ewiner 2024,These ads ran without a disclaimer,≤100,1
102494394873728,pieces_of_legacy,These ads ran without a disclaimer,≤100,2
104554076007708,Mohamed Elhaddad,These ads ran without a disclaimer,≤100,1
