Page ID,Page name,Disclaimer,Amount spent (THB),Number of ads in Library
106561034744198,ลอรี่ - พงศ์พล ยอดเมืองเจริญ,ลอรี่ - พงศ์พล ยอดเมืองเจริญ,60017,120
102895935319115,วิพุธ ศรีวะอุไร - Viput Srivaurai,วิพุธ ศรีวะอุไร - Viput Srivaurai,59940,66
546416699215073,ห้องสื่อครูคอม,Krisada Khamma,59342,19
105731534796459,บริษัท พาวมิราเคิล จำกัด,These ads ran without a disclaimer,59228,2
108839095327193,โก้จ๋าย เอกวานิช,โก้จ๋าย เอกวานิช,59166,23
496992307468643,ฐิติกันต์ ฐิติพฤฒิกุล - Thitikan Thitipruethikul,ฐิติกันต์ ฐิติพฤฒิกุล - Thitikan Thitipruethikul,58713,50
100530401779420,พรรคไทยภักดี,พรรคไทยภักดี,58609,116
111119268085115,อนงค์นาถ จ่าแก้ว,Chadapon Maksuwan,58466,91
100748929619672,โต้ง สาโรจน์ ซึ้งไพศาลกุล พลังประชารัฐ,สาโรจน์ ซึ้งไพศาลกุล,58425,19
296508406790,"พรรคประชาธิปัตย์ - Democrat Party, Thailand","พรรคประชาธิปัตย์ - Democrat Party, Thailand",58229,435
101861489530398,มณีรัตน์ ลิมป์รัตนกาญจน์,มณีรัตน์ ลิมป์รัตนกาญจน์,57892,62
105782438913837,มีศักดิ์ ภักดีคง,มีศักดิ์ ภักดีคง,57634,127
100275984666295,อ.ทนายความ มีดี  บัวแก้ว - พรรคก้าวไกล พิษณุโลก เขต2,อ.ทนายความ มีดี  บัวแก้ว - พรรคก้าวไกล พิษณุโลก เขต2,57466,123
877369462441031,ปูอัด ไชยามพวาน ส.ส. เขตจอมทอง-บางขุนเทียน-ท่าข้าม พรรคก้าวไกล,Chaiyamparwaan Manpianjit,57095,56
109185475428900,Charin Wongpantiang - ชริน วงศ์พันธ์เที่ยง,Charin Wongpantiang - ชริน วงศ์พันธ์เที่ยง,56497,17
106739555862605,พลังใหม่ ชลบุรี,พลังใหม่ ชลบุรี,56102,152
369326170305129,เทวัญ ลิปตพัลลภ Tewan Liptapallop,เทวัญ ลิปตพัลลภ Tewan Liptapallop,55790,7
104632334568638,พรรคก้าวไกล สงขลา,พรรคก้าวไกล สงขลา,55777,41
451864701523507,Infographic Thailand,Infographic Thailand,55463,25
107398781729349,เฟียต กิติ วงษ์กุหลาบ,These ads ran without a disclaimer,54790,60
