Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
525334380868858,Martín Lousteau,Fundación Lebensohn,5843554,153
108146311912164,Laburen Ladris,www.laburenladris.com,5829436,333
328410044174285,Yo banco a Navarro,Yo banco a Navarro,5809853,20
108662685562965,La Ciudad Necesita Orden,La Ciudad Necesita Orden,5799985,212
103855342712624,Frente Chaqueño,Frente Chaqueño,5751587,89
113328424956836,Prensa Libre,Prensa Libre,5745852,225
100562749015236,Demos el Paso,Demos el Paso,5740251,23
102126974997519,La República Porteña,Republica Porteña,5716782,319
932158520193023,Municipalidad de José C. Paz,Municipio de José Clemente Paz,5691684,805
1470809306572155,Armando Luis Gay,Más para Concordia,5667183,191
171330806277312,Diego Santilli,Fundación Pensar Argentina,5667022,731
1470809306572155,Armando Luis Gay,Armando Luis Gay,5642039,803
227513130941976,Ignacio Torres,Nacho Torres,5625713,274
105129478612532,Vivir Con Tranquilidad,Vivir Con Tranquilidad,5596957,117
106628201745764,No renunciemos a la Argentina,No renunciemos a la Argentina,5585122,30
740822736280830,ADNArgentinos,These ads ran without a disclaimer,5533407,3
1873797869608613,Frente Renovador de la Concordia,Frente Renovador de la Concordia,5529770,638
1418780111682690,Marcos Cleri,Marcos Cleri,5458510,197
149721655226597,Oscar Cachi Martinez,Podemos Más,5455047,227
174970176018,Horacio Rodríguez Larreta,PRO Ciudad de Buenos Aires,5445358,248
292281090892843,Todo un País,Todo un Pais,5432593,1197
100686031576569,Primero la gente,These ads ran without a disclaimer,5429919,92
1592542994388441,Martin Goerling,Martín Goerling,5408368,242
114256301742038,Vecinos Hartos,Vecinos Hartos,5404990,65
363882132476,NoSoyPro,NoSoyPro,5394317,26
391699984932525,Pablo Cervi,Juntos por el Cambio Neuquén,5382057,149
100975902971250,La Libertad Avanza en San Juan,La Libertad Avanza en San Juan,5377876,87
102241925052215,Unión por la Patria PBA,Frente de Todos PBA,5377800,161
688001708286948,Juan Pablo Luque,Juan Pablo Luque,5371251,205
113902874399198,La Provincia Hoy,La Provincia Hoy,5363285,218
171947460298026,Macarena Posse,San Isidro Juntos,5357934,81
316833772588597,Unión por la Patria Pilar,Unión por la Patria Pilar,5334519,495
174876119204869,Martín Insaurralde,PJ Lomas de Zamora,5297571,37
1010952492291178,Victoria Tolosa Paz,Frente de Todos Buenos Aires,5288016,156
106977762505822,The Swifties ARMY Argentina,These ads ran without a disclaimer,5270434,1
306607899838909,Sigamos yendo juntos San Isidro,Sigamos yendo juntos San Isidro,5210339,17
353492111467605,Julio Garro,Land,5193572,195
1642712085944827,Alejandro Vilca,Frente de Izquierda,5180939,253
305983009493637,Leonardo Grosso,Leonardo Grosso,5170484,301
622853724492420,Federico Otermín,Frente de Todos Lomas,5160933,57
136037426467428,Juntos por el Cambio Santa Fe,Juntos por el Cambio Santa Fe,5120299,64
362204533804292,Municipio de Río Grande,Municipio de Río Grande,5119340,412
142111398983290,Argentinos con Fe,Argentinos con Fe,5053492,12
171330806277312,Diego Santilli,Gobierno de la Ciudad de Buenos Aires,4982988,299
103115512803574,CornejoMania,CornejoMania,4960323,27
104838940899300,Memo,El Memo,4959385,2309
304176325478,La Política Online,La Política Online,4878140,2241
106277608413948,Felipe Biella,Salta Independiente,4860888,207
104782484202318,Medio Buenos Aires,Medio Buenos Aires,4856319,193
459777610743664,Ariel Sujarchuk,HAY ALTERNATIVA PARA EL CAMBIO EN ESCOBAR - HACE,4852544,1248
215127935173119,Emanuel Gainza,Emanuel Gainza,4808486,347
364916637463104,Unión por la Patria,Frente de TODOS CABA,4757412,152
746367662125053,Damian Contreras,Damian Contreras,4745405,113
114631955012114,Noticias Urbanas,Noticias Urbanas,4740031,173
87545580838,C5N,C5N,4736711,66
1170748123064391,Federico Frigerio,Federico Frigerio,4730080,482
563457753861426,Fernando Gray,Partido Justicialista de Esteban Echeverría,4725891,101
105933872199149,Demos Vuelta La Argentina,Mística,4724151,99
642047375905348,Gastón di Castelnuovo,Gaston Di Castelnuovo,4709710,246
104754869652010,Antonio Bonfatti,Antonio Bonfatti,4685222,126
100135086249194,Noticias del Norte,Noticias del Norte,4667266,195
174970176018,Horacio Rodríguez Larreta,Fundación Pensar Argentina,4655127,146
109379355501358,El futuro de Lomas,El futuro de Lomas,4644729,167
125516790651367,MassArgentina,MassArgentina,4609310,53
12803191939,Ricardo López Murphy,Republicanos Unidos,4605279,56
174876119204869,Martín Insaurralde,Frente de Todos Lomas,4588815,193
485295698203346,Todos con Florencio,Todos con Florencio,4556411,79
381280145568609,Martín Tincho Ascúa,Martín Tincho Ascúa,4523887,20
100102222991135,Unión Por San Luis,Unión Por San Luis 2,4509121,63
2339859699626643,Hacemos Unidos por Córdoba,PJ Córdoba,4499969,19
144830912039217,Perón al Poder,Perón al poder,4463347,73
819240928422696,César Treffinger,Cesar Treffinger,4438814,268
100882218430460,Pro.cre.Autos,These ads ran without a disclaimer,4435823,14
102120074492374,Rumbo 365,These ads ran without a disclaimer,4416953,13
443594262328472,Lisandro Enrico,Lisandro Enrico,4411424,4402
113962914977034,Somos FORJA,Somos Forja,4409886,225
113245268485975,La Capital Online,La Capital Oficial,4385594,184
2275984019157911,Unidos por la Patria,Unidos por la Patria,4372050,55
103644022784798,"Rosario Puede, Santa Fe Cambia",El equipo que pelea por Rosario,4364132,51
101185972235145,PJ La Pampa,Partido Justicialista La Pampa,4341408,219
1786813798208655,Alberto Fernández,Frente de Todos,4334394,92
113440031817559,Unión por las Redes,Comunicación en Redes,4332292,58
103313821432880,Mira vos,Mira vos,4330946,5
109036263770911,Somos Consenso Federal,These ads ran without a disclaimer,4324545,10
114364621598017,Unión por la Patria San Juan,Frente San Juan por Todos,4319072,147
1688491141369349,Gobierno de la Provincia de La Pampa,Gobierno de la Pampa,4305825,690
1466119057008930,Fundación IDEAR Córdoba.,Fundación IDEAR Córdoba.,4301537,10
1403590803187124,Juan Debandi,Juan Debandi,4279714,1392
723789384402976,Municipalidad de Juana Koslay,Juana Koslay,4268494,689
125621324134352,Florencio Randazzo,Florencio Randazzo,4261805,181
204401556350395,Gustavo Valdés,Gustavo Valdés,4256063,124
113795456691175,Lado A Lado B,Lado A Lado B,4253396,418
1557397191256136,Buenos Aires Noticias,Buenos AIres Noticias,4202984,94
81460078787,Eduardo Accastello,Eduardo Accastello,4173672,395
2000063456707351,Sole Balán,Dpto Creativo,4173352,109
1836305199944010,SI SAN JUAN,Servicio informativo Gobierno de San Juan,4158385,786
625893824469601,No está pasando,No está pasando,4155106,14
641948702550925,Catamarca Gobierno,Catamarca Gobierno,4152860,71
210042469065414,Diego Kravetz,Diego Kravetz,4133868,465
473851592687665,Gustavo Posse,Gustavo Posse,4122191,257
105434454484182,Difusión de Prensa Argentina,Difusión de Prensa Argentina,4118495,379
114377985052290,Salta es una Massa,Salta es una Masa,4117866,59
104046341137293,Panorama Pais,Panorama Pais,4117065,583
453418821422498,Fernanda Raverta,Encuentro Marplatense,4113673,116
104238766073445,Vecinos de San Martín,Vecinos de San Martín,4106276,63
450525428374372,Secretaría de Derechos Humanos de la Nación,Secretaría de Medios y Comunicación Pública,4083962,22
147255748694051,Fernando Espinoza,Municipio de La Matanza,4070638,257
181701801980107,Daniel Passerini,Daniel Passerini,4054707,77
105685955970170,dalemaza,Dale Maza,4045542,1456
369181306485506,Patricia Cubria,showercomunicacion,4040649,68
